Head	LHand	RHand
107.836	198.153	230.401
123.207	182.009	194.771
136.663	183.627	168.732
147.620	184.643	170.814
163.114	167.676	165.200
176.892	168.848	145.657
187.811	179.151	130.630
196.258	173.284	129.845
201.938	164.100	138.480
201.626	164.083	138.350
200.394	166.176	128.933
200.068	163.466	117.843
199.737	171.931	123.515
197.265	183.621	121.541
199.217	182.113	112.555
202.267	183.942	112.564
205.430	182.203	112.767
212.727	176.118	125.885
216.464	176.435	133.940
226.899	175.632	126.769
240.748	169.589	126.884
245.858	163.175	135.643
255.106	147.738	135.902
268.834	138.705	127.659
275.213	126.814	120.090
282.659	114.275	113.765
294.579	106.928	104.338
302.903	83.964	96.097
305.019	62.668	71.413
305.388	56.551	47.792
303.969	58.501	38.227
299.895	57.957	43.959
296.416	57.532	54.294
297.576	62.207	53.961
296.642	72.776	48.554
295.888	68.052	48.896
302.027	48.055	49.550
301.520	38.117	50.901
300.477	41.895	45.463
296.639	45.623	39.924
287.373	47.916	35.452
283.505	51.553	31.800
280.212	58.812	30.869
278.674	65.160	34.597
278.609	64.975	36.137
275.813	60.344	38.164
275.828	61.170	43.547
280.456	66.397	52.282
284.656	65.891	60.313
289.223	64.761	62.122
295.708	70.725	69.673
305.963	77.553	74.499
314.724	85.075	79.465
310.091	97.370	82.319
300.315	97.386	76.123
290.111	94.199	80.998
280.713	99.757	88.801
271.427	102.728	72.495
261.287	101.656	50.088
253.701	95.369	51.909
251.261	82.837	51.748
243.733	69.231	55.761
230.482	59.634	58.806
217.988	28.614	62.677
213.803	22.290	60.132
207.484	34.583	53.983
194.902	26.700	48.494
193.677	26.871	46.824
185.148	26.716	45.159
173.864	25.086	40.201
166.636	26.647	48.078
162.852	27.523	44.351
155.743	27.068	37.921
149.601	28.593	44.796
151.151	31.898	43.853
151.630	34.032	36.243
149.962	37.245	34.898
150.096	45.469	39.281
148.963	53.699	44.947
151.659	60.027	42.016
156.123	62.553	31.971
157.072	63.553	26.281
161.536	63.777	23.046
165.537	56.031	19.521
177.441	42.789	16.212
175.275	33.730	16.163
166.538	31.931	17.519
158.712	37.115	17.229
150.832	36.940	18.319
137.615	33.029	20.398
119.316	30.680	19.246
104.596	27.006	18.378
86.520	22.013	19.352
67.297	15.372	15.675
46.373	13.641	10.436
27.771	16.316	6.859
15.367	21.677	12.693
19.303	29.379	17.972
31.352	33.175	18.852
39.903	32.388	18.429
40.153	32.191	18.133
42.981	33.735	21.445
49.987	39.712	27.253
63.641	45.091	30.724
72.404	48.833	35.899
76.693	51.060	41.777
90.034	49.849	47.311
99.198	49.144	53.455
101.778	51.710	58.791
108.218	56.612	66.316
115.929	61.484	70.386
119.889	70.773	75.644
134.411	80.989	85.631
125.995	84.027	86.737
132.903	85.104	84.947
155.988	97.895	89.344
153.646	104.751	94.588
163.528	100.186	90.602
172.503	89.410	83.711
179.349	80.246	81.324
192.845	77.028	68.659
205.135	69.771	51.658
211.114	61.406	47.166
228.108	51.068	51.253
249.120	40.126	55.666
267.541	32.679	52.704
281.488	42.082	49.466
300.804	57.856	50.767
322.100	73.662	57.262
335.175	76.349	69.322
352.725	79.035	79.937
367.327	84.821	102.577
375.775	95.169	119.942
384.508	116.398	143.924
396.940	153.808	187.256
408.796	210.314	227.079
415.871	264.249	266.450
417.273	315.164	304.939
419.721	354.173	342.936
422.441	382.340	375.830
420.774	409.737	404.281
419.130	434.980	424.814
415.613	470.105	444.966
407.935	493.464	463.186
401.027	509.981	469.792
389.401	530.514	476.507
378.023	543.085	484.395
371.880	559.339	488.116
360.867	571.263	500.319
344.940	572.539	517.448
335.301	565.273	549.683
326.440	561.498	574.432
315.185	562.917	565.939
307.495	567.429	550.239
297.798	572.046	537.122
283.058	565.087	526.134
271.461	543.518	503.980
264.531	519.168	479.739
249.306	506.835	458.144
234.362	496.603	429.901
224.107	483.644	395.411
213.212	483.336	369.926
204.010	474.898	361.052
196.122	443.482	357.668
188.442	417.670	358.907
179.501	412.912	342.015
176.080	424.133	348.039
166.406	413.102	367.778
154.355	389.122	363.234
151.786	363.823	345.010
141.396	329.971	322.301
130.950	283.702	300.273
124.468	240.888	250.753
117.925	211.006	220.883
112.308	186.375	215.598
105.178	159.870	188.251
100.084	146.908	168.057
95.670	132.015	145.952
90.215	92.512	120.895
85.979	63.376	88.110
78.957	61.115	55.258
77.749	64.909	42.187
77.486	75.301	38.735
67.816	85.880	49.136
65.869	97.795	63.134
71.532	125.710	81.615
70.342	140.077	107.128
64.138	154.342	117.009
61.571	163.478	118.108
61.719	170.984	130.915
58.473	174.811	133.752
51.650	160.002	130.724
46.602	153.083	142.538
43.556	144.751	148.287
41.390	141.371	155.202
38.585	147.936	164.090
33.491	148.227	170.238
29.016	148.445	184.962
24.741	152.234	199.907
22.312	149.747	195.704
20.606	153.286	188.677
19.563	162.671	183.297
19.559	173.786	177.732
19.366	176.051	185.079
20.909	173.984	194.286
21.859	177.649	200.085
22.670	171.862	210.126
24.161	173.639	217.322
26.570	178.628	221.517
28.572	173.898	225.711
32.066	170.454	218.879
33.999	161.779	209.755
34.174	155.208	209.489
36.497	157.128	194.901
37.157	157.719	165.826
33.809	158.409	160.986
32.143	160.826	166.151
35.673	171.442	160.798
37.201	183.260	169.556
35.446	196.132	180.172
32.546	214.994	189.793
28.586	227.417	197.544
27.071	216.755	206.134
25.180	216.882	216.100
22.944	226.590	213.714
23.621	222.597	216.313
23.504	227.590	220.905
21.089	232.821	227.406
21.663	236.629	225.067
22.226	259.935	222.492
20.322	217.598	227.469
18.509	184.475	216.359
16.249	212.016	203.551
14.610	217.855	200.960
14.311	205.436	200.644
10.710	175.947	193.554
8.355	157.512	196.441
8.500	140.486	217.140
7.386	115.382	226.126
6.454	102.805	223.030
7.114	91.888	228.024
7.551	85.304	226.988
9.298	82.103	205.244
12.038	80.195	195.033
13.447	88.942	175.223
12.519	109.697	132.503
12.853	128.152	97.570
14.600	136.995	49.559
14.322	131.964	21.694
13.803	137.494	59.850
14.964	139.512	113.461
15.247	143.629	162.094
14.077	163.500	189.362
13.984	173.114	207.599
14.279	182.916	223.568
13.736	217.296	232.435
12.267	234.810	235.742
11.051	235.058	244.229
10.776	222.725	254.194
10.260	192.247	258.453
10.529	168.928	262.430
10.414	141.705	257.674
10.339	132.496	244.045
10.514	123.656	226.378
11.088	113.229	206.793
12.799	110.644	185.116
14.686	111.128	165.553
16.383	107.225	151.737
18.467	110.667	134.729
20.673	108.511	121.329
23.639	103.469	108.528
25.637	105.054	90.577
27.113	103.194	79.174
30.290	103.396	74.397
30.261	107.350	71.980
29.626	107.094	72.717
31.454	93.845	78.521
33.512	79.252	87.334
34.853	75.230	80.819
34.983	72.936	66.237
35.563	57.668	60.360
35.435	44.401	56.491
34.046	41.942	50.648
33.153	42.811	53.384
32.548	46.013	60.212
30.017	47.362	68.023
28.716	50.779	77.398
27.267	51.246	78.659
25.505	47.923	80.166
25.938	44.632	85.078
25.854	51.250	93.571
27.341	64.795	115.155
29.914	64.545	123.438
29.954	54.506	124.863
28.433	48.272	140.479
27.609	36.668	140.588
28.189	20.352	139.394
27.866	10.314	145.498
26.185	29.358	149.392
26.786	42.187	149.590
28.945	56.165	149.469
28.842	77.080	144.220
29.902	90.106	135.414
32.370	98.367	128.528
33.355	105.977	117.269
34.209	103.990	103.407
34.723	95.460	102.211
34.272	93.169	107.447
34.119	87.950	111.550
34.848	87.975	113.174
34.930	99.284	101.960
44.275	98.268	90.826
46.230	92.811	64.799
39.057	93.809	36.786
37.866	91.003	19.389
34.701	72.231	2.759
32.253	52.618	19.987
32.218	44.598	29.762
32.327	45.867	36.344
33.294	42.038	41.100
33.118	39.822	42.493
32.774	46.842	42.572
34.944	48.925	39.383
34.671	46.847	36.699
32.158	48.774	37.854
29.517	54.273	43.871
27.804	62.664	53.118
27.131	69.902	62.207
24.758	75.136	69.621
21.818	88.058	81.558
21.920	100.700	93.781
22.137	103.334	111.447
21.434	118.325	122.123
24.641	128.980	128.826
25.681	131.353	139.892
25.744	132.428	152.270
30.981	137.113	162.640
37.906	140.942	166.879
44.176	143.221	178.370
52.110	144.197	182.053
73.837	133.921	174.303
86.642	135.908	174.600
85.643	131.619	175.234
97.852	120.061	158.704
113.137	119.213	154.204
120.457	119.120	151.614
122.777	122.508	145.729
130.229	122.303	148.364
133.728	121.008	138.505
135.121	131.704	136.195
142.742	137.962	132.985
152.145	141.302	129.528
155.650	143.359	124.750
157.200	139.220	112.265
162.717	140.576	101.920
158.823	134.624	92.944
155.950	142.274	89.429
154.987	143.066	79.004
149.801	108.473	65.828
145.184	95.602	54.005
136.888	90.597	46.042
128.847	73.413	39.141
125.534	53.142	34.098
116.651	35.740	40.745
105.262	31.263	49.374
99.979	36.208	50.089
97.533	40.791	42.866
90.158	44.372	38.979
88.969	43.213	36.940
83.999	38.896	32.867
73.230	30.507	33.414
65.446	13.041	38.017
53.295	11.752	42.147
42.985	9.237	43.284
35.788	14.146	40.475
29.072	19.005	33.558
23.762	20.233	24.984
20.472	19.909	17.882
19.476	17.240	11.975
20.067	17.275	10.003
20.624	17.697	12.994
19.610	17.372	18.686
17.329	18.347	19.888
20.305	18.010	16.191
27.368	16.416	11.722
31.184	14.046	8.356
33.711	10.984	6.770
38.464	8.662	6.172
42.378	7.806	5.339
43.979	8.346	6.709
49.555	10.630	6.996
56.343	10.962	5.062
57.070	9.473	5.333
55.491	8.109	5.376
54.288	8.200	5.313
58.558	8.042	6.751
58.687	7.801	5.930
51.767	8.258	3.759
48.593	8.644	3.676
42.407	8.345	3.614
37.210	6.811	4.593
36.463	4.227	8.598
35.443	4.714	9.388
32.873	5.556	8.040
29.010	5.794	7.888
25.067	6.253	3.808
21.596	6.864	2.785
20.192	7.694	4.297
18.384	5.299	5.419
18.469	1.324	3.974
18.901	3.188	5.237
18.214	6.488	6.426
18.109	8.524	6.688
17.340	11.026	6.990
14.899	15.377	9.992
13.967	16.828	11.541
14.038	17.994	13.982
10.923	17.532	16.159
9.552	15.340	15.887
9.777	14.023	15.480
10.338	13.754	14.009
9.758	13.011	13.565
9.157	11.904	11.454
10.190	9.186	9.045
9.544	7.242	7.547
10.258	7.916	7.738
11.019	6.606	7.143
11.828	6.047	6.009
10.199	5.692	5.072
9.140	5.300	5.759
9.715	6.000	4.471
8.135	4.912	3.337
6.526	6.468	3.754
