Head	LHand	RHand
521.349	181.602	105.273
510.200	160.003	121.292
489.036	135.400	142.037
469.353	120.045	146.713
454.905	100.133	152.739
434.711	99.043	152.812
420.328	113.910	154.257
402.116	136.712	153.209
379.102	162.444	154.561
361.039	187.014	150.262
347.387	208.300	143.067
332.713	235.030	140.812
312.669	251.790	142.213
306.186	251.777	145.886
295.969	258.309	148.968
277.312	256.942	156.271
262.274	252.738	167.223
251.251	261.669	173.464
239.823	272.575	175.012
226.712	280.891	183.759
213.531	283.388	187.840
203.718	284.606	188.481
183.941	282.575	187.404
173.349	276.872	185.674
163.974	272.881	190.243
154.064	268.363	193.989
149.001	270.422	195.492
134.333	276.576	199.670
128.791	307.846	209.438
117.718	301.123	222.877
106.176	269.680	225.976
99.235	270.660	231.585
93.706	265.739	236.418
85.953	257.813	233.064
81.373	253.155	234.670
86.325	247.757	227.584
87.082	242.975	226.323
95.322	244.001	224.035
108.689	240.738	218.176
120.102	238.501	218.033
135.032	241.407	213.254
143.678	247.237	218.163
155.350	252.638	230.296
163.615	250.809	232.523
171.933	238.717	227.655
177.443	221.975	222.936
172.808	212.561	219.211
172.601	205.473	204.272
170.784	201.416	189.162
167.700	193.073	188.208
169.695	185.220	178.742
169.312	173.385	157.851
166.927	160.357	153.971
164.161	150.330	145.187
162.320	137.830	131.949
167.756	115.146	125.134
168.245	95.726	116.465
170.908	91.249	113.526
179.391	88.141	108.004
184.492	98.589	95.292
186.439	109.940	78.498
192.192	110.627	70.476
194.334	113.010	80.317
195.168	135.346	87.739
203.873	142.994	95.284
207.506	140.728	108.683
206.680	151.987	123.885
209.610	158.882	132.677
211.493	155.287	136.899
215.586	155.242	150.365
216.432	167.223	158.620
215.138	163.823	157.320
220.814	154.240	148.691
223.300	152.610	145.077
220.656	122.254	140.559
220.331	109.367	132.514
222.570	115.035	140.457
221.390	92.261	147.951
222.829	63.424	152.330
224.674	60.775	158.784
220.190	68.050	168.068
218.035	66.006	176.473
221.681	61.816	177.387
220.606	60.989	188.857
213.829	45.058	186.846
213.119	37.445	152.124
219.125	17.199	91.921
216.546	38.713	44.406
207.913	29.645	78.713
211.027	20.054	91.546
214.724	21.992	88.364
208.507	19.868	94.068
204.194	15.418	90.780
208.214	12.489	75.036
212.901	10.394	56.567
210.467	9.004	40.309
202.100	8.047	32.494
206.783	8.074	27.459
212.716	10.064	26.065
205.927	11.836	24.280
202.809	12.150	17.492
205.073	13.439	8.210
204.621	14.211	1.167
201.588	13.762	5.444
203.281	14.495	8.990
200.787	11.772	9.949
195.608	10.288	6.581
194.082	10.244	1.982
193.481	7.924	4.111
192.991	6.900	11.032
188.871	4.416	14.861
182.661	4.123	13.633
173.375	5.585	11.425
161.720	6.595	9.263
147.884	6.460	4.169
135.912	4.392	4.436
127.890	4.931	5.938
118.392	5.118	10.089
105.178	4.658	11.654
91.341	7.293	11.223
82.658	11.620	11.839
74.524	11.414	11.916
64.641	9.905	11.850
54.081	10.002	9.276
43.641	10.367	10.895
36.432	10.028	15.800
29.278	8.002	16.795
21.239	6.005	16.269
14.486	3.776	14.030
9.521	1.930	11.407
6.369	2.122	9.709
5.726	1.836	7.556
7.846	2.642	6.429
7.813	3.901	7.394
8.793	4.687	8.925
9.287	5.206	9.075
9.823	5.258	8.732
10.858	4.143	9.727
10.440	4.678	10.303
10.137	2.851	12.004
10.893	1.881	15.470
9.801	3.065	19.058
7.882	3.867	20.668
7.621	5.686	21.089
7.649	2.611	19.560
8.318	2.151	14.449
5.732	3.264	10.495
4.480	4.865	7.046
6.413	5.050	5.230
6.943	2.603	6.265
5.956	0.478	5.308
5.654	1.600	5.240
7.162	2.759	5.347
7.017	1.971	4.533
6.393	2.013	4.250
6.243	1.959	3.901
6.780	2.000	3.554
6.897	2.106	3.334
6.998	0.859	3.090
6.746	1.005	2.974
7.425	2.240	2.672
7.696	2.809	3.392
8.422	1.837	3.199
8.939	2.167	2.603
8.550	2.492	3.289
9.196	0.993	2.617
9.637	1.181	1.496
13.676	2.548	1.280
17.849	1.781	2.240
21.105	1.084	3.588
22.180	1.545	3.674
20.893	0.293	2.996
21.242	0.753	3.525
23.228	0.536	3.901
23.955	1.438	3.182
20.416	1.107	2.836
18.234	0.708	4.138
17.548	1.180	4.044
15.715	1.953	5.118
14.931	0.624	7.064
15.568	0.919	7.540
15.518	1.721	9.155
14.413	0.989	10.879
13.423	1.944	10.320
13.679	1.727	8.713
14.990	0.751	8.436
16.959	1.577	7.738
18.004	1.531	8.310
16.568	1.124	9.305
15.137	2.063	7.672
13.938	2.753	6.345
14.226	4.533	6.162
14.595	6.029	4.182
14.906	4.639	1.902
15.966	4.373	2.150
16.026	3.188	2.230
15.335	0.929	1.945
14.554	1.337	2.134
13.914	2.252	1.476
13.054	2.103	2.651
11.070	2.901	4.395
9.412	2.498	2.504
8.964	1.256	2.648
8.611	0.741	4.426
7.173	1.248	2.149
5.057	0.673	1.632
4.863	1.360	0.629
4.639	3.252	2.163
4.112	2.715	2.530
4.662	1.567	1.415
4.159	1.480	2.419
4.552	1.513	1.081
6.751	1.751	1.895
7.622	1.096	0.778
6.848	1.498	1.233
8.031	2.226	3.840
8.196	1.855	3.101
8.456	1.463	1.520
9.217	0.621	2.935
9.639	0.443	2.664
8.861	1.552	3.309
9.583	2.371	4.272
11.163	2.833	4.777
11.261	2.432	4.448
11.283	0.777	3.412
11.570	1.443	3.243
11.474	2.598	3.085
8.706	0.910	2.516
4.314	1.148	2.011
4.586	1.454	4.123
10.427	2.074	4.385
17.718	2.266	2.725
26.143	2.295	1.482
35.015	2.202	2.457
42.567	1.750	2.075
48.485	1.189	5.048
55.219	0.717	7.967
61.883	0.879	6.292
68.286	2.252	6.934
73.778	1.441	9.369
77.778	2.332	13.334
82.272	6.742	20.665
85.349	14.410	31.694
89.451	28.888	52.469
98.098	52.882	72.650
105.971	79.599	98.345
106.338	104.691	135.394
114.973	135.105	176.128
123.697	171.988	222.111
123.894	208.176	272.306
130.405	231.989	320.307
140.862	256.025	359.891
143.949	288.934	396.755
141.084	317.426	433.965
145.242	326.917	452.385
143.637	332.722	452.576
142.510	339.440	451.350
142.531	350.359	431.564
143.242	392.627	383.953
146.085	418.593	302.807
139.539	401.366	204.525
136.229	388.389	115.477
135.303	375.561	60.913
131.025	373.119	125.796
123.202	376.313	206.752
115.436	382.626	286.729
111.509	404.076	357.393
104.306	433.943	405.599
98.041	454.769	444.116
97.621	453.372	464.684
98.656	431.599	459.265
102.749	383.095	432.984
110.550	296.615	388.187
112.821	198.734	343.838
118.297	108.520	274.243
122.210	59.301	202.109
118.382	122.096	147.359
117.540	223.088	131.072
112.702	321.591	168.239
107.997	400.878	229.222
106.524	440.427	297.603
106.119	445.197	363.770
101.185	418.308	406.773
93.866	372.152	419.892
91.665	309.881	403.358
86.908	237.397	379.898
80.173	168.690	341.117
71.247	92.050	281.780
69.779	30.360	216.326
69.902	81.839	147.247
68.392	164.312	105.508
69.122	247.491	144.295
69.405	327.399	191.539
72.006	386.232	247.897
74.693	434.091	305.780
80.277	437.876	339.892
83.606	395.095	350.597
82.471	321.235	350.575
75.637	210.832	325.018
68.087	100.248	274.744
62.270	25.053	214.235
56.360	92.639	150.134
48.724	202.830	97.642
38.184	314.777	70.045
30.600	398.656	87.564
26.791	456.364	130.842
23.792	478.286	181.292
20.711	464.970	226.176
20.005	434.456	257.826
22.999	389.180	290.599
24.856	337.583	290.548
24.507	310.087	254.665
25.504	276.202	220.966
31.330	223.813	176.932
34.586	199.468	131.033
42.326	208.960	96.706
49.616	234.366	69.157
48.557	282.721	63.735
46.453	325.427	55.944
53.626	355.403	82.479
64.923	365.762	125.619
73.588	375.770	144.822
76.687	362.472	166.281
78.752	377.850	196.198
88.844	401.144	228.558
97.280	375.426	256.670
97.789	358.180	293.383
104.258	362.184	337.785
112.495	379.907	372.195
111.648	397.260	396.880
115.430	421.190	317.757
117.275	446.396	92.472
116.972	407.690	149.472
115.529	211.625	121.655
113.310	201.118	100.601
115.094	159.763	71.532
110.929	123.345	49.859
112.674	85.527	55.136
111.366	59.546	58.936
104.109	29.108	47.339
107.206	38.083	19.446
106.353	48.363	4.103
101.420	50.044	8.761
101.185	42.789	5.713
97.648	26.470	4.413
94.852	10.842	5.744
90.471	12.219	5.550
84.572	12.510	5.452
89.367	15.622	4.716
84.947	20.002	3.637
75.853	22.126	4.000
90.365	22.973	2.549
88.482	22.667	1.454
68.542	23.213	1.416
62.088	22.465	1.633
53.919	20.213	1.276
48.772	17.563	1.087
51.228	14.124	3.268
47.153	11.967	5.395
40.766	7.328	4.399
41.016	4.469	3.806
37.822	2.803	2.909
33.996	1.535	3.052
30.852	3.169	3.540
28.880	4.164	3.236
27.326	2.805	2.367
25.889	2.813	3.460
27.742	2.281	2.146
28.388	2.272	1.346
26.323	1.446	1.158
25.343	1.077	2.077
23.077	1.411	2.596
20.741	3.068	2.679
20.421	1.368	2.690
21.202	0.486	0.638
20.650	0.824	1.293
20.300	0.925	0.947
19.959	1.610	2.069
18.689	1.102	1.949
18.018	1.598	1.774
16.448	1.555	1.993
14.142	0.920	0.982
14.507	0.557	1.375
14.731	1.167	2.053
14.373	0.827	3.112
16.295	0.624	0.762
17.833	2.041	1.938
19.751	2.032	1.630
20.381	3.678	2.231
20.301	6.905	1.430
23.136	16.151	3.619
22.582	36.851	3.449
19.896	69.436	4.316
21.765	104.738	5.044
25.898	153.709	5.176
30.671	218.049	4.509
33.859	294.091	5.070
44.386	397.263	10.527
70.859	525.839	12.266
99.681	689.964	13.254
121.275	857.939	14.266
156.758	1000.039	14.334
196.443	1112.489	15.673
234.023	1208.847	14.520
270.235	1319.782	14.579
304.620	1406.132	16.820
344.591	1486.830	32.558
379.407	1551.661	26.454
399.015	1568.303	21.825
406.158	1553.560	5.884
403.233	1515.976	13.549
383.272	1493.926	14.787
358.336	1461.906	9.716
321.627	1376.746	11.008
275.721	1252.898	5.394
229.457	1148.965	9.898
181.174	1045.330	13.953
141.542	901.598	20.867
111.221	788.477	23.416
90.175	685.186	25.373
95.151	565.094	25.885
115.622	459.062	23.420
123.884	383.462	20.157
121.263	352.784	15.650
128.030	423.501	11.914
126.407	512.922	9.387
119.723	633.997	9.846
115.943	780.765	12.700
103.666	880.383	13.524
103.089	948.870	14.496
107.047	973.618	13.722
98.431	953.455	11.237
98.527	911.215	7.095
103.601	833.608	5.768
98.761	738.084	6.089
100.075	625.413	8.062
104.338	497.623	14.057
106.077	399.364	10.866
110.968	333.629	18.197
113.536	303.646	16.548
120.518	324.167	7.988
126.300	346.881	15.025
127.459	371.206	17.721
131.889	408.950	22.414
133.972	452.723	21.536
138.156	518.816	23.563
147.336	569.980	24.011
156.282	629.564	20.754
170.788	706.179	12.703
185.622	755.061	2.282
205.644	793.294	17.253
227.952	841.993	29.744
241.988	876.121	17.316
265.284	880.539	34.385
283.791	878.642	43.697
296.636	860.853	14.003
313.283	810.968	0.927
320.062	756.570	1.495
324.567	732.359	2.533
330.511	688.785	6.511
319.887	622.070	8.317
319.107	587.901	10.526
327.806	559.876	14.282
322.990	530.513	17.381
321.136	502.653	16.923
319.855	473.743	13.872
313.728	452.365	15.408
303.684	429.805	23.539
295.181	398.276	30.510
289.333	380.967	33.486
287.416	368.539	34.443
270.809	320.038	37.483
252.291	204.726	38.031
245.132	100.855	35.697
235.726	92.004	37.911
228.032	81.971	35.338
216.206	61.538	20.126
205.227	36.320	21.917
202.236	14.138	19.783
198.289	17.988	8.379
187.217	29.800	4.822
177.895	45.036	5.108
173.696	59.535	5.141
167.766	57.840	4.730
158.658	44.504	5.684
143.451	29.484	5.302
141.723	16.933	6.237
134.122	6.195	4.097
126.618	3.909	4.258
123.695	10.203	5.530
115.462	13.233	4.071
117.836	15.848	3.636
114.856	16.115	4.063
104.363	15.816	3.415
101.938	15.113	1.919
102.360	14.622	1.971
95.360	13.120	2.142
92.669	10.032	0.733
89.585	6.148	2.041
83.720	2.949	1.284
84.048	3.543	2.093
78.415	3.920	1.861
73.684	4.449	4.079
75.381	4.517	3.443
72.772	3.942	4.509
68.104	2.559	6.089
65.137	2.318	5.265
65.946	1.736	6.471
64.455	0.821	7.493
59.883	1.822	7.276
56.037	1.430	7.892
57.411	1.972	10.285
60.440	2.219	12.125
57.361	2.756	11.665
51.421	4.726	10.027
44.869	5.710	6.694
41.447	7.414	8.139
43.713	7.095	10.891
41.542	6.968	8.452
37.325	4.533	6.530
36.236	2.672	6.087
34.828	3.351	7.463
32.583	2.447	7.429
28.305	1.867	7.309
27.765	1.584	6.295
31.698	2.296	4.603
33.442	3.317	4.510
31.099	3.733	5.146
28.365	4.587	6.602
27.434	6.228	9.457
27.084	6.015	11.196
28.270	5.062	12.316
28.921	5.036	10.919
30.761	4.579	9.045
29.385	6.555	8.072
25.939	8.510	7.346
24.368	9.310	7.381
22.560	8.810	4.193
23.357	11.019	2.853
22.774	11.870	2.102
22.108	12.074	0.950
21.316	14.463	2.659
19.724	12.341	3.885
17.856	8.246	2.136
16.208	5.824	1.969
14.661	4.306	2.344
13.182	3.485	2.717
11.419	3.512	4.239
12.056	2.850	4.659
13.401	2.955	4.624
12.627	3.832	3.931
14.696	3.266	3.388
18.047	2.044	3.297
18.234	2.217	3.625
18.661	3.427	2.297
22.533	4.065	2.676
27.362	3.185	2.004
26.788	2.532	2.415
25.798	2.190	2.130
26.909	1.280	2.814
27.625	3.316	2.060
30.472	3.649	1.220
34.524	4.276	3.201
38.328	5.777	3.996
41.143	8.043	3.710
45.399	9.827	3.002
46.904	9.932	2.934
49.236	10.751	4.278
55.485	10.362	4.748
61.381	10.512	5.839
71.892	10.425	5.009
76.257	8.290	3.011
74.243	5.193	3.326
73.206	4.470	4.539
73.647	3.591	5.692
75.938	3.290	6.901
79.384	3.376	9.333
81.758	5.630	9.496
82.246	8.373	8.245
82.912	7.497	7.043
81.593	6.371	5.398
83.375	4.822	4.008
84.262	3.387	1.853
84.582	0.957	1.683
84.373	6.211	1.987
84.360	9.965	2.834
86.165	14.785	3.745
83.164	22.930	3.476
79.510	29.544	4.675
79.662	37.340	7.352
78.603	54.224	6.211
70.278	72.420	5.786
62.008	87.469	6.469
56.774	108.538	7.102
50.309	117.675	7.458
44.536	128.348	5.292
37.562	128.503	5.160
29.732	110.445	7.138
24.048	105.267	4.918
18.157	97.435	4.727
14.614	75.224	5.092
10.571	47.731	5.540
6.590	27.871	5.378
8.175	28.019	5.377
13.325	48.888	6.033
18.784	82.782	6.236
22.591	113.074	5.391
29.273	143.465	4.610
36.995	180.528	3.823
40.374	213.238	2.903
46.973	214.767	3.193
62.211	196.445	2.873
70.289	195.932	4.729
70.320	191.925	8.289
79.184	107.385	10.823
86.921	47.220	12.162
94.867	35.405	12.138
104.584	17.007	12.458
106.348	33.460	11.565
110.298	43.226	11.087
118.648	47.140	8.577
118.528	57.376	6.420
121.665	64.616	3.375
125.981	66.065	2.119
119.502	62.710	2.639
113.248	54.898	5.412
108.779	42.078	6.754
103.054	27.596	8.837
96.459	15.043	9.434
96.736	7.334	10.144
92.257	13.628	11.532
83.741	21.355	9.069
83.961	25.801	6.514
84.930	26.115	4.714
81.882	26.165	5.489
80.340	20.888	4.974
78.855	13.116	5.489
70.858	6.408	6.054
63.993	5.488	7.195
60.325	9.938	5.290
52.674	16.844	4.222
41.677	23.881	5.618
30.485	31.177	7.595
23.269	39.301	6.988
22.486	40.513	7.266
29.088	39.288	7.836
41.015	39.893	6.862
53.431	40.644	6.762
66.506	39.663	6.982
75.546	37.473	6.208
85.326	31.913	4.579
94.279	25.051	1.034
95.334	20.589	1.779
99.671	18.016	1.623
106.429	15.182	1.490
105.349	12.601	3.878
103.736	9.774	3.911
104.864	9.620	2.654
104.338	14.928	3.233
103.429	18.240	6.536
103.772	21.742	10.755
99.650	26.994	15.091
97.182	29.930	20.776
101.865	33.737	31.907
105.800	35.509	43.491
109.699	39.389	54.204
111.984	57.947	66.595
114.562	73.445	78.417
117.844	80.654	101.082
121.365	95.307	127.951
128.758	110.993	157.955
132.056	122.137	189.118
138.741	142.297	206.072
150.152	162.077	224.049
152.930	179.576	245.415
161.585	198.301	256.427
174.077	210.044	257.673
177.751	235.836	265.607
186.139	267.304	283.545
196.487	300.389	307.664
202.590	327.951	351.209
212.815	337.440	403.162
221.215	367.087	450.578
221.013	423.707	494.687
226.286	463.484	524.682
231.797	508.330	559.791
234.240	552.736	600.377
233.832	597.830	623.529
230.422	648.288	633.262
231.353	695.980	638.581
228.522	776.095	638.676
222.424	810.303	629.449
215.473	815.493	608.736
209.708	858.683	577.684
207.541	898.039	551.250
200.950	925.204	513.433
188.791	952.315	456.172
179.828	950.937	392.730
173.786	951.932	343.209
170.522	983.069	294.233
169.337	993.754	245.093
157.463	972.950	203.148
153.861	932.680	151.403
153.809	862.042	107.191
146.447	779.576	82.621
139.327	756.446	86.821
131.828	789.538	119.135
124.746	786.277	144.432
119.562	740.955	192.168
115.548	708.961	259.895
107.969	652.655	297.735
107.152	638.004	344.227
110.222	625.351	396.332
115.735	563.818	450.433
118.672	515.449	489.693
117.141	464.365	513.898
122.117	433.404	541.967
126.070	416.123	558.338
121.116	390.742	569.492
119.673	374.223	573.040
119.479	365.253	567.996
121.748	350.282	567.438
128.812	322.534	561.119
128.600	293.304	546.449
135.161	276.858	536.375
140.444	251.520	534.168
144.141	227.088	535.248
152.997	205.997	539.134
159.778	189.845	542.942
168.447	173.250	541.799
173.790	143.712	531.073
180.417	114.428	508.776
179.925	102.440	452.522
183.774	109.895	337.572
187.132	99.457	184.241
182.575	102.343	62.176
186.860	96.899	56.286
191.584	83.902	82.421
193.003	86.057	84.941
188.657	95.089	72.282
187.571	89.989	51.521
190.852	74.067	42.922
189.141	72.096	57.045
191.297	97.780	78.409
192.879	115.197	81.283
189.534	117.182	62.907
191.055	138.590	50.330
194.214	146.160	37.171
188.899	134.703	15.199
189.097	144.587	13.962
192.088	145.333	16.120
193.404	162.362	13.966
192.016	146.728	15.262
192.303	89.367	15.404
197.402	65.805	16.192
193.144	41.652	16.191
195.093	18.256	14.041
194.402	14.576	11.256
192.527	21.839	11.178
201.711	19.343	15.163
206.194	21.888	18.290
206.651	24.090	19.560
212.970	30.011	19.029
228.282	34.510	17.268
233.563	33.561	16.675
238.952	30.131	14.648
246.715	27.046	12.068
248.915	11.732	10.906
249.788	13.432	7.030
257.636	32.877	3.931
264.139	61.911	2.460
254.078	93.231	5.378
251.080	105.320	7.454
248.911	113.205	6.209
240.530	123.969	6.298
239.884	112.012	6.638
236.981	99.924	5.655
234.320	101.132	3.436
239.226	100.677	3.260
233.101	105.504	2.906
222.638	101.207	3.571
223.157	97.458	3.738
218.677	98.835	4.629
206.332	108.144	6.083
200.189	112.205	5.399
194.448	93.618	3.695
187.451	72.493	3.819
181.745	59.821	3.355
177.228	51.543	3.461
168.998	44.900	3.359
160.326	42.641	1.133
157.722	32.011	2.059
143.623	26.225	2.818
129.181	28.560	1.932
121.878	20.356	0.815
112.620	26.381	1.254
106.568	25.592	2.117
98.303	17.307	1.166
86.164	10.753	2.968
70.515	12.091	4.428
55.195	19.063	5.499
44.927	23.968	7.377
37.233	27.789	8.302
32.690	31.447	7.893
37.289	34.083	7.232
44.799	37.982	7.754
56.726	41.838	7.991
66.578	44.300	8.344
73.305	49.095	7.350
83.451	56.259	6.888
93.606	64.995	8.055
109.276	82.300	8.144
115.424	84.943	6.493
145.306	78.230	6.230
162.374	79.085	7.098
144.030	74.513	6.143
141.108	69.278	4.720
146.256	63.017	4.439
148.089	57.556	3.923
143.427	56.485	3.837
148.333	58.055	2.382
145.984	57.271	2.073
150.639	62.227	1.310
158.535	69.644	1.751
161.092	74.354	1.896
160.389	76.622	1.243
169.628	80.159	0.962
178.353	86.863	1.890
175.712	85.291	2.255
177.535	77.261	3.022
173.695	66.174	4.214
162.440	62.883	3.261
163.007	61.009	2.297
161.161	60.865	1.943
157.395	61.923	2.396
153.084	56.362	4.181
147.797	51.774	4.555
148.698	49.886	2.975
152.373	49.625	2.969
156.194	48.952	2.496
159.569	45.828	1.982
164.114	41.757	1.559
171.455	37.299	0.318
165.584	40.230	0.703
157.237	47.984	1.664
163.296	51.217	1.834
164.284	53.149	1.423
159.057	55.900	1.592
160.340	57.339	2.817
159.599	83.292	3.380
147.361	83.084	2.009
163.547	49.961	2.188
163.021	41.745	2.647
138.574	36.911	2.384
137.643	34.421	2.191
132.651	37.271	3.270
122.297	40.011	0.902
116.535	42.030	1.069
111.632	43.189	2.225
106.417	44.743	2.425
95.499	40.074	2.051
92.930	38.019	2.478
96.866	41.656	1.409
86.459	43.181	3.011
79.837	41.082	1.517
88.076	34.026	1.491
82.919	31.975	3.582
69.638	36.525	2.480
65.377	28.786	2.124
68.358	24.828	1.044
68.789	24.180	0.868
62.964	25.866	0.508
58.555	25.759	1.364
56.293	24.747	1.403
53.803	27.235	1.034
68.166	32.497	0.972
70.689	37.297	1.396
57.438	38.089	1.452
57.434	35.838	1.863
58.402	32.575	1.763
61.087	30.089	1.187
60.100	27.188	1.967
57.476	24.000	2.427
59.656	20.389	1.774
65.788	16.472	3.267
70.434	12.955	2.147
71.442	13.596	1.976
75.674	15.668	2.234
84.154	19.568	0.253
90.340	24.065	0.400
96.489	26.299	0.923
100.819	26.624	0.581
113.029	16.411	0.704
123.255	29.099	2.139
123.638	55.114	1.661
129.403	52.120	1.862
132.007	49.492	2.055
137.148	96.326	1.473
136.344	148.667	1.736
138.707	172.850	3.210
155.505	184.005	1.958
160.646	197.803	2.319
152.224	200.158	3.415
146.912	210.927	2.404
143.942	225.460	2.686
144.116	230.095	1.680
143.487	239.936	0.759
140.485	244.405	1.701
140.906	239.755	1.589
135.894	250.908	2.699
135.860	253.319	2.645
132.701	247.966	3.495
127.821	251.675	2.092
125.868	267.546	1.218
121.896	252.471	2.046
116.199	217.142	3.548
112.364	201.868	2.619
110.979	178.782	4.014
114.233	162.807	4.249
110.985	154.788	4.379
101.910	138.623	3.688
98.633	129.019	2.367
93.444	112.201	2.579
91.860	103.967	3.044
84.696	106.308	2.345
78.750	103.685	2.491
75.637	94.705	0.980
69.050	88.123	1.051
63.626	92.740	2.162
55.856	86.261	2.406
48.462	68.804	2.627
43.712	59.825	2.430
38.832	54.009	1.228
34.612	45.517	1.326
29.077	41.363	2.392
22.016	41.057	0.461
16.666	39.087	1.810
12.834	34.868	2.217
10.261	32.334	2.421
14.697	26.680	3.610
20.097	20.489	3.160
25.002	20.679	1.943
35.076	20.820	2.998
48.981	18.867	2.926
66.435	27.219	1.238
83.171	26.545	0.921
100.022	15.513	1.644
123.094	15.196	1.471
156.550	12.576	0.658
172.890	7.819	0.827
177.649	7.567	0.724
188.020	8.916	2.327
195.611	12.826	1.860
202.778	14.563	1.141
208.293	16.457	1.979
210.980	15.751	1.121
230.768	14.893	2.427
231.389	16.363	3.227
213.634	18.185	0.648
213.067	19.356	0.531
202.455	23.840	2.647
192.566	30.260	2.738
195.903	32.893	0.967
192.533	36.481	1.773
179.437	39.419	3.297
178.392	40.787	1.048
176.713	44.808	0.824
164.685	48.247	2.744
160.546	49.544	1.345
158.200	46.219	1.004
150.320	44.026	1.331
141.343	44.834	2.066
149.833	44.663	3.573
148.988	43.466	1.574
129.577	43.710	1.083
128.933	53.173	2.297
123.644	49.672	3.824
120.721	30.076	3.023
117.118	32.941	2.173
107.291	42.661	2.219
108.116	30.430	1.122
109.293	35.076	1.257
104.554	49.929	1.601
95.519	46.432	1.060
91.252	31.279	0.436
92.597	28.875	0.711
86.664	34.753	0.899
79.366	36.189	2.282
82.068	35.841	1.995
81.037	45.061	1.660
75.347	47.043	1.497
75.672	39.730	1.421
76.075	39.182	2.125
71.735	37.185	3.552
64.558	37.185	2.003
59.921	33.155	1.261
59.994	27.416	2.254
58.169	22.285	1.202
53.725	17.846	0.487
52.130	15.291	1.371
49.470	12.899	0.905
47.654	8.793	0.540
47.680	8.021	1.607
43.762	8.865	1.483
42.073	11.385	1.385
43.812	16.086	0.978
43.319	20.237	2.866
43.182	20.868	2.093
43.266	20.779	0.441
40.311	19.601	0.802
37.196	18.740	0.278
37.639	18.405	0.852
36.897	18.410	0.964
36.042	17.176	0.669
34.116	14.859	1.201
34.537	14.555	1.607
34.033	15.453	1.922
31.303	12.235	1.916
31.133	7.539	0.712
28.578	5.704	1.061
24.594	5.838	2.013
22.039	5.879	1.441
22.320	5.661	0.828
21.840	5.655	1.177
20.793	5.514	1.530
20.159	8.187	1.589
22.053	8.172	1.635
23.247	6.168	1.021
21.862	5.679	0.344
20.337	5.179	0.909
17.892	5.552	1.956
17.165	5.709	1.689
15.857	5.112	0.732
14.075	3.161	0.933
14.124	2.800	1.329
12.064	3.215	2.505
10.562	6.326	1.507
10.900	8.325	2.312
10.391	8.234	0.990
10.105	7.115	1.576
10.349	11.085	1.191
9.807	9.518	0.763
7.790	7.722	0.353
5.913	10.464	0.514
4.589	6.667	0.485
3.962	5.721	0.517
4.631	4.923	1.112
5.969	3.101	0.126
7.001	2.498	1.137
7.238	2.855	1.053
8.625	4.153	1.039
9.881	3.118	0.894
11.616	3.634	1.522
12.841	6.299	1.113
13.986	7.514	1.404
15.599	9.495	0.466
17.133	9.883	0.539
18.497	13.398	2.257
20.869	17.760	1.730
22.840	20.795	2.907
24.411	27.133	0.653
30.300	27.126	0.176
34.313	21.620	0.664
34.898	23.226	1.538
36.619	27.028	0.954
39.573	28.902	1.826
44.750	32.700	0.691
50.176	37.681	1.308
50.623	41.496	3.495
49.702	43.328	2.705
53.896	47.915	0.589
60.796	57.819	2.212
64.683	72.278	1.530
61.658	84.668	1.743
57.463	91.107	1.248
60.991	111.726	1.410
62.397	119.972	1.395
57.323	122.248	1.413
55.511	124.995	0.646
51.882	105.577	0.964
50.638	89.908	1.267
52.722	82.486	2.043
51.165	80.113	1.286
53.854	72.517	1.268
50.434	68.744	1.124
48.917	78.241	1.688
54.979	92.597	1.588
55.611	112.628	1.468
49.828	142.398	1.826
49.358	179.650	2.589
52.516	224.379	3.072
60.498	275.406	2.954
66.887	334.487	2.350
64.480	395.394	1.909
64.492	437.293	1.339
70.455	493.858	1.419
79.412	553.091	2.654
76.251	603.156	2.476
70.925	639.326	3.119
83.942	670.565	4.063
92.566	695.916	4.799
87.284	703.831	5.444
89.155	687.482	3.552
92.418	694.643	4.245
93.846	725.348	9.820
97.217	720.898	37.174
93.385	723.056	30.593
92.667	738.536	8.700
92.153	745.737	7.585
90.437	735.684	7.532
91.837	720.375	6.902
92.150	666.048	4.975
92.463	625.627	2.656
92.855	612.475	1.731
93.780	586.083	1.857
93.409	554.786	2.449
91.226	514.309	5.178
96.021	473.549	6.537
101.102	436.119	5.685
100.325	392.574	9.699
105.276	350.749	16.606
109.255	312.615	20.346
111.424	278.210	17.029
115.435	250.635	11.522
113.640	219.337	22.055
111.772	192.782	17.350
111.816	160.209	6.635
108.658	135.629	8.153
109.451	125.755	6.361
100.987	107.884	2.129
85.536	97.796	2.362
78.798	98.117	0.328
73.669	92.475	1.673
63.311	78.051	1.786
50.621	69.237	1.270
43.685	68.508	1.390
43.286	98.400	1.172
43.772	101.101	1.553
44.130	69.110	0.856
53.213	35.545	1.148
62.223	26.944	1.057
58.535	50.843	2.107
51.690	56.105	2.096
50.835	51.110	1.727
55.239	37.778	1.910
56.926	31.960	1.479
48.985	29.123	1.148
39.758	27.129	1.587
34.323	25.995	0.750
28.961	21.262	1.043
22.113	19.948	1.101
15.259	19.455	2.173
11.054	18.029	2.153
10.376	20.021	2.513
11.522	21.687	2.255
12.997	27.360	3.024
15.122	24.552	1.519
17.449	23.853	0.551
19.818	36.366	1.662
20.923	37.565	1.040
22.131	37.443	1.452
27.729	36.074	0.794
31.337	35.409	1.634
32.237	34.262	1.170
