
P1_elbow_lP1_whole_dist_traveled	P1_shoulder_lP1_whole_dist_traveled	P1_headP1_whole_dist_traveled	P1_hand_lP1_whole_dist_traveled	P1_hand_rP1_whole_dist_traveled	P1_elbow_rP1_whole_dist_traveled	P1_shoulder_rP1_whole_dist_traveled
7.755	3.890	37.667	3.865	3.652	3.594	4.607
7.755	3.890	38.008	3.865	3.652	3.594	4.607
7.755	4.090	38.340	3.865	3.652	3.594	4.814
7.755	4.090	38.651	3.865	3.652	3.594	4.814
7.755	4.090	38.959	3.865	3.652	3.594	4.814
7.755	4.090	39.200	3.865	3.652	3.594	4.814
7.755	4.090	39.431	3.865	3.652	3.594	4.814
7.755	4.090	39.661	3.865	3.652	3.594	4.814
7.755	4.090	39.921	3.865	3.652	3.594	4.814
7.755	4.090	40.168	3.865	3.652	3.594	4.814
7.755	4.307	40.377	3.865	3.652	3.797	4.814
7.755	4.307	40.580	3.865	3.652	3.797	5.020
7.755	4.307	40.783	3.865	3.652	3.797	5.020
7.755	4.307	40.783	3.865	3.652	3.797	5.020
7.755	4.307	41.115	3.865	3.652	3.797	5.020
7.755	4.307	41.115	3.865	3.652	3.797	5.020
7.755	4.307	41.384	3.865	3.652	3.797	5.020
7.755	4.307	41.384	3.865	3.652	3.797	5.020
7.755	4.307	41.627	3.865	3.652	3.797	5.020
7.755	4.514	41.627	3.865	3.652	3.797	5.020
7.755	4.514	41.627	3.865	3.652	3.797	5.020
7.755	4.514	41.896	3.865	3.652	3.797	5.224
7.755	4.514	41.896	3.865	3.652	3.797	5.224
7.755	4.514	41.896	3.865	3.652	3.797	5.224
7.755	4.514	41.896	3.865	3.652	3.797	5.224
7.755	4.514	42.147	3.865	3.652	3.797	5.224
7.755	4.514	42.147	3.865	3.652	3.797	5.224
7.755	4.514	42.147	3.865	3.652	3.797	5.224
7.755	4.514	42.147	3.865	3.652	3.797	5.224
7.755	4.514	42.147	3.865	3.652	3.797	5.224
7.755	4.514	42.353	3.865	3.652	3.797	5.224
7.755	4.514	42.353	3.865	3.652	3.797	5.435
7.755	4.514	42.353	3.865	3.652	3.998	5.435
7.755	4.514	42.353	3.865	3.652	3.998	5.435
7.755	4.514	42.353	3.865	3.652	3.998	5.435
7.755	4.514	42.353	3.865	3.652	3.998	5.435
7.755	4.514	42.353	3.865	3.652	3.998	5.435
7.755	4.514	42.353	3.865	3.652	3.998	5.435
7.755	4.514	42.562	3.865	3.652	3.998	5.435
7.755	4.514	42.562	3.865	3.652	3.998	5.435
7.755	4.514	42.562	3.865	3.652	3.998	5.435
7.755	4.514	42.562	3.865	3.652	3.998	5.435
7.755	4.514	42.783	3.865	3.652	3.998	5.435
7.755	4.514	42.783	3.865	3.652	3.998	5.435
7.968	4.722	42.783	3.865	3.858	3.998	5.435
7.968	4.722	42.783	3.865	3.858	3.998	5.435
7.968	4.722	42.996	3.865	3.858	3.998	5.435
7.968	4.722	42.996	3.865	3.858	3.998	5.435
7.968	4.722	42.996	3.865	3.858	3.998	5.435
7.968	4.722	42.996	3.865	3.858	3.998	5.435
7.968	4.722	43.225	3.865	3.858	3.998	5.435
7.968	4.722	43.225	3.865	3.858	3.998	5.435
7.968	4.722	43.225	4.067	3.858	3.998	5.435
7.968	4.722	43.225	4.067	3.858	3.998	5.435
7.968	4.722	43.468	4.067	3.858	3.998	5.435
7.968	4.722	43.468	4.067	3.858	3.998	5.636
7.968	4.722	43.468	4.067	3.858	3.998	5.636
7.968	4.722	43.468	4.067	3.858	3.998	5.636
7.968	4.722	43.468	4.067	3.858	3.998	5.636
7.968	4.722	43.702	4.067	3.858	3.998	5.636
7.968	4.722	43.702	4.067	3.858	3.998	5.636
7.968	4.942	43.702	4.067	3.858	3.998	5.636
7.968	4.942	43.702	4.067	3.858	3.998	5.636
7.968	4.942	43.702	4.067	3.858	3.998	5.636
7.968	4.942	43.702	4.067	3.858	3.998	5.636
7.968	4.942	43.702	4.067	3.858	3.998	5.636
7.968	4.942	43.928	4.067	3.858	3.998	5.636
7.968	4.942	43.928	4.067	3.858	3.998	5.636
7.968	4.942	43.928	4.067	3.858	3.998	5.636
7.968	4.942	43.928	4.067	3.858	3.998	5.636
