P1_head_Angle


65.400
65.225
65.227
65.404
65.405
65.499
65.331
65.308
65.363
65.371
65.365
65.371
65.369
65.374
65.376
65.374
65.381
65.374
65.376
65.381
65.382
65.382
65.377
65.380
65.391
65.387
65.395
65.402
65.403
65.402
65.406
65.404
65.408
65.411
65.414
65.414
65.416
65.426
65.424
65.427
65.433
65.437
65.434
65.433
65.434
65.440
65.434
65.430
65.436
65.436
65.441
65.442
65.441
65.442
65.446
65.447
65.456
65.458
65.464
65.474
65.476
65.486
65.493
65.505
65.521
65.534
65.562
65.584
65.607
65.638
65.664
65.688
65.713
65.741
65.786
65.830
65.867
65.904
66.019
66.076
66.122
66.163
66.214
66.256
66.299
66.343
66.383
66.426
66.456
66.495
66.535
66.572
66.602
66.632
66.655
66.670
66.691
66.725
66.740
66.767
66.783
66.800
66.818
66.839
66.857
66.873
66.884
66.895
66.914
66.921
66.932
66.946
66.957
66.965
66.979
66.989
66.999
66.999
67.013
67.018
67.020
67.021
67.026
67.030
67.038
67.044
67.051
67.053
67.054
67.055
67.056
67.056
67.060
67.060
67.060
67.061
67.060
67.060
67.063
67.067
67.068
67.070
67.076
67.075
67.069
67.066
67.069
67.063
67.055
67.051
67.049
67.045
67.043
67.045
67.038
67.039
67.035
67.035
67.033
67.030
67.032
67.024
67.028
67.025
67.022
67.017
67.012
67.017
67.016
67.016
67.010
67.011
67.006
67.004
67.000
66.999
66.991
66.988
66.986
66.982
66.972
66.960
66.920
66.899
66.882
66.859
66.833
66.818
66.810
66.795
66.772
66.790
66.773
66.767
66.742
66.733
66.712
66.731
66.775
66.882
67.080
67.227
67.351
67.456
67.487
67.504
67.450
67.397
67.318
67.221
67.121
66.972
66.735
66.647
66.550
66.467
66.382
66.293
66.200
66.113
66.016
65.936
65.858
65.789
65.728
65.625
65.564
65.497
65.411
65.300
65.211
65.108
65.010
64.903
64.797
64.695
64.590
64.474
64.337
64.206
64.095
63.963
63.844
63.737
63.607
63.496
63.420
63.356
63.272
63.115
63.056
62.977
62.887
62.819
62.771
62.730
62.693
62.659
62.638
62.744
62.768
62.802
62.827
62.847
62.856
62.849
62.842
62.812
62.750
62.694
62.683
62.681
62.691
62.756
62.790
62.820
62.884
62.926
62.962
62.992
63.025
63.053
63.102
63.141
63.184
63.266
63.317
63.377
63.434
63.489
63.542
63.492
63.570
63.656
63.733
63.818
64.024
64.131
64.247
64.368
64.493
64.635
64.740
64.820
64.904
64.970
65.018
65.092
65.153
65.235
65.303
65.376
65.459
65.541
65.622
65.708
65.794
65.912
66.020
66.118
66.203
66.249
66.290
66.352
66.373
66.408
66.432
66.497
66.533
66.568
66.620
66.648
66.675
66.699
66.717
66.730
66.766
66.775
66.810
66.818
66.866
66.897
66.928
66.971
67.012
67.051
67.131
67.194
67.239
67.326
67.526
67.555
67.607
67.615
67.655
67.590
67.594
67.576
67.565
67.564
67.537
67.518
67.503
67.492
67.484
67.572
67.576
67.474
67.472
67.438
67.390
67.326
67.287
67.247
67.204
67.141
67.100
67.070
66.873
67.013
66.811
66.768
66.729
66.664
66.608
66.541
66.448
66.383
66.283
66.217
66.114
66.035
65.965
65.881
65.799
65.723
65.627
65.544
65.456
65.365
