Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z	RHand_X	RHand_Y	RHand_Z
17.084	13.194	8.402	0.891	2.121	2.212	1.305	2.002	2.211
17.702	13.862	8.609	0.891	2.121	2.212	1.305	2.002	2.211
18.281	14.408	8.874	0.891	2.121	2.212	1.305	2.002	2.211
18.874	15.023	9.126	0.891	2.121	2.212	1.305	2.002	2.211
19.450	15.654	9.363	0.891	2.121	2.212	1.305	2.002	2.211
19.910	16.185	9.585	0.891	2.121	2.212	1.305	2.002	2.211
20.434	16.757	9.802	0.891	2.121	2.212	1.305	2.002	2.211
20.939	17.287	9.802	0.891	2.121	2.212	1.305	2.002	2.211
21.393	17.776	10.164	0.891	2.121	2.212	1.305	2.002	2.211
21.820	18.269	10.164	0.891	2.121	2.212	1.305	2.002	2.211
22.255	18.793	10.528	0.891	2.121	2.212	1.305	2.002	2.211
22.616	19.192	10.528	0.891	2.121	2.212	1.305	2.002	2.211
22.998	19.604	10.875	0.891	2.121	2.212	1.305	2.002	2.211
23.381	20.000	10.875	0.891	2.121	2.212	1.305	2.002	2.211
23.731	20.406	11.135	0.891	2.121	2.212	1.305	2.002	2.211
24.051	20.716	11.135	0.891	2.121	2.212	1.305	2.002	2.211
24.339	21.018	11.438	0.891	2.121	2.212	1.305	2.002	2.211
24.680	21.355	11.438	0.891	2.121	2.212	1.305	2.002	2.211
25.001	21.649	11.720	0.891	2.121	2.212	1.305	2.002	2.211
25.253	21.929	11.720	0.891	2.121	2.212	1.305	2.002	2.211
25.503	22.177	11.923	0.891	2.121	2.212	1.305	2.002	2.211
25.718	22.418	11.923	0.891	2.121	2.212	1.305	2.002	2.211
25.960	22.676	11.923	0.891	2.121	2.212	1.305	2.002	2.211
26.194	22.904	12.218	0.891	2.121	2.212	1.305	2.002	2.211
26.426	23.125	12.218	0.891	2.121	2.212	1.305	2.002	2.211
26.426	23.362	12.218	0.891	2.121	2.212	1.305	2.002	2.211
26.786	23.604	12.461	0.891	2.121	2.212	1.305	2.002	2.211
26.786	23.604	12.461	0.891	2.121	2.212	1.305	2.002	2.211
27.063	23.951	12.461	0.891	2.121	2.212	1.305	2.002	2.211
27.063	23.951	12.682	0.891	2.121	2.212	1.305	2.002	2.211
27.335	24.342	12.682	0.891	2.121	2.212	1.305	2.002	2.211
27.335	24.342	12.682	0.891	2.121	2.212	1.305	2.002	2.211
27.596	24.698	12.682	0.891	2.121	2.212	1.305	2.002	2.211
