P1_pos_hand_l	P1_pos_hand_r
993.097	987.251
992.924	987.240
992.857	987.330
992.902	987.534
993.136	987.786
993.509	988.114
994.008	988.454
994.599	988.806
995.110	989.232
995.611	989.632
996.022	990.026
996.409	990.408
996.595	990.688
996.637	990.922
996.735	991.063
996.580	991.140
996.287	991.074
996.067	990.885
995.948	990.717
995.689	990.448
995.591	990.222
995.392	989.980
995.257	989.844
995.094	989.777
994.941	989.919
994.942	990.143
995.062	990.556
995.388	990.802
995.510	990.871
995.826	990.409
996.074	989.593
996.246	988.685
996.399	987.777
996.510	986.940
996.632	986.061
996.719	985.198
996.821	984.304
996.654	983.460
996.569	982.546
996.194	981.538
995.537	980.347
994.749	978.793
993.809	976.889
992.700	974.872
991.424	972.765
990.141	970.438
988.681	968.024
987.164	965.557
985.689	963.369
984.281	961.158
982.918	959.198
981.719	957.834
980.765	956.542
979.910	955.433
979.327	954.580
978.576	953.917
977.841	953.503
977.372	953.241
976.936	953.079
976.468	952.974
975.962	953.122
975.226	953.420
974.473	953.910
973.556	954.481
972.437	955.307
971.436	956.240
970.401	957.119
969.390	958.090
968.188	959.087
967.208	959.908
966.532	960.826
966.109	961.710
966.010	962.477
966.160	963.340
966.604	964.278
967.127	965.260
967.749	966.142
968.538	967.182
969.196	968.171
969.994	969.055
970.846	969.880
971.884	970.714
972.977	971.475
974.054	972.323
975.090	973.260
976.174	974.320
977.173	975.296
978.134	976.372
978.976	977.372
979.857	978.295
980.607	979.194
981.297	979.951
981.979	980.914
982.531	981.582
983.198	982.288
983.854	982.936
984.584	983.639
985.592	984.339
986.617	985.221
987.992	986.080
989.333	987.009
990.488	987.949
991.760	988.880
992.953	989.834
994.154	990.837
995.369	991.818
996.544	992.833
997.670	993.927
999.331	994.905
999.792	995.782
1000.664	996.852
1001.585	997.846
1002.525	998.722
1003.398	999.698
1004.119	1000.600
1005.027	1001.720
1005.764	1002.824
1006.515	1003.943
1007.232	1005.032
1007.923	1006.169
1008.656	1007.405
1009.381	1008.277
1009.981	1009.359
1010.460	1010.114
1010.709	1010.713
1010.995	1011.226
1011.080	1011.464
1011.096	1011.452
1010.887	1011.139
1010.553	1010.559
1009.951	1009.742
1009.221	1008.801
1008.423	1007.792
1007.450	1006.686
1006.272	1005.655
1005.150	1004.703
1003.707	1003.738
1002.668	1002.726
1001.745	1001.736
1001.100	1000.689
1000.500	999.661
1000.000	998.733
999.589	997.903
999.244	997.211
999.022	996.602
998.972	996.153
998.911	995.689
999.060	995.324
999.235	995.086
999.387	994.828
999.667	994.740
999.932	994.753
1000.388	994.956
1000.870	995.215
1001.241	995.510
1001.556	995.845
1001.897	996.215
1002.216	996.556
1002.494	996.834
1002.668	997.031
1002.806	997.247
1002.922	997.472
1003.019	997.799
1003.145	998.136
1003.345	998.487
1003.579	998.877
1003.845	999.259
1004.087	999.650
1004.332	1000.060
1004.590	1000.557
1004.921	1001.311
1005.100	1001.915
1005.253	1002.540
1005.393	1003.266
1005.496	1003.862
1005.462	1004.515
1005.309	1005.149
1005.041	1005.758
1004.756	1006.349
1004.390	1006.910
1003.958	1007.357
1003.521	1007.728
1003.125	1008.061
1002.755	1008.160
1002.331	1008.171
1002.031	1008.093
1001.787	1007.818
1001.526	1007.411
1001.224	1007.021
1000.883	1006.609
1000.518	1006.269
1000.118	1006.115
999.713	1006.039
999.340	1006.009
999.224	1006.037
999.180	1006.163
999.240	1006.298
999.273	1006.498
999.449	1006.560
999.635	1006.762
999.866	1006.922
1000.104	1007.018
1000.340	1007.092
1000.565	1007.146
1000.752	1007.193
1000.869	1007.188
1001.029	1007.186
1001.212	1007.158
1001.331	1007.073
1001.426	1007.028
1001.607	1006.953
1001.723	1006.933
1002.034	1007.066
1002.163	1007.172
1002.433	1007.310
1002.740	1007.527
1003.131	1007.825
1003.581	1008.169
1003.991	1008.294
1004.507	1008.693
1005.033	1008.877
1005.528	1009.073
1005.942	1009.209
1006.414	1009.318
1006.934	1009.397
1007.494	1009.507
1007.990	1009.634
1008.583	1009.751
1009.338	1009.855
1009.956	1009.966
1010.628	1010.059
1011.323	1010.088
1011.985	1010.178
1012.591	1010.270
1013.187	1010.337
1013.913	1010.352
1014.419	1010.361
1014.807	1010.330
1015.144	1010.114
1015.385	1010.075
1015.514	1010.062
1015.549	1010.077
1015.482	1010.072
1015.338	1010.079
1015.169	1010.066
1015.020	1010.100
1014.810	1010.157
1014.612	1010.265
1014.462	1010.427
1014.308	1010.626
1014.217	1010.788
1014.124	1010.936
1014.072	1011.068
1014.019	1011.206
1013.963	1011.298
1013.950	1011.343
1013.909	1011.402
1013.840	1011.434
1013.743	1011.478
1013.681	1011.549
1013.623	1011.615
1013.662	1011.670
1013.622	1011.704
1013.636	1011.742
1013.618	1011.766
1013.572	1011.796
1013.525	1011.819
1013.478	1011.845
1013.433	1011.908
1013.386	1011.958
1013.379	1012.001
1013.379	1012.051
1013.403	1012.100
1013.421	1012.133
