P1_head_pos_head_X	P1_head_pos_head_Y	P1_head_pos_head_Z
-152.032	-2.809	1286.649
-152.386	-3.144	1286.768
-152.649	-3.486	1286.827
-152.829	-3.828	1286.851
-152.896	-4.152	1286.824
-152.910	-4.450	1286.762
-152.868	-4.708	1286.674
-152.733	-4.919	1286.522
-152.566	-5.147	1286.337
-152.330	-5.345	1286.077
-152.089	-5.482	1285.800
-151.850	-5.636	1285.463
-151.577	-5.786	1285.130
-151.268	-5.853	1284.840
-150.946	-5.927	1284.489
-150.660	-5.994	1284.122
-150.393	-6.004	1283.763
-150.121	-6.003	1283.384
-149.836	-6.009	1283.103
-149.616	-5.973	1282.870
-149.403	-5.936	1282.687
-149.216	-5.903	1282.512
-148.995	-5.842	1282.333
-148.808	-5.796	1282.209
-148.589	-5.744	1282.126
-148.393	-5.693	1282.080
-148.237	-5.630	1282.103
-148.062	-5.583	1282.203
-147.887	-5.505	1282.353
-147.713	-5.437	1282.484
-147.560	-5.350	1282.632
-147.411	-5.286	1282.777
-147.213	-5.165	1282.955
-146.951	-5.034	1283.117
-146.642	-4.846	1283.276
-146.238	-4.619	1283.388
-145.738	-4.365	1283.454
-145.194	-4.077	1283.453
-144.517	-3.743	1283.369
-143.691	-3.368	1283.193
-142.803	-2.898	1282.975
-141.815	-2.424	1282.700
-140.657	-1.888	1282.307
-139.469	-1.300	1281.861
-138.124	-0.703	1281.359
-136.693	-0.024	1280.717
-135.173	0.748	1280.056
-133.521	1.451	1279.349
-131.866	2.051	1278.390
-130.117	2.696	1277.568
-128.409	3.332	1276.756
-126.709	3.924	1275.853
-124.997	4.499	1275.022
-123.265	5.033	1274.160
-121.599	5.561	1273.321
-119.840	6.054	1272.399
-118.073	6.487	1271.568
-116.244	6.934	1270.618
-114.367	7.346	1269.663
-112.443	7.736	1268.706
-110.425	8.121	1267.552
-108.247	8.506	1266.473
-106.132	8.900	1265.285
-103.849	9.344	1264.025
-101.516	9.853	1262.699
-99.196	10.435	1261.296
-96.781	11.124	1259.882
-94.307	11.769	1258.291
-91.851	12.531	1256.656
-89.363	13.273	1255.050
-86.885	13.916	1253.381
-84.447	14.536	1251.702
-82.044	15.106	1250.046
-79.661	15.533	1248.350
-77.287	15.964	1246.573
-74.961	16.396	1244.834
-72.792	17.093	1242.893
-70.452	17.647	1241.013
-68.173	18.239	1239.190
-65.949	18.934	1237.248
-63.797	19.646	1235.439
-61.715	20.544	1233.710
-59.693	21.436	1231.961
-57.723	22.340	1230.210
-55.835	23.411	1228.456
-53.908	24.439	1226.733
-52.060	25.461	1224.996
-50.172	26.509	1223.242
-48.338	27.690	1221.440
-46.466	28.822	1219.592
-44.570	29.949	1217.678
-42.640	31.083	1215.690
-40.733	32.290	1213.525
