P1_hands_dir_Distance_X	P1_hands_dir_Distance_Y	P1_hands_dir_Distance_Z
57.744	-143.729	6.975
55.032	-138.354	7.107
52.321	-132.738	7.454
49.726	-127.157	7.574
47.004	-121.826	7.898
44.565	-116.102	7.907
42.323	-110.409	7.714
39.983	-104.758	7.349
38.030	-99.522	6.736
36.517	-94.902	6.221
35.190	-91.758	5.984
34.569	-89.425	5.667
34.471	-88.914	5.381
34.576	-88.623	5.190
34.877	-88.539	5.162
34.987	-89.211	5.246
35.330	-89.697	5.205
35.609	-90.092	5.238
35.804	-90.603	5.234
36.062	-90.949	5.299
36.065	-91.283	5.208
36.054	-91.774	5.127
36.127	-92.277	5.159
36.088	-92.762	5.251
35.981	-93.413	5.466
35.882	-94.188	5.701
36.175	-94.861	5.739
36.662	-95.805	5.680
37.015	-96.822	5.634
37.388	-97.886	5.661
38.169	-98.920	5.472
38.979	-99.999	5.302
39.708	-101.063	5.174
40.416	-102.373	5.343
41.282	-103.549	5.532
42.088	-104.616	5.711
42.902	-105.498	5.769
43.815	-106.713	5.844
44.983	-107.607	5.834
45.998	-108.596	5.979
47.174	-109.414	6.006
48.048	-110.449	6.025
48.843	-111.456	6.157
49.626	-112.624	6.234
50.487	-113.642	6.297
51.060	-114.857	6.459
51.610	-116.046	6.679
51.914	-117.479	6.783
52.475	-118.859	6.800
52.716	-120.308	6.839
53.132	-121.577	6.900
53.478	-123.073	7.075
53.660	-124.354	7.230
53.828	-125.357	7.348
53.942	-126.228	7.300
54.134	-127.008	7.126
54.447	-127.607	6.772
54.883	-128.005	6.234
55.148	-128.540	5.660
55.450	-129.252	4.931
55.889	-129.901	4.539
56.221	-130.500	4.199
56.458	-131.093	4.028
56.503	-131.734	3.899
56.429	-132.323	3.852
56.321	-132.851	3.821
56.218	-133.407	3.803
56.162	-134.072	3.744
56.167	-134.730	3.687
56.191	-135.444	3.727
56.321	-136.100	3.692
56.535	-136.908	3.693
56.857	-137.697	3.650
57.255	-138.510	3.709
57.676	-139.445	3.846
58.341	-140.490	3.897
58.833	-141.591	3.963
59.280	-142.908	4.030
59.519	-144.309	3.989
59.596	-145.706	4.067
60.136	-146.986	3.910
60.008	-148.724	3.815
59.737	-149.956	3.694
59.586	-150.872	3.462
59.425	-151.600	3.257
59.397	-152.119	3.088
59.471	-152.590	2.886
59.571	-152.769	2.604
59.944	-152.375	2.306
60.085	-152.365	2.161
60.295	-152.382	1.974
60.618	-152.397	1.884
61.040	-152.457	1.776
61.566	-152.537	1.790
62.064	-152.670	1.843
62.719	-152.428	1.965
63.203	-152.705	2.112
63.721	-153.081	2.254
64.309	-153.434	2.334
64.781	-153.814	2.366
65.140	-154.239	2.334
65.464	-154.631	2.299
65.878	-155.108	2.169
66.346	-155.611	1.984
66.724	-156.150	1.694
67.125	-156.705	1.391
67.509	-157.287	1.074
67.834	-157.895	0.742
68.091	-158.415	0.496
68.342	-158.776	0.360
68.641	-159.045	0.278
68.992	-159.281	0.288
69.401	-159.532	0.451
69.704	-159.778	0.636
69.990	-160.073	0.784
70.284	-160.312	0.939
70.520	-160.614	1.092
70.700	-160.871	1.185
70.793	-161.032	1.240
70.803	-161.109	1.366
70.672	-161.077	1.397
70.491	-160.932	1.398
70.162	-160.709	1.364
69.840	-160.463	1.341
69.527	-160.174	1.321
69.235	-159.890	1.318
68.964	-159.514	1.321
68.666	-159.061	1.402
68.439	-158.509	1.474
68.261	-157.831	1.617
68.143	-157.084	1.710
68.061	-156.240	1.726
67.936	-155.373	1.702
67.769	-154.405	1.681
67.630	-153.322	1.604
