P1_hand_lP1_hands_pos_X	P1_hand_lP1_hands_pos_Y	P1_hand_lP1_hands_pos_Z	P1_hand_rP1_hands_pos_X	P1_hand_rP1_hands_pos_Y	P1_hand_rP1_hands_pos_Z
85.116	206.248	766.952	164.353	-4.743	770.142
85.118	206.257	766.950	164.333	-4.744	770.140
85.113	206.254	766.962	164.333	-4.732	770.141
85.115	206.238	766.964	164.334	-4.730	770.136
85.103	206.232	766.962	164.328	-4.737	770.171
85.115	206.233	766.961	164.327	-4.716	770.147
85.099	206.220	766.947	164.343	-4.727	770.164
85.093	206.225	766.953	164.352	-4.730	770.139
85.104	206.226	766.942	164.333	-4.706	770.142
85.099	206.224	766.938	164.346	-4.716	770.148
85.089	206.204	766.929	164.330	-4.717	770.145
85.116	206.151	766.934	164.332	-4.706	770.145
85.111	206.150	766.943	164.344	-4.694	770.146
85.107	206.138	766.921	164.336	-4.702	770.171
85.113	206.136	766.913	164.357	-4.745	770.184
85.124	206.150	766.964	164.347	-4.717	770.183
85.133	206.140	766.962	164.360	-4.716	770.151
85.119	206.150	766.951	164.377	-4.723	770.158
85.116	206.159	766.958	164.362	-4.725	770.163
85.114	206.149	766.949	164.359	-4.767	770.177
85.116	206.160	766.955	164.389	-4.773	770.187
85.098	206.160	766.953	164.382	-4.757	770.181
85.097	206.154	766.945	164.368	-4.756	770.199
85.095	206.145	766.940	164.356	-4.711	770.163
85.091	206.131	766.926	164.378	-4.735	770.154
85.111	206.131	766.946	164.371	-4.716	770.165
85.123	206.129	766.946	164.370	-4.726	770.174
85.104	206.121	766.947	164.384	-4.704	770.170
85.109	206.128	766.960	164.385	-4.711	770.164
85.117	206.126	766.955	164.384	-4.711	770.172
85.124	206.119	766.952	164.382	-4.688	770.191
85.110	206.110	766.957	164.360	-4.695	770.164
85.106	206.109	766.961	164.366	-4.690	770.155
85.126	206.108	766.948	164.383	-4.683	770.159
85.123	206.104	766.951	164.396	-4.720	770.159
85.107	206.091	766.937	164.386	-4.710	770.167
85.117	206.095	766.960	164.377	-4.730	770.177
85.123	206.085	766.971	164.384	-4.729	770.190
85.111	206.074	766.965	164.385	-4.717	770.190
85.110	206.067	766.970	164.378	-4.721	770.163
85.116	206.054	766.953	164.382	-4.692	770.178
85.117	206.062	766.961	164.387	-4.706	770.168
85.113	206.057	766.966	164.387	-4.727	770.179
85.120	206.056	766.965	164.395	-4.739	770.181
85.094	206.073	766.968	164.398	-4.737	770.192
85.093	206.075	766.980	164.404	-4.770	770.206
85.096	206.077	766.981	164.388	-4.762	770.211
85.081	206.064	766.980	164.389	-4.757	770.203
85.076	206.055	766.968	164.404	-4.729	770.174
85.075	206.040	766.967	164.396	-4.724	770.160
85.077	206.049	766.967	164.387	-4.721	770.168
85.082	206.045	766.946	164.380	-4.714	770.155
85.085	206.052	766.960	164.396	-4.740	770.152
85.104	206.044	766.962	164.408	-4.738	770.170
85.085	206.050	766.969	164.417	-4.726	770.163
85.097	206.074	766.962	164.399	-4.725	770.191
85.121	206.020	766.968	164.399	-4.713	770.188
85.094	206.084	766.961	164.414	-4.765	770.233
85.110	206.075	766.977	164.428	-4.799	770.296
85.127	206.050	766.986	164.453	-4.867	770.427
85.141	206.066	767.010	164.508	-4.901	770.615
85.133	206.134	767.062	164.561	-4.964	770.803
85.138	206.193	767.141	164.564	-4.997	771.107
85.137	206.279	767.257	164.590	-5.006	771.464
85.119	206.441	767.437	164.589	-5.037	771.894
85.074	206.689	767.750	164.608	-5.109	772.412
85.051	206.929	768.092	164.615	-5.161	773.183
84.995	207.226	768.556	164.563	-5.209	774.065
84.946	207.637	768.969	164.439	-5.198	774.950
