P6_elbow_lP6_whole_dist_traveled	P6_shoulder_lP6_whole_dist_traveled	P6_shoulder_rP6_whole_dist_traveled	P6_elbow_rP6_whole_dist_traveled	P6_headP6_whole_dist_traveled	P6_hand_rP6_whole_dist_traveled	P6_hand_lP6_whole_dist_traveled
12.808	9.338	10.488	16.251	12.808	19.382	7.509
12.808	9.338	10.488	16.485	12.808	19.599	7.812
13.041	9.338	10.488	16.485	12.808	19.802	7.812
13.041	9.554	10.488	16.485	13.056	20.074	8.111
13.327	9.554	10.488	16.485	13.056	20.331	8.356
13.327	9.554	10.488	16.485	13.056	20.331	8.607
13.589	9.771	10.712	16.738	13.270	20.648	8.607
13.589	9.771	10.712	16.738	13.270	20.648	8.857
13.791	9.771	10.712	16.738	13.270	20.906	8.857
13.791	9.771	10.712	16.939	13.498	21.133	8.857
13.791	9.771	10.712	16.939	13.498	21.491	9.118
13.791	9.998	10.712	17.179	13.498	21.927	9.118
13.998	9.998	10.712	17.179	13.762	22.293	9.118
13.998	9.998	10.712	17.412	13.762	22.584	9.118
13.998	9.998	10.712	17.412	13.762	22.835	9.118
13.998	9.998	10.934	17.412	14.030	22.835	9.347
13.998	9.998	10.934	17.692	14.030	23.179	9.347
14.245	10.204	10.934	17.692	14.030	23.179	9.347
14.245	10.204	10.934	17.692	14.242	23.179	9.347
14.245	10.204	10.934	17.692	14.242	23.179	9.585
14.245	10.204	10.934	17.692	14.242	23.470	9.585
14.465	10.410	10.934	17.901	14.448	23.470	9.585
14.465	10.410	10.934	17.901	14.448	23.470	9.585
14.465	10.410	10.934	17.901	14.448	23.766	9.585
14.465	10.410	10.934	17.901	14.730	23.766	9.585
14.465	10.410	10.934	17.901	14.730	24.020	9.585
14.465	10.410	11.139	17.901	14.730	24.020	9.889
14.465	10.410	11.139	17.901	15.001	24.020	9.889
14.465	10.410	11.139	17.901	15.001	24.304	10.242
14.465	10.410	11.139	17.901	15.001	24.304	10.242
14.713	10.410	11.139	17.901	15.246	24.543	10.552
14.713	10.653	11.139	17.901	15.246	24.543	10.552
14.713	10.653	11.139	17.901	15.246	24.790	10.764
14.971	10.653	11.139	18.127	15.246	24.790	10.764
14.971	10.653	11.139	18.127	15.475	24.990	10.764
14.971	10.653	11.351	18.127	15.475	24.990	10.764
14.971	10.653	11.351	18.127	15.475	25.277	10.764
14.971	10.653	11.351	18.357	15.475	25.277	10.764
15.192	10.653	11.351	18.357	15.709	25.548	10.764
15.192	10.653	11.351	18.589	15.709	25.548	10.764
15.192	10.653	11.351	18.589	15.709	25.866	10.764
15.407	10.653	11.351	18.821	15.709	26.309	11.027
15.407	10.653	11.351	18.821	15.709	26.845	11.285
15.713	10.854	11.569	18.821	15.958	27.508	11.533
15.713	10.854	11.569	19.074	15.958	28.017	11.765
15.967	10.854	11.569	19.893	15.958	28.419	11.765
15.967	11.097	11.569	20.712	15.958	28.682	11.765
16.168	11.097	11.813	20.712	16.189	28.682	11.983
16.168	11.097	11.813	21.601	16.189	28.682	11.983
16.168	11.348	11.813	22.420	16.189	29.068	12.357
16.168	11.348	12.025	22.672	16.189	29.356	12.579
16.376	11.348	12.025	22.907	16.390	29.657	12.579
16.376	11.348	12.025	23.874	16.390	29.895	12.579
16.376	11.348	12.308	24.107	16.390	29.895	12.579
16.376	11.348	12.308	24.319	16.592	30.182	12.799
16.376	11.561	12.581	25.094	16.592	30.182	12.799
16.376	11.561	12.581	25.943	16.592	30.182	13.180
16.592	11.561	12.581	25.943	16.888	30.505	13.180
16.592	11.561	12.818	26.148	16.888	30.505	13.438
16.592	11.561	12.818	26.148	17.132	30.883	13.438
16.592	11.561	12.818	26.985	17.132	31.143	13.675
16.813	11.561	12.818	27.897	17.332	31.537	13.928
16.813	11.561	13.025	28.754	17.332	32.028	14.136
16.813	11.797	13.025	29.015	17.332	32.644	14.395
17.116	11.797	13.025	29.254	17.576	33.196	14.619
17.116	11.797	13.025	29.501	17.576	34.018	14.927
17.116	12.004	13.025	29.809	17.576	34.876	15.396
17.407	12.004	13.303	30.154	17.576	35.555	15.866
17.407	12.004	13.303	31.091	17.576	36.276	16.391
17.614	12.237	13.511	31.904	17.819	37.037	16.935
17.614	12.237	13.511	32.334	17.819	37.813	17.417
17.614	12.237	13.733	33.343	17.819	38.539	17.920
17.891	12.237	13.733	33.723	17.819	39.088	18.456
17.891	12.237	13.995	34.041	18.059	39.768	18.967
17.891	12.446	13.995	34.372	18.059	40.122	19.377
18.091	12.446	14.284	34.721	18.059	40.421	19.741
18.091	12.446	14.284	35.024	18.059	40.746	19.985
18.091	12.446	14.543	35.332	18.315	41.609	19.985
18.091	12.446	14.543	35.603	18.315	41.859	20.282
18.091	12.446	14.543	35.844	18.315	41.859	20.282
18.091	12.701	14.848	36.080	18.315	42.202	20.282
18.091	12.701	14.848	36.080	18.529	42.202	20.580
18.317	12.701	14.848	36.370	18.529	43.500	20.580
18.317	12.960	14.848	36.370	18.529	43.778	20.988
18.317	12.960	15.069	36.370	18.777	44.100	21.223
18.317	12.960	15.069	36.661	18.777	44.716	21.428
18.520	12.960	15.069	36.661	18.777	45.209	21.742
