P6_hand_rP1_hands_pos_X	P6_hand_rP1_hands_pos_Y	P6_hand_rP1_hands_pos_Z	P6_hand_lP1_hands_pos_X	P6_hand_lP1_hands_pos_Y	P6_hand_lP1_hands_pos_Z


-843.348	-54.166	676.852	-884.482	112.464	662.878
-843.507	-53.873	676.667	-884.355	112.423	663.004
-843.648	-53.664	676.487	-884.299	112.414	663.052
-844.088	-52.865	676.156	-884.256	112.283	663.001
-844.070	-52.718	676.063	-884.267	112.070	662.908
-843.943	-52.800	675.322	-884.133	111.297	662.350
-844.091	-52.337	676.113	-884.406	111.445	662.836
-844.035	-52.109	676.178	-884.445	111.192	662.806
-844.032	-51.876	676.290	-884.508	110.971	662.793
-844.053	-51.652	676.351	-884.555	110.785	662.800
-844.104	-51.430	676.408	-884.572	110.622	662.836
-844.157	-51.221	676.403	-884.593	110.502	662.852
-844.213	-51.017	676.399	-884.611	110.438	662.860
-844.283	-50.783	676.313	-884.612	110.414	662.862
-844.331	-50.559	676.224	-884.605	110.425	662.819
-844.362	-50.399	676.171	-884.665	110.467	662.778
-844.399	-50.215	676.127	-884.687	110.463	662.718
-844.405	-50.110	676.110	-884.697	110.486	662.651
-844.399	-50.018	676.111	-884.718	110.492	662.636
-844.394	-49.961	676.119	-884.736	110.529	662.601
-844.391	-49.843	676.120	-884.730	110.560	662.615
-844.370	-49.762	676.124	-884.735	110.593	662.596
-844.332	-49.677	676.121	-884.732	110.598	662.585
-844.274	-49.621	676.112	-884.730	110.593	662.555
-844.196	-49.584	676.072	-884.764	110.579	662.523
-844.098	-49.612	676.029	-884.801	110.554	662.499
-843.972	-49.654	675.964	-884.834	110.543	662.463
-843.836	-49.724	675.876	-884.849	110.540	662.446
-843.689	-49.869	675.778	-884.860	110.556	662.423
-843.548	-49.970	675.689	-884.863	110.609	662.439
-843.435	-50.091	675.620	-884.861	110.612	662.456
-843.349	-50.200	675.549	-884.846	110.657	662.487
-843.285	-50.269	675.489	-884.814	110.643	662.538
-843.250	-50.307	675.426	-884.791	110.611	662.566
-843.213	-50.385	675.372	-884.773	110.564	662.620
-843.161	-50.435	675.338	-884.757	110.520	662.618
-843.130	-50.463	675.305	-884.754	110.469	662.631
-843.078	-50.480	675.259	-884.748	110.403	662.624
-843.025	-50.539	675.256	-884.728	110.350	662.630
-842.966	-50.595	675.211	-884.743	110.306	662.616
-842.907	-50.677	675.158	-884.743	110.250	662.613
-842.818	-50.747	675.103	-884.775	110.219	662.610
-842.423	-51.394	675.273	-884.785	110.173	662.622
-842.325	-51.453	675.253	-884.765	110.131	662.639
-842.200	-51.500	675.228	-884.774	110.085	662.650
-842.121	-51.499	675.209	-884.771	110.012	662.606
-842.016	-51.531	675.184	-884.783	109.946	662.610
-841.900	-51.533	675.147	-884.784	109.935	662.612
-841.836	-51.531	675.111	-884.795	109.933	662.650
-841.760	-51.527	675.094	-884.778	109.921	662.693
-841.709	-51.545	674.985	-884.786	109.956	662.764
-841.646	-51.517	674.925	-884.783	109.947	662.784
-841.574	-51.542	674.830	-884.769	109.924	662.825
-841.490	-51.586	674.724	-884.756	109.923	662.874
-841.353	-51.642	674.618	-884.748	109.899	662.895
