Head	RHand	LHand
7.388	38.266	8.589
7.885	41.613	5.277
9.143	50.169	2.469
10.201	53.853	4.988
11.140	54.958	5.576
11.552	48.903	3.435
11.862	46.484	5.177
11.774	48.635	4.809
13.147	45.741	4.975
13.285	42.393	6.672
11.485	45.694	14.950
11.492	58.036	25.936
9.930	56.660	29.455
8.457	48.542	21.769
10.042	44.045	12.988
8.518	31.808	7.906
8.485	25.949	4.196
9.349	28.483	3.870
7.744	27.278	5.772
7.794	31.165	9.355
8.209	39.923	14.741
7.627	44.176	19.849
7.847	48.684	25.367
8.489	54.170	27.590
7.013	51.727	27.491
6.221	48.681	27.490
5.507	42.309	23.579
5.717	35.365	15.985
6.654	31.612	11.218
8.052	32.815	5.184
6.977	36.323	3.664
7.983	34.559	7.007
10.875	31.151	6.242
10.527	33.286	12.297
11.298	33.665	18.417
12.422	27.046	19.985
13.159	26.903	14.908
13.114	33.014	8.963
14.960	35.088	3.753
15.873	78.628	11.756
15.491	84.495	14.856
14.369	50.903	19.309
13.268	48.412	17.946
14.388	47.155	11.619
13.795	49.884	8.007
14.133	42.208	13.177
13.713	33.268	14.482
12.449	30.461	8.091
11.503	29.397	5.289
9.795	34.479	5.835
9.479	27.794	4.236
9.068	15.010	6.751
8.554	17.480	9.284
8.813	19.985	7.595
9.834	19.539	8.404
10.410	17.265	6.704
10.328	17.057	6.219
10.820	14.484	7.267
10.235	8.525	4.925
10.460	4.046	6.756
11.483	4.931	6.406
11.474	3.724	3.087
10.561	4.930	1.373
9.064	4.411	3.165
8.121	5.505	6.345
9.078	5.924	6.668
8.719	4.219	6.026
7.105	5.355	7.066
6.669	4.892	3.638
5.887	4.549	4.003
4.778	5.252	2.654
4.834	6.706	3.449
6.753	7.406	2.856
6.016	7.660	2.173
7.184	7.478	3.773
8.679	8.666	6.354
8.279	8.633	8.269
10.335	10.305	5.966
10.977	13.320	3.876
10.548	13.419	1.673
11.767	13.006	1.520
12.854	22.883	2.835
13.326	23.123	6.628
14.638	13.158	5.919
14.180	14.153	5.379
10.897	13.519	4.407
10.673	14.427	2.347
10.551	14.952	2.340
8.447	13.692	4.420
9.341	14.494	5.700
9.583	12.824	4.640
8.442	14.467	5.302
8.683	17.096	5.818
8.991	18.987	8.018
9.076	23.172	11.789
8.043	24.357	7.206
7.294	21.440	5.839
6.842	15.414	6.679
6.712	9.883	7.336
6.364	10.597	7.122
7.089	12.872	9.477
7.849	16.026	13.278
7.536	19.518	16.652
8.923	18.806	19.037
9.435	19.489	23.789
10.172	19.014	31.271
11.531	10.859	34.299
11.084	5.651	32.031
14.320	7.571	26.943
18.498	15.020	20.639
18.080	28.027	12.369
19.170	36.691	8.123
21.407	40.927	7.631
20.956	36.200	6.456
21.299	34.131	8.002
23.120	30.839	10.098
24.951	25.006	10.786
24.984	21.494	12.403
25.533	12.063	14.336
28.556	16.293	17.826
28.651	21.993	22.303
25.068	25.919	24.005
23.270	33.038	25.909
22.784	37.817	25.245
21.987	36.872	20.342
19.281	35.858	20.541
14.957	34.866	22.203
13.476	33.966	18.644
11.777	38.117	16.711
8.381	43.430	14.201
6.982	46.579	10.662
6.751	61.317	9.186
6.068	67.047	6.389
5.686	64.698	2.753
6.957	70.832	17.009
6.278	70.827	33.878
5.890	65.474	41.392
6.244	66.775	44.698
4.466	58.680	36.265
3.744	41.181	20.837
4.627	30.918	8.890
4.558	17.540	5.067
4.421	7.714	6.862
3.865	5.977	7.278
3.366	12.130	5.142
4.338	22.308	2.843
4.042	29.745	5.674
2.599	44.278	8.454
1.754	53.489	11.106
2.906	51.776	12.046
3.496	61.869	11.829
4.281	68.120	11.317
5.769	63.052	12.046
9.152	66.963	11.058
11.884	65.699	11.859
13.063	58.398	16.752
13.069	49.855	20.343
11.958	43.188	21.882
11.274	38.609	20.012
10.490	29.790	15.639
9.460	23.367	11.149
8.157	22.091	6.498
6.368	21.372	0.619
6.084	21.560	5.306
5.430	20.724	6.893
5.836	23.478	6.177
7.600	28.337	4.933
8.302	25.829	3.460
8.779	32.617	2.704
9.041	37.788	1.402
10.804	41.024	1.223
12.663	44.633	2.063
12.792	45.376	3.021
13.823	42.847	2.394
14.280	38.527	1.637
16.458	32.682	1.297
16.789	24.161	1.480
17.026	18.910	0.631
17.492	17.785	0.306
17.129	20.317	1.747
16.918	16.515	1.799
16.531	9.288	0.587
17.665	10.785	2.168
18.833	13.812	3.232
19.647	16.533	1.938
18.709	15.769	4.612
20.238	16.236	7.494
22.527	31.015	10.892
22.374	34.852	11.936
20.421	21.451	13.474
18.397	17.955	13.708
15.395	14.634	13.312
12.348	9.552	12.883
8.522	7.513	11.025
5.749	9.651	11.083
9.054	7.348	10.903
10.476	6.352	9.633
9.059	8.948	8.939
10.425	12.138	7.589
11.156	12.531	7.193
10.972	10.741	7.940
10.816	11.615	9.064
23.083	11.254	7.333
47.232	8.167	4.206
33.485	6.405	1.899
10.554	5.306	3.796
12.640	7.013	5.152
15.347	7.302	4.957
18.171	7.899	2.855
33.169	10.694	4.839
38.076	10.592	6.062
30.187	4.364	2.884
28.887	4.567	3.281
28.466	6.106	6.354
27.124	8.415	10.779
28.266	11.116	14.438
36.283	11.773	14.541
38.462	15.635	15.364
32.903	12.192	14.975
31.086	10.271	12.282
30.975	7.297	9.256
30.271	4.143	5.050
28.442	4.824	3.339
26.260	5.296	4.219
22.870	6.547	4.921
20.089	6.509	4.319
17.213	4.992	4.258
13.699	7.309	2.901
12.892	16.682	2.565
10.084	25.199	4.447
7.982	29.097	6.824
9.343	36.084	8.788
11.613	39.458	5.555
12.749	36.977	3.636
7.272	35.469	6.006
7.907	40.263	9.629
8.903	46.356	11.167
5.102	47.171	9.158
5.129	49.072	5.963
5.645	49.329	3.341
6.694	49.306	6.292
7.941	59.852	7.492
7.981	66.750	4.140
5.824	67.490	1.580
4.328	67.500	2.437
3.740	66.920	4.572
2.622	70.079	5.373
3.008	67.268	4.792
2.675	62.060	4.549
5.722	64.917	3.807
6.499	60.371	1.447
7.169	51.439	2.596
7.972	46.191	5.133
7.882	40.317	6.745
9.579	37.522	7.816
12.676	30.633	9.202
13.834	26.468	9.224
14.085	34.059	5.921
14.624	46.003	5.425
12.674	53.230	5.768
11.062	64.025	7.346
10.821	80.760	8.191
10.712	89.469	6.009
8.831	86.570	5.924
6.192	77.707	5.883
4.022	70.335	9.379
4.310	58.936	10.114
4.313	42.966	7.859
5.176	30.338	6.467
6.716	13.067	7.903
9.097	8.300	9.451
9.911	14.765	9.526
9.439	16.733	9.191
9.797	15.850	8.858
10.262	15.979	5.074
9.254	16.285	5.840
9.112	15.330	8.236
10.418	13.567	4.267
10.840	12.370	1.671
11.593	10.218	4.672
13.735	9.024	4.294
15.127	5.922	3.283
15.656	4.768	5.067
16.817	6.967	8.526
15.398	10.612	8.767
13.138	11.278	6.483
12.632	12.455	6.725
12.292	14.906	4.627
13.098	10.734	5.794
15.690	9.272	11.146
14.539	8.327	16.146
11.522	7.302	17.499
10.169	6.732	13.117
8.871	2.839	9.313
8.749	2.689	15.714
8.174	4.273	23.701
8.455	8.087	26.209
8.209	15.315	25.256
7.852	20.127	22.606
7.737	26.241	19.769
5.862	37.423	20.106
6.499	38.423	18.688
7.239	34.091	19.106
7.731	31.481	19.543
8.456	23.765	18.999
9.575	16.629	16.774
10.396	12.320	13.344
11.361	7.859	7.933
12.009	13.234	5.493
16.817	13.848	13.114
22.406	12.613	15.353
20.300	13.960	16.431
18.470	19.275	18.731
18.995	21.200	21.199
19.224	26.519	21.996
20.554	32.788	16.817
20.781	35.197	10.336
21.241	31.988	7.404
21.039	26.461	8.770
25.673	18.099	12.193
26.928	14.076	14.776
26.321	11.392	19.676
27.374	5.999	20.030
23.389	3.696	19.042
22.315	4.842	16.641
22.066	7.581	12.782
20.071	7.447	10.310
18.908	6.538	6.658
16.739	5.114	3.723
13.364	2.414	2.904
12.645	3.241	2.906
12.996	4.536	4.388
13.117	4.371	7.454
15.344	2.683	5.564
16.089	2.946	3.657
18.390	1.640	2.782
32.981	2.348	3.427
31.219	1.721	2.219
19.660	1.725	1.539
22.059	1.240	3.786
23.297	1.967	3.792
26.468	3.272	3.000
29.266	3.972	2.686
31.411	3.942	4.162
31.916	5.126	3.725
32.851	3.185	3.286
37.152	1.718	2.648
40.549	2.507	3.099
40.343	2.693	1.418
38.120	3.361	2.045
37.122	3.103	1.937
40.728	1.616	2.166
43.037	2.353	1.255
38.988	3.177	2.332
34.019	4.487	4.090
33.224	3.023	4.580
35.853	3.318	5.106
32.297	3.328	3.383
27.033	3.948	1.566
22.559	4.892	2.414
19.120	10.045	3.799
18.471	11.922	3.316
17.668	14.523	5.861
18.257	20.599	7.284
17.958	24.008	10.070
17.388	28.796	11.938
15.712	29.086	10.651
14.376	23.109	10.263
15.334	17.401	7.248
13.771	15.947	4.623
11.710	8.522	4.480
12.406	3.082	3.626
15.365	3.951	5.019
18.458	5.480	8.451
21.452	3.913	9.629
25.601	6.322	6.558
27.528	10.151	1.705
29.512	14.136	4.415
31.224	22.290	5.680
29.197	25.575	7.835
24.769	23.536	9.568
23.572	19.373	8.542
25.179	18.851	5.771
25.091	18.909	3.409
24.687	15.441	3.085
24.553	13.791	4.663
22.166	10.347	6.128
19.396	6.759	7.201
18.566	4.621	6.886
16.420	4.367	6.419
13.736	3.505	5.738
13.789	2.604	5.061
12.533	1.838	3.226
11.796	3.099	2.783
12.352	3.452	3.948
11.884	4.963	5.810
12.242	4.736	6.379
12.942	4.737	6.213
14.249	7.604	5.202
14.979	5.968	4.412
15.167	7.492	4.045
15.380	10.792	4.955
12.861	7.587	4.631
11.330	5.633	2.426
11.939	5.857	1.229
10.555	7.080	0.984
9.078	6.656	2.588
8.207	6.558	3.613
7.591	6.577	3.382
6.635	5.832	4.005
6.055	7.261	2.854
4.426	6.177	2.591
3.401	6.251	3.746
3.680	7.839	3.207
3.094	7.016	3.077
3.148	6.335	4.762
3.589	5.866	3.886
3.054	4.471	1.790
3.380	4.302	1.519
3.494	2.835	0.971
3.837	4.665	1.874
4.547	3.639	2.926
5.613	4.250	3.337
7.760	4.936	3.750
8.775	5.046	2.683
9.892	4.425	3.837
11.018	3.851	3.856
11.130	2.514	2.584
10.785	2.395	4.296
10.992	3.103	4.712
11.295	2.451	3.936
11.041	2.361	2.960
12.731	1.973	1.924
13.311	4.878	1.622
12.823	8.137	1.575
12.929	5.107	2.345
11.445	8.575	1.341
9.835	8.581	4.320
8.201	4.678	4.121
6.384	5.754	3.527
3.781	2.013	3.569
2.074	2.105	5.216
2.249	3.183	3.597
4.207	4.892	2.041
4.890	12.289	4.428
4.898	13.642	3.520
8.705	7.798	2.840
9.734	6.936	1.505
9.486	4.200	2.188
10.972	1.407	1.367
11.891	2.821	3.797
12.124	3.765	2.994
10.766	5.798	4.885
11.737	10.361	4.270
12.611	19.284	3.467
11.871	21.354	3.353
11.032	15.872	4.755
10.510	16.457	4.497
10.381	17.600	4.691
11.695	16.762	7.881
13.172	13.573	6.444
11.526	12.762	4.074
12.270	9.523	4.005
14.329	4.139	1.603
14.237	5.494	4.346
14.127	5.584	4.414
14.801	4.587	2.350
14.025	2.698	1.491
12.295	2.711	3.185
12.879	4.002	5.294
16.421	4.071	2.294
15.096	2.126	1.029
11.200	3.927	1.300
11.959	5.156	1.753
12.947	6.217	3.501
11.309	4.785	3.237
10.131	3.533	2.755
10.776	1.378	3.567
9.723	1.183	2.001
8.112	2.308	2.206
7.489	6.057	1.548
5.555	8.259	0.642
5.873	9.586	1.800
7.763	10.397	2.150
7.832	10.105	1.110
8.546	9.869	0.248
10.077	10.418	2.306
11.953	11.640	3.941
13.670	10.667	2.727
14.449	9.294	1.478
15.954	6.921	1.316
16.803	5.101	1.188
16.391	3.909	1.399
13.824	2.441	1.096
11.502	4.217	1.886
12.386	9.332	0.913
13.203	14.753	1.888
14.905	15.284	2.687
17.442	14.262	2.621
19.868	12.237	3.306
21.539	11.206	4.344
22.903	12.300	4.845
22.790	7.147	4.870
19.905	2.660	3.937
20.482	3.660	3.942
19.660	4.598	4.693
18.206	7.151	4.345
17.907	7.761	3.303
16.694	18.360	2.321
17.999	18.383	2.355
19.000	8.942	2.118
18.792	10.265	3.379
20.912	9.617	4.723
22.551	9.200	3.365
22.243	7.798	3.878
21.308	3.404	3.571
20.191	4.403	3.182
19.004	2.130	3.133
18.181	3.211	3.268
17.782	3.092	1.689
16.155	3.799	1.768
15.528	5.472	2.140
14.777	7.024	3.405
12.685	7.769	5.547
12.253	9.047	4.458
11.279	11.545	3.406
9.404	12.040	5.744
7.797	13.084	7.099
7.740	13.094	7.591
9.478	11.376	11.580
11.279	5.496	15.004
11.664	3.716	13.606
13.324	4.105	8.761
17.053	4.150	5.018
18.223	8.558	2.490
16.980	18.236	1.023
16.235	20.089	1.953
14.643	26.645	4.519
12.528	29.710	7.058
12.848	29.563	6.462
11.928	30.985	8.148
10.830	17.291	8.806
11.245	9.502	6.272
9.467	14.131	23.999
8.426	27.992	25.847
6.300	26.691	24.780
4.676	16.031	22.830
6.494	15.701	15.607
6.687	22.388	8.349
5.965	27.975	2.816
5.852	30.477	5.073
6.696	35.395	6.677
7.106	34.805	6.287
6.394	30.018	3.117
6.368	20.220	2.182
6.066	13.613	1.370
6.375	14.537	2.877
7.112	18.661	6.350
7.317	20.687	5.165
7.256	19.254	2.342
7.930	16.671	2.747
7.283	13.444	2.238
5.990	9.624	3.479
4.775	6.495	7.348
4.721	5.919	7.415
6.933	9.062	3.916
7.112	13.277	3.433
7.362	14.886	5.316
5.974	13.753	5.926
6.060	15.070	3.712
7.379	10.959	3.169
10.200	4.138	4.593
9.302	2.786	4.354
7.309	4.926	4.232
9.978	4.764	3.559
8.726	3.617	2.212
6.287	3.715	3.162
7.901	4.420	3.464
9.886	4.217	2.692
10.146	3.750	2.896
12.564	5.020	4.061
12.860	4.575	3.454
11.897	3.314	2.051
12.340	2.545	2.537
13.595	2.322	3.024
12.105	2.681	3.205
9.154	2.201	2.799
8.978	2.067	2.410
8.195	4.018	3.319
7.870	5.110	2.178
6.975	7.403	4.677
6.192	6.231	4.394
5.726	5.405	2.738
5.236	5.567	5.286
4.805	5.420	6.635
5.842	3.767	7.000
6.182	4.682	8.239
7.436	5.769	6.539
8.771	4.084	2.584
9.275	2.773	1.462
9.313	1.105	0.944
9.463	0.963	3.405
9.160	1.176	4.013
7.427	3.234	4.960
6.106	3.153	7.923
6.870	2.205	9.230
7.643	3.436	6.144
7.864	1.428	4.210
6.578	3.094	2.582
5.894	3.329	1.882
6.402	3.627	3.893
5.556	3.425	3.381
5.906	1.814	1.372
6.697	1.520	0.855
5.829	2.408	2.788
4.696	3.193	3.468
5.096	2.562	3.727
4.816	4.476	4.755
4.365	5.769	3.164
5.238	4.445	1.377
3.834	6.020	3.615
3.895	4.739	4.222
5.454	2.991	5.404
5.154	3.720	5.048
4.800	3.622	4.548
3.997	3.309	4.515
2.829	3.230	1.837
2.848	3.175	2.274
2.090	3.505	1.237
1.110	3.357	0.671
1.598	1.187	2.582
1.398	2.105	2.181
2.505	1.797	2.422
2.418	1.973	2.038
2.172	4.134	0.385
3.102	5.055	0.980
3.806	6.614	1.432
4.461	7.858	2.134
5.134	10.665	0.762
4.829	15.992	0.922
2.656	16.326	4.619
3.038	10.140	6.100
2.637	10.596	6.597
2.786	10.067	5.529
2.584	8.935	4.130
2.940	6.973	3.391
2.646	6.998	2.149
2.428	7.247	1.974
4.267	6.877	2.861
4.132	5.854	0.430
3.478	4.535	1.348
4.841	3.481	2.657
4.577	2.779	3.033
3.315	4.210	2.176
3.926	5.047	2.772
3.671	7.731	2.496
1.789	6.457	1.779
2.688	6.671	0.607
3.906	8.403	1.518
4.864	5.343	2.169
5.655	6.761	1.376
5.608	6.354	1.296
5.336	4.936	1.176
5.358	5.239	0.870
6.240	3.398	1.262
6.254	2.550	1.290
5.808	4.413	1.428
5.634	8.932	2.036
5.945	11.597	1.191
6.920	10.697	0.643
7.015	8.631	1.057
7.677	8.873	1.001
9.097	7.909	0.773
8.333	3.292	1.261
7.740	2.156	0.768
8.360	4.110	2.706
7.527	2.317	0.864
6.371	3.000	1.160
5.783	2.372	1.718
5.589	2.490	1.130
6.038	1.701	0.891
6.899	0.767	2.168
8.043	7.750	2.406
7.782	2.195	2.626
7.219	2.517	2.227
7.172	2.118	2.216
8.003	6.652	3.824
8.704	2.085	3.524
8.800	1.802	0.860
9.696	1.343	2.407
10.483	4.119	2.692
12.588	6.972	3.613
15.069	7.596	5.435
19.004	5.342	6.411
23.456	5.787	6.468
23.485	6.589	5.468
22.806	6.698	5.325
22.687	4.605	5.136
23.821	3.700	4.376
24.393	6.123	5.312
25.354	5.030	6.024
27.605	3.962	5.084
33.443	4.659	6.181
37.021	3.443	8.465
40.499	3.659	8.555
47.798	3.172	7.964
50.929	5.605	7.258
50.736	6.780	7.962
51.666	10.125	8.040
49.090	12.281	7.794
42.089	9.007	7.859
38.241	9.115	9.802
37.961	8.629	10.809
40.092	7.798	9.687
43.421	7.681	9.565
41.047	8.079	9.940
38.478	8.160	7.695
37.854	8.228	5.252
37.091	9.130	3.260
37.603	11.670	2.778
35.740	10.538	3.528
31.190	8.030	4.939
27.715	7.020	5.587
25.338	7.116	6.967
24.183	6.627	9.037
20.720	7.611	10.583
21.214	7.331	10.495
23.617	9.268	8.868
22.480	10.936	5.904
24.285	7.453	3.611
25.398	5.484	1.558
24.303	4.598	1.623
25.320	4.025	3.327
27.775	5.810	5.088
26.591	8.124	8.343
25.078	7.177	11.035
24.850	6.872	9.072
21.362	7.538	7.433
17.480	7.196	7.630
14.956	7.195	7.291
14.527	4.016	5.578
14.777	2.055	5.187
12.420	1.315	5.482
11.180	2.770	3.953
9.382	1.865	3.488
8.470	3.511	3.472
9.992	5.238	2.719
7.101	4.110	3.332
5.719	3.005	5.340
7.386	2.171	3.661
6.765	1.981	1.824
5.730	1.298	2.857
5.504	2.401	1.634
4.335	2.756	2.181
3.135	2.728	3.763
3.734	3.330	3.303
3.584	2.743	2.961
5.338	3.528	3.986
8.007	4.550	5.913
7.492	4.798	4.236
7.138	4.660	3.134
8.221	3.177	2.424
8.405	3.126	0.637
7.990	4.347	2.001
7.495	2.876	3.296
7.863	2.504	1.948
7.921	2.851	1.854
6.225	2.253	1.893
6.462	1.760	3.075
8.160	2.358	2.555
9.022	0.971	2.666
8.514	1.586	2.320
9.909	2.143	3.236
11.076	1.978	4.419
11.736	1.820	5.218
13.558	2.095	4.539
15.677	0.882	0.595
18.285	1.646	2.155
24.087	1.571	4.004
30.224	1.288	2.265
32.673	2.659	2.517
35.998	2.044	0.779
41.865	2.036	1.791
49.322	3.998	4.264
59.366	5.361	4.334
72.291	5.153	2.039
82.670	4.383	4.121
96.003	4.072	3.676
110.063	4.812	2.873
119.619	2.857	3.182
128.398	3.310	4.532
138.275	2.098	5.162
141.335	2.275	5.544
139.439	2.953	5.895
138.649	6.809	4.476
142.362	7.640	4.166
143.431	6.979	4.805
139.230	8.587	4.480
135.819	7.281	3.013
129.737	6.072	2.661
123.648	4.492	2.473
115.350	4.169	2.521
110.260	3.951	4.439
102.778	5.264	7.111
91.153	5.386	6.350
86.315	4.306	5.216
76.198	3.122	7.400
59.882	4.956	6.966
48.656	4.822	4.811
41.515	3.674	5.166
34.683	2.802	4.078
28.158	4.607	2.894
24.475	2.584	1.098
33.677	3.115	1.584
39.324	1.059	1.552
46.878	1.052	2.735
50.927	1.343	2.139
50.843	1.966	1.917
52.663	1.539	2.226
50.432	1.874	2.398
43.800	3.113	3.006
35.251	2.632	3.487
29.348	3.883	3.311
26.670	5.754	3.166
28.969	4.329	3.922
32.392	4.272	4.034
36.122	5.923	3.906
39.276	5.960	4.931
40.053	6.663	5.401
39.341	4.689	4.117
41.298	3.202	4.070
37.100	3.658	5.692
32.051	4.689	6.187
27.254	3.941	6.407
20.461	4.315	5.650
16.599	4.623	5.429
17.572	4.944	3.998
21.590	4.755	3.233
27.954	2.534	6.485
45.928	3.010	3.554
51.872	4.859	2.715
50.897	4.979	5.921
53.153	6.154	7.225
56.291	6.377	8.814
61.137	6.580	7.673
63.446	6.886	7.310
61.592	6.059	7.612
61.089	7.154	6.901
62.253	6.365	4.596
58.709	5.862	1.844
55.464	6.220	1.326
55.039	47.139	2.009
52.262	49.013	1.710
46.859	8.287	1.285
42.511	7.512	4.465
40.228	6.460	5.362
37.003	5.229	3.881
33.552	4.739	4.334
33.088	3.308	5.795
30.474	7.826	4.964
29.431	8.166	4.751
28.440	6.310	2.802
24.785	45.995	2.027
25.989	46.026	2.591
24.607	2.221	3.200
22.223	2.869	2.345
23.272	3.038	4.470
22.552	0.860	2.043
23.281	1.705	1.899
27.540	2.529	3.786
29.573	2.122	3.844
31.650	4.624	3.895
34.168	4.356	4.754
35.494	3.135	4.424
37.547	4.401	2.500
37.271	4.703	3.473
37.037	5.497	2.849
39.295	4.180	1.713
39.845	37.972	1.551
38.556	37.389	1.736
39.519	2.517	3.201
36.971	4.019	3.353
29.811	3.570	0.930
26.284	1.765	2.946
25.007	2.285	3.410
22.052	0.933	2.079
20.761	2.477	2.929
20.019	4.139	1.505
19.897	41.282	1.648
20.538	39.298	2.016
22.359	2.549	2.798
26.412	2.139	3.565
26.983	2.187	2.319
28.364	1.833	2.723
27.558	1.293	3.416
24.374	0.443	1.905
24.641	1.896	0.629
25.536	2.771	0.836
26.046	1.875	1.522
24.711	1.660	0.691
24.081	0.829	1.358
21.832	0.711	0.787
17.249	0.797	0.416
14.694	0.573	1.160
11.276	2.503	1.381
9.042	1.981	1.558
10.200	1.881	2.107
11.614	1.671	1.249
13.343	0.434	2.612
13.128	1.659	2.020
14.597	2.270	3.422
14.870	2.263	2.978
14.360	1.808	2.577
13.480	2.233	3.096
12.082	1.395	2.938
10.085	1.310	1.609
8.508	0.775	1.192
7.604	0.413	1.298
8.588	1.326	2.178
8.585	1.462	1.675
5.693	42.036	1.253
6.753	40.321	1.750
7.938	1.476	2.132
7.993	40.433	1.546
6.863	45.686	1.698
4.934	2.760	1.590
4.388	1.660	1.449
3.729	1.615	2.418
3.293	0.711	1.323
2.689	2.147	1.849
2.995	1.622	1.011
5.597	0.989	0.972
8.526	2.024	1.753
10.279	2.356	0.756
10.597	1.597	0.742
10.461	2.189	0.982
11.319	1.601	0.848
12.577	2.089	2.026
12.920	0.841	2.705
12.860	1.204	2.953
13.490	2.365	1.578
14.665	1.558	1.794
14.639	3.677	0.620
14.273	3.695	3.014
13.506	4.612	1.737
12.219	3.947	1.097
10.145	4.697	1.399
9.815	3.760	2.955
10.134	3.816	7.875
8.130	3.368	18.008
7.390	3.739	31.988
4.983	3.556	51.534
2.416	4.665	78.894
7.512	6.900	111.424
13.134	8.335	156.961
18.109	14.126	223.192
22.755	20.509	276.469
27.175	21.856	307.110
29.385	15.868	368.622
27.645	17.745	433.246
27.338	17.123	480.456
28.903	24.015	535.939
28.126	29.407	607.289
31.280	42.698	670.691
35.078	65.272	729.543
41.747	39.803	765.141
49.816	22.629	803.513
60.809	44.082	850.818
73.066	43.730	881.043
82.134	36.759	906.423
89.302	35.958	909.780
94.024	35.522	904.138
96.380	32.014	877.905
92.411	33.518	822.003
87.374	35.681	771.528
84.579	49.267	707.945
73.078	29.722	629.415
57.236	28.449	552.915
44.013	49.077	492.162
28.783	46.465	436.889
12.757	34.778	312.562
10.477	23.981	256.189
19.711	73.877	281.666
31.175	60.054	280.366
42.647	15.088	262.044
45.784	15.855	208.928
44.959	14.985	159.922
44.579	11.886	129.835
42.371	8.725	113.936
39.397	6.315	99.858
35.265	4.568	84.248
27.715	4.531	75.011
18.336	4.255	65.062
9.195	4.965	79.956
8.322	6.818	107.547
13.828	7.813	101.336
22.593	9.936	76.760
32.519	12.577	63.344
40.115	20.719	56.062
44.841	19.691	50.227
47.258	11.850	52.546
48.217	14.644	60.880
44.156	15.066	70.477
34.877	13.160	79.100
27.938	11.772	83.802
22.309	8.077	88.247
17.045	5.764	90.567
14.790	3.851	93.846
13.818	3.506	97.802
12.620	5.154	95.672
13.162	5.876	97.475
14.123	5.191	91.124
17.687	6.329	85.472
20.314	8.745	78.130
21.741	8.119	66.636
24.685	7.265	61.761
31.012	10.041	52.285
31.866	11.635	46.225
28.340	12.692	46.177
29.783	11.369	44.593
33.444	13.382	39.172
37.381	12.314	34.054
39.748	9.058	33.071
43.698	15.134	36.138
43.731	14.072	41.692
43.747	5.855	49.577
45.589	4.524	50.877
49.332	4.539	51.732
52.159	2.112	61.628
52.273	2.275	67.914
49.316	3.836	74.453
45.031	3.960	85.828
46.179	6.195	95.700
52.286	8.464	105.998
57.048	65.681	114.705
54.770	76.393	137.220
51.748	12.687	160.155
48.313	48.504	197.869
48.710	49.934	243.238
55.562	11.727	281.685
61.759	12.404	328.779
62.026	8.579	386.090
61.725	12.138	437.626
61.179	45.784	458.404
57.734	25.031	462.033
59.482	23.079	450.370
58.908	18.100	466.383
53.176	30.930	514.979
47.025	23.557	520.373
40.550	4.845	509.012
33.034	3.991	521.994
24.858	2.354	524.884
18.109	24.259	502.888
12.420	23.656	507.123
10.414	30.950	522.372
10.871	21.998	510.839
11.968	17.031	497.356
11.429	65.353	476.781
13.091	68.993	446.258
16.036	15.434	402.882
17.841	7.429	340.150
20.725	6.387	298.481
24.030	6.905	296.284
28.895	9.702	310.084
31.957	9.978	306.840
34.309	9.316	290.316
37.658	9.566	287.089
41.215	9.515	292.437
44.861	5.864	298.684
46.757	6.533	303.773
42.471	9.018	293.975
37.243	10.881	277.168
34.814	11.993	249.609
32.672	9.986	193.500
30.383	8.706	125.975
28.967	10.677	68.744
27.802	14.822	44.369
29.433	11.655	61.427
30.617	6.807	92.379
28.243	3.272	107.188
27.124	8.264	106.465
27.281	8.890	94.762
29.209	4.813	74.468
33.862	3.947	59.163
37.249	6.579	48.410
38.188	6.780	41.812
38.152	8.663	49.478
38.005	13.649	56.974
40.013	18.716	62.482
43.230	25.136	72.771
47.203	29.060	100.929
47.123	21.671	139.906
47.034	21.406	168.900
47.385	24.818	174.412
39.690	19.271	154.935
33.407	17.185	136.155
35.574	19.301	112.545
36.661	15.679	92.654
34.904	14.959	78.796
33.048	13.118	60.378
29.681	11.653	48.184
27.636	11.350	38.349
23.723	14.811	36.487
18.979	13.740	45.518
16.073	12.614	51.403
13.872	15.435	56.671
10.473	16.506	65.198
7.242	18.091	67.403
4.530	22.190	63.078
2.740	23.287	55.265
2.392	22.407	45.754
2.464	25.897	38.987
4.786	23.948	33.878
5.855	17.110	28.757
5.761	14.788	22.438
6.718	12.431	17.793
6.847	12.305	15.811
7.507	12.511	14.175
8.697	8.380	14.821
11.495	6.987	19.043
12.446	6.800	22.195
10.781	7.313	27.417
11.456	8.267	32.254
11.500	7.737	33.919
8.624	5.989	37.259
11.362	6.212	43.684
14.054	4.735	50.309
12.665	1.925	56.277
14.574	1.600	57.817
14.176	6.135	55.214
12.973	8.559	50.858
10.887	6.640	48.343
8.230	8.139	42.371
8.547	5.767	27.606
7.475	2.712	15.533
10.311	3.658	9.555
14.328	4.790	10.550
17.294	5.748	22.580
20.689	7.101	30.278
22.004	7.963	32.389
24.108	10.800	31.675
23.234	12.486	33.755
20.429	9.986	33.360
19.431	7.992	29.049
17.750	9.822	26.290
17.493	10.297	22.454
16.738	9.126	20.684
17.395	11.030	19.810
19.410	8.458	16.117
16.553	5.905	13.647
15.229	7.544	11.447
17.074	5.713	7.122
15.814	3.213	4.733
16.320	0.926	5.504
17.882	3.253	6.060
20.616	4.450	7.286
24.316	6.249	8.815
27.428	7.096	11.189
29.806	8.287	11.778
32.217	10.384	12.963
36.456	8.486	13.459
40.816	6.746	13.195
43.474	9.292	15.135
46.703	8.261	16.614
47.371	6.092	21.618
