Head	RHand	LHand
92.527	5.169	14.487
119.158	5.521	14.179
155.997	9.612	16.401
188.969	12.698	17.777
223.718	14.669	18.214
256.947	17.601	21.549
285.484	24.523	24.501
317.839	24.090	26.565
342.537	13.915	27.726
363.733	9.383	25.916
376.747	6.688	23.012
384.166	6.201	20.429
416.118	11.938	15.800
408.513	24.907	12.255
367.446	34.570	10.655
350.133	39.796	10.651
336.801	41.041	9.927
322.018	47.857	12.991
302.529	66.142	17.240
288.555	83.951	22.383
270.876	97.294	26.965
258.832	114.557	33.065
251.092	126.010	40.184
231.958	137.215	45.471
220.497	148.758	52.837
211.384	162.176	62.076
198.091	177.397	73.248
191.738	208.067	80.109
186.748	199.457	82.675
180.515	160.843	82.770
177.488	155.057	81.852
174.222	148.932	83.895
170.928	143.851	82.201
164.350	137.751	79.477
161.581	139.070	79.142
158.350	134.484	81.557
150.562	128.382	79.401
145.394	138.118	78.943
142.438	136.034	77.555
137.966	131.160	77.385
131.544	148.054	82.361
127.220	164.080	83.854
126.468	178.385	86.168
124.438	192.115	91.444
122.736	207.371	108.892
124.155	220.462	120.342
123.437	211.469	127.893
121.920	189.770	135.203
123.807	167.124	140.338
119.483	133.557	133.509
115.822	109.037	124.380
110.228	99.939	111.804
101.893	94.314	88.979
104.384	101.258	73.216
94.173	96.896	56.087
78.739	86.532	42.237
76.700	81.870	39.851
77.073	71.231	43.514
69.026	54.790	35.205
58.377	42.106	23.542
50.451	40.233	18.019
45.617	40.355	27.526
44.805	41.340	32.245
39.230	44.080	34.315
34.535	47.448	36.532
33.865	47.775	39.465
29.821	43.537	45.525
26.580	36.196	47.351
25.898	29.713	44.141
25.163	24.954	43.620
23.282	20.081	41.359
22.949	15.643	38.210
26.062	14.173	36.601
25.201	13.450	34.862
22.470	9.986	32.815
22.790	8.147	28.552
22.962	7.187	26.631
22.332	5.499	28.245
22.416	6.864	31.105
22.659	12.427	32.826
19.962	15.326	38.376
16.908	13.480	41.054
18.009	14.697	36.494
20.036	16.803	33.858
21.418	13.869	34.024
26.521	17.426	33.191
30.543	23.360	28.481
34.175	23.887	22.892
36.406	24.164	19.000
41.428	26.640	16.816
43.857	23.456	12.364
41.528	19.069	9.945
43.097	16.278	11.477
45.953	13.015	10.466
54.068	11.388	10.014
64.631	9.511	10.594
75.147	7.776	11.326
81.809	7.739	11.147
83.788	9.375	11.287
83.564	8.636	11.062
89.042	6.915	7.933
93.689	7.149	12.528
91.483	9.084	4.731
87.259	7.780	11.017
89.296	6.320	4.349
88.091	5.892	5.509
79.917	7.244	7.823
79.551	8.476	8.388
82.367	10.415	8.708
78.817	11.598	7.410
66.095	9.406	8.440
58.195	4.966	8.375
53.332	4.374	7.844
45.692	6.794	15.356
40.069	6.215	16.008
34.750	6.604	9.291
25.170	5.445	8.397
16.655	4.310	8.796
10.978	5.222	8.774
4.041	5.248	7.785
1.007	8.354	6.995
3.359	12.196	8.196
6.621	11.852	9.813
8.419	13.360	18.001
9.371	17.326	19.087
10.210	22.741	13.547
10.098	29.819	18.498
10.705	38.731	21.273
10.110	51.880	24.528
10.830	62.930	33.522
11.480	70.955	39.309
12.696	74.503	47.805
15.411	75.010	59.671
12.936	74.928	65.940
10.121	58.487	70.188
8.838	34.053	72.713
7.548	25.140	66.555
6.934	43.100	58.712
8.982	53.330	45.724
8.445	53.681	34.984
8.053	52.643	35.259
8.076	41.858	43.341
7.446	25.336	41.321
9.433	14.755	29.125
9.834	19.550	17.858
10.254	24.036	14.547
11.078	23.369	18.096
9.645	19.597	18.849
8.803	14.809	17.724
6.647	14.036	17.347
6.815	13.131	19.520
8.182	11.726	21.007
9.361	9.736	23.574
11.342	8.938	20.490
13.863	9.928	13.685
16.530	8.761	10.045
18.697	10.493	9.156
18.548	15.389	4.349
18.428	15.582	3.656
18.953	12.752	5.809
19.560	9.618	8.524
18.981	9.028	7.298
16.418	7.680	6.408
13.486	9.529	6.691
11.162	12.849	6.019
9.003	14.604	4.759
6.825	17.838	3.496
4.644	22.230	2.122
3.494	24.839	0.352
4.122	25.366	2.736
5.016	25.980	5.536
5.447	20.921	6.323
7.633	14.487	8.393
7.921	11.150	10.545
6.102	10.292	11.374
5.646	8.669	9.654
5.389	8.399	7.383
6.427	11.304	7.356
8.213	11.962	7.183
9.675	10.855	7.678
12.518	12.178	9.354
15.072	10.334	8.445
17.634	10.626	7.092
19.862	11.441	8.334
21.594	6.063	9.137
24.091	4.955	9.302
22.998	7.135	8.812
21.916	10.698	5.807
24.088	14.955	6.603
22.802	21.791	7.430
19.400	21.368	4.638
20.215	19.904	4.249
18.477	22.917	4.273
13.724	24.526	3.251
10.577	26.588	4.775
8.546	32.259	4.906
7.972	33.224	2.584
9.652	30.797	3.663
12.075	28.104	4.323
12.718	22.650	4.241
14.079	20.503	8.358
15.611	25.368	8.734
14.045	31.176	5.093
13.103	38.769	5.886
13.248	45.703	5.958
13.526	42.216	4.089
14.068	40.322	8.228
15.872	47.149	13.491
16.752	44.714	14.290
18.203	34.444	14.501
18.989	29.770	16.364
19.763	20.173	18.577
20.935	13.686	21.872
20.674	18.307	24.699
22.845	24.632	27.740
27.579	28.205	30.522
29.371	29.546	29.300
29.321	27.357	26.113
29.574	22.778	23.306
29.907	18.511	20.291
30.576	9.653	18.095
30.080	9.151	15.962
30.914	16.610	15.931
30.517	21.789	15.988
28.679	26.080	17.544
27.319	27.571	17.653
27.710	22.783	15.320
30.026	16.344	12.144
29.532	11.548	9.036
31.459	12.420	6.804
32.617	15.580	5.992
29.102	18.043	4.369
25.299	19.208	4.429
22.363	17.553	4.894
21.932	15.314	2.850
21.725	12.766	4.622
21.744	10.596	6.471
20.473	9.577	6.583
18.016	7.445	6.935
16.834	7.843	9.099
16.030	8.228	10.476
14.749	6.468	13.142
13.465	7.765	19.404
15.358	8.541	23.324
17.091	11.010	24.331
20.698	13.928	26.018
22.692	15.280	28.265
21.450	17.690	26.357
22.347	11.759	21.085
23.966	5.095	15.389
23.614	1.754	12.497
21.639	7.479	9.127
19.174	7.174	11.525
16.722	8.827	13.135
12.215	12.473	12.662
8.577	15.868	16.722
6.705	19.108	18.216
6.270	23.874	19.703
9.211	27.171	20.971
10.884	26.975	19.049
13.101	23.324	19.806
15.492	19.866	22.743
15.264	16.592	21.628
13.611	13.152	17.844
12.438	12.047	13.908
12.819	9.876	9.308
15.047	9.352	5.604
15.967	9.828	7.283
17.743	8.466	13.524
21.986	7.190	21.486
24.118	9.871	28.944
24.702	15.087	35.857
24.111	23.443	43.691
23.348	38.486	53.357
20.980	49.154	57.798
15.952	56.057	54.588
11.304	64.942	52.456
6.787	74.945	46.453
6.629	76.706	47.026
11.078	69.888	58.921
14.625	75.644	64.858
18.410	81.758	70.209
20.965	71.068	76.953
22.612	76.592	91.416
27.021	81.800	105.442
31.151	70.412	104.897
33.257	64.885	99.316
34.150	54.999	93.408
35.655	41.810	81.410
36.927	35.319	57.450
36.900	24.247	30.617
35.697	7.392	12.594
32.359	23.832	23.405
28.730	37.220	37.715
24.938	53.505	50.787
18.464	62.442	60.666
12.303	61.916	62.048
10.027	65.038	60.403
9.737	65.499	56.276
9.751	54.344	48.933
11.417	37.496	41.988
14.464	25.386	30.641
15.762	14.233	15.562
18.214	8.859	7.056
18.854	12.779	12.924
17.707	14.702	20.234
17.204	19.046	24.772
16.582	25.042	25.789
14.389	23.241	21.215
12.396	22.487	16.094
13.656	22.803	13.356
14.577	20.340	11.352
16.917	21.682	11.452
20.554	24.082	12.063
25.217	23.057	12.626
29.124	16.170	11.651
32.913	13.433	11.404
34.730	15.277	13.555
35.022	16.622	11.727
34.858	18.524	12.205
33.993	21.802	11.520
32.569	26.642	10.193
30.080	29.117	12.179
27.570	28.202	10.079
23.297	37.805	8.788
17.517	41.013	9.029
12.506	26.367	7.741
7.511	17.313	3.855
6.274	13.063	2.855
8.904	10.966	4.230
11.978	7.869	6.500
14.308	4.806	6.788
14.389	2.081	8.099
15.478	7.430	9.380
15.296	15.149	7.823
11.957	20.546	5.738
11.195	24.154	5.427
11.918	24.660	5.753
13.778	18.356	6.714
15.091	9.981	6.701
18.730	7.287	8.423
22.708	11.886	7.677
23.586	20.937	6.070
28.770	28.580	5.191
32.075	34.298	4.164
31.641	39.858	4.962
34.354	36.810	5.537
37.176	29.758	6.235
35.913	26.196	5.564
33.529	22.494	6.284
29.807	16.564	5.693
25.612	10.256	5.531
22.687	10.133	5.060
18.532	14.394	4.949
13.460	13.846	6.426
9.780	13.937	4.952
6.165	14.476	3.339
4.156	14.266	3.873
2.823	18.749	1.742
3.981	20.281	4.168
3.619	18.783	3.568
2.649	18.599	3.796
2.428	16.532	3.558
3.929	15.272	4.185
3.861	14.264	4.784
3.657	13.381	5.554
5.795	12.549	6.008
6.858	10.973	5.963
7.842	10.655	4.397
10.217	12.594	2.992
12.309	15.737	3.087
15.021	16.890	2.552
18.165	18.599	3.045
18.244	19.693	4.037
17.677	18.707	5.143
17.830	16.317	5.567
19.898	13.804	4.391
18.879	8.796	3.543
14.984	8.971	2.531
13.443	8.316	3.105
11.194	9.106	7.322
10.570	8.841	7.773
10.037	9.199	8.063
7.297	8.912	8.160
6.411	10.088	9.023
6.630	9.204	6.284
6.509	6.469	3.903
6.077	4.623	5.354
6.302	3.689	5.392
7.338	1.197	4.819
7.554	2.354	4.930
8.802	5.739	5.945
10.292	10.360	6.597
10.122	10.149	6.616
9.934	12.272	7.039
10.655	11.256	7.296
12.415	6.252	7.840
13.054	6.462	9.427
12.196	5.714	8.142
11.733	3.794	5.523
11.339	5.351	5.248
10.853	7.536	5.456
8.737	8.867	5.649
7.518	13.377	5.304
6.838	16.901	4.186
5.265	17.719	4.444
3.576	17.146	6.825
2.260	14.068	7.836
5.221	11.114	9.704
6.394	10.045	12.001
6.441	9.892	10.604
9.128	9.635	10.757
9.907	10.760	8.518
11.018	12.344	4.506
12.425	12.581	4.488
12.748	13.141	3.394
12.872	14.211	2.946
14.017	11.770	3.701
14.308	9.211	4.690
12.708	7.996	3.672
11.885	6.977	3.277
11.783	5.996	4.009
10.348	5.863	5.953
8.561	6.550	7.073
7.594	7.701	7.933
8.169	9.144	8.420
6.996	10.624	12.273
4.186	13.584	11.323
3.970	15.876	4.294
3.274	17.743	1.504
2.935	18.737	3.575
3.622	19.576	8.198
3.393	20.604	13.513
2.435	19.571	18.820
3.483	17.515	22.573
3.445	25.552	23.228
2.731	25.673	21.214
3.642	14.006	18.167
5.479	13.201	16.557
4.331	13.889	14.301
4.544	14.539	11.427
4.763	14.197	10.998
4.439	13.152	11.011
7.409	14.304	9.399
8.859	20.171	6.750
8.538	28.925	4.619
10.153	37.306	6.106
10.905	40.656	9.452
11.866	48.746	14.021
13.133	63.684	16.061
12.729	60.591	16.132
14.013	59.480	13.888
14.606	74.750	13.564
14.799	73.217	13.146
14.988	62.384	12.400
15.587	61.837	12.454
14.970	55.106	13.768
13.709	44.197	16.284
13.209	37.690	18.034
13.897	37.140	20.600
13.771	38.741	21.023
12.233	39.761	19.996
11.560	42.834	20.918
10.950	52.280	18.241
9.928	55.538	17.306
9.663	56.036	22.667
8.049	63.961	26.510
6.896	68.092	29.119
7.466	63.996	26.418
6.258	62.209	18.842
5.491	70.750	12.337
5.976	70.421	8.132
5.920	53.419	6.006
5.670	39.938	4.560
6.164	30.012	6.519
7.569	21.063	8.854
9.003	11.988	9.991
11.357	8.430	7.842
14.035	9.823	5.994
19.023	10.537	8.396
22.200	13.526	12.078
20.512	13.645	11.858
