Head_X	Head_Y	Head_Z	RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z
6.963	7.203	1.788	6.457	7.879	5.661	0.689	3.902	1.963
6.963	7.203	1.788	6.457	7.879	5.661	0.689	3.902	1.963
6.963	7.203	1.788	6.457	7.879	5.862	0.689	3.902	1.963
7.191	7.203	1.788	6.457	8.158	5.862	0.689	3.902	1.963
7.191	7.203	1.788	6.457	8.158	5.862	0.689	3.902	1.963
7.191	7.408	1.788	6.457	8.384	5.862	0.689	3.902	1.963
7.191	7.408	1.788	6.457	8.384	5.862	0.689	3.902	1.963
7.191	7.408	1.788	6.701	8.618	5.862	0.689	4.113	1.963
7.191	7.408	1.788	6.701	8.618	5.862	0.689	4.113	1.963
7.191	7.408	1.788	6.701	9.062	6.178	0.689	4.113	1.963
7.191	7.408	1.788	6.701	9.348	6.178	0.689	4.388	1.963
7.191	7.408	1.788	6.961	9.691	6.469	0.689	4.388	2.204
7.191	7.408	1.788	6.961	10.017	6.697	0.689	4.388	2.204
7.191	7.408	1.788	6.961	10.464	6.697	0.689	4.388	2.204
7.191	7.408	1.788	7.268	10.796	6.993	0.689	4.388	2.410
7.191	7.408	1.788	7.268	11.060	6.993	0.689	4.388	2.410
7.432	7.408	1.788	7.513	11.314	6.993	0.689	4.388	2.410
7.432	7.408	1.994	7.513	11.314	6.993	0.889	4.388	2.410
7.432	7.408	1.994	7.513	11.314	6.993	0.889	4.388	2.615
7.432	7.408	1.994	7.738	11.314	6.993	0.889	4.388	2.615
7.668	7.408	1.994	7.738	11.314	7.227	0.889	4.625	2.615
7.668	7.408	1.994	7.738	11.538	7.227	0.889	4.625	2.615
7.668	7.408	1.994	7.738	11.809	7.227	0.889	4.625	2.615
7.874	7.408	1.994	7.990	11.809	7.227	1.122	4.834	2.615
7.874	7.408	1.994	7.990	12.023	7.227	1.122	4.834	2.869
7.874	7.408	1.994	8.320	12.023	7.482	1.122	4.834	2.869
