P6_hands_dir_Distance_X	P6_hands_dir_Distance_Y	P6_hands_dir_Distance_Z


-41.135	166.630	-13.973
-40.847	166.296	-13.663
-40.651	166.078	-13.435
-40.168	165.147	-13.155
-40.197	164.788	-13.155
-40.190	164.097	-12.972
-40.315	163.782	-13.277
-40.410	163.301	-13.372
-40.476	162.846	-13.497
-40.501	162.437	-13.552
-40.469	162.053	-13.573
-40.436	161.724	-13.551
-40.398	161.454	-13.538
-40.329	161.198	-13.451
-40.275	160.985	-13.406
-40.303	160.866	-13.393
-40.288	160.678	-13.409
-40.292	160.596	-13.458
-40.318	160.510	-13.475
-40.342	160.490	-13.518
-40.340	160.403	-13.505
-40.365	160.355	-13.528
-40.400	160.276	-13.536
-40.456	160.214	-13.557
-40.568	160.163	-13.550
-40.703	160.166	-13.531
-40.862	160.198	-13.502
-41.012	160.264	-13.431
-41.172	160.425	-13.355
-41.315	160.579	-13.250
-41.426	160.703	-13.164
-41.497	160.857	-13.062
-41.528	160.912	-12.952
-41.541	160.917	-12.860
-41.560	160.949	-12.751
-41.596	160.956	-12.720
-41.624	160.932	-12.674
-41.669	160.884	-12.635
-41.703	160.888	-12.626
-41.777	160.901	-12.595
-41.836	160.927	-12.545
-41.956	160.965	-12.493
-42.362	161.567	-12.651
-42.440	161.585	-12.614
-42.574	161.584	-12.578
-42.650	161.511	-12.603
-42.767	161.477	-12.575
-42.883	161.468	-12.535
-42.960	161.463	-12.462
-43.017	161.449	-12.400
-43.077	161.501	-12.221
-43.138	161.465	-12.142
-43.196	161.467	-12.005
-43.266	161.509	-11.850
-43.394	161.542	-11.723
-43.541	161.558	-11.596
-43.698	161.620	-11.492
-43.844	161.692	-11.353
-43.984	161.725	-11.209
-44.100	161.816	-11.129
-44.211	161.873	-11.031
-44.284	161.942	-10.971
-44.336	162.021	-10.917
-44.397	162.079	-10.845
-44.438	162.137	-10.804
-44.491	162.165	-10.756
-44.574	162.193	-10.714
-44.671	162.216	-10.700
-44.764	162.262	-10.657
-44.904	162.274	-10.610
-45.037	162.280	-10.544
-45.173	162.276	-10.517
-45.328	162.309	-10.469
-45.452	162.277	-10.478
-45.548	162.272	-10.451
-45.631	162.375	-10.437
-45.738	162.435	-10.439
-45.820	162.532	-10.402
-45.905	162.624	-10.379
-45.967	162.654	-10.343
-46.003	162.670	-10.292
-46.025	162.676	-10.205
-46.026	162.668	-10.148
-45.972	162.652	-10.090
-45.939	162.614	-9.984
-45.851	162.598	-9.916
-45.778	162.581	-9.809
-45.729	162.588	-9.727
-45.730	162.537	-9.690
-45.751	162.453	-9.660
-45.833	162.304	-9.659
-45.894	162.095	-9.688
-45.972	161.930	-9.709
-46.058	161.718	-9.687
-46.098	161.511	-9.636
-46.143	161.257	-9.524
-46.124	160.926	-9.379
-46.039	160.506	-9.262
-45.896	160.030	-8.886
-45.787	159.670	-8.523
-45.701	159.321	-8.307
-45.485	158.944	-8.156
-45.338	158.718	-8.123
-45.122	158.543	-8.147
-45.024	158.513	-8.251
-44.869	158.462	-8.420
-44.793	158.576	-8.554
-44.770	158.832	-8.602
-44.763	159.078	-8.593
-44.805	159.399	-8.539
-44.885	159.638	-8.375
