P4_shoulder_lP4_whole_dist_traveled	P4_hand_rP4_whole_dist_traveled	P4_hand_lP4_whole_dist_traveled	P4_shoulder_rP4_whole_dist_traveled	P4_headP4_whole_dist_traveled	P4_elbow_rP4_whole_dist_traveled	P4_elbow_lP4_whole_dist_traveled
10.716	6.311	12.197	10.425	27.991	5.642	5.457
10.716	6.571	12.406	10.683	28.428	5.642	5.457
10.924	6.571	12.406	10.683	28.785	5.642	5.457
10.924	6.571	12.406	10.683	29.109	5.642	5.669
10.924	6.571	12.406	10.970	29.366	5.642	5.669
10.924	6.571	12.406	10.970	29.587	5.642	5.669
11.145	6.571	12.406	10.970	29.587	5.642	5.669
11.145	6.571	12.607	11.209	29.889	5.845	5.669
11.145	6.814	12.607	11.209	29.889	5.845	5.669
11.145	6.814	12.607	11.209	30.107	5.845	5.669
11.145	6.814	12.607	11.454	30.107	5.845	5.906
11.145	6.814	12.607	11.454	30.373	5.845	5.906
11.370	7.059	12.850	11.454	30.373	5.845	5.906
11.370	7.059	12.850	11.709	30.736	5.845	5.906
11.370	7.059	12.850	11.709	30.972	5.845	5.906
11.370	7.059	12.850	11.709	31.231	6.054	5.906
11.595	7.059	12.850	11.709	31.480	6.054	5.906
11.595	7.059	12.850	11.975	31.745	6.054	5.906
11.595	7.290	12.850	11.975	32.074	6.054	5.906
11.805	7.290	12.850	11.975	32.417	6.054	5.906
11.805	7.290	12.850	11.975	32.799	6.054	5.906
11.805	7.554	13.093	12.190	33.184	6.054	5.906
12.030	7.554	13.093	12.190	33.530	6.054	6.115
12.030	7.823	13.093	12.190	33.864	6.054	6.115
12.030	7.823	13.331	12.190	34.256	6.054	6.115
12.261	7.823	13.331	12.190	34.610	6.054	6.115
12.261	8.024	13.331	12.190	34.926	6.054	6.115
12.261	8.024	13.658	12.404	35.245	6.054	6.339
12.524	8.024	13.658	12.404	35.607	6.054	6.339
12.524	8.024	13.898	12.404	35.953	6.054	6.339
12.524	8.024	13.898	12.404	36.319	6.054	6.339
12.524	8.292	14.160	12.404	36.619	6.054	6.565
12.739	8.292	14.160	12.404	36.930	6.054	6.565
12.739	8.558	14.421	12.404	37.207	6.054	6.565
12.739	8.558	14.421	12.646	37.493	6.054	6.565
12.739	8.759	14.421	12.646	37.782	6.286	6.765
12.739	8.759	14.629	12.646	38.064	6.286	6.765
12.739	8.759	14.629	12.646	38.284	6.286	6.765
12.972	8.961	14.629	12.895	38.529	6.286	6.765
12.972	8.961	14.629	12.895	38.529	6.286	6.765
12.972	8.961	14.829	12.895	38.932	6.286	6.765
12.972	8.961	14.829	13.175	39.132	6.286	6.765
12.972	8.961	14.829	13.175	39.352	6.286	6.765
12.972	9.197	15.079	13.175	39.616	6.286	6.765
12.972	9.197	15.079	13.423	39.879	6.499	6.994
12.972	9.197	15.079	13.423	40.098	6.499	6.994
12.972	9.491	15.345	13.641	40.333	6.499	6.994
12.972	9.491	15.345	13.641	40.564	6.499	6.994
12.972	9.491	15.551	13.851	40.774	6.499	6.994
12.972	9.749	15.551	13.851	40.989	6.499	6.994
12.972	9.749	15.551	14.133	41.217	6.499	6.994
12.972	9.749	15.798	14.133	41.439	6.718	6.994
12.972	9.964	15.798	14.133	41.649	6.718	6.994
12.972	9.964	15.798	14.381	41.872	6.718	6.994
12.972	9.964	15.798	14.381	42.092	6.718	6.994
12.972	9.964	16.032	14.381	42.347	6.718	6.994
12.972	9.964	16.032	14.381	42.592	6.718	6.994
12.972	9.964	16.032	14.646	42.826	6.718	6.994
12.972	9.964	16.032	14.646	43.047	6.718	6.994
12.972	9.964	16.243	14.646	43.047	6.718	6.994
13.206	9.964	16.243	14.953	43.382	6.718	6.994
13.206	9.964	16.243	15.394	43.382	6.718	6.994
13.206	10.198	16.243	15.394	43.785	6.718	6.994
13.206	10.198	16.501	15.394	43.785	6.718	6.994
13.206	10.198	16.501	15.695	44.200	6.718	6.994
13.206	10.198	16.501	15.695	44.453	6.950	6.994
13.206	10.433	16.712	15.926	44.778	6.950	6.994
13.430	10.433	16.712	15.926	45.038	6.950	6.994
13.430	10.433	16.941	15.926	45.286	6.950	6.994
13.430	10.433	16.941	16.206	45.536	6.950	6.994
13.430	10.433	17.192	16.206	45.536	6.950	6.994
13.430	10.637	17.192	16.440	45.931	7.154	6.994
13.430	10.637	17.455	16.440	45.931	7.154	6.994
13.430	10.637	17.455	16.666	46.266	7.154	6.994
13.659	10.637	17.807	16.666	46.266	7.154	6.994
13.659	10.889	18.027	16.666	46.540	7.154	6.994
13.659	10.889	18.282	16.892	46.540	7.154	6.994
13.866	11.181	18.557	16.892	46.822	7.154	6.994
13.866	11.181	18.879	17.125	46.822	7.378	6.994
13.866	11.399	19.248	17.125	47.133	7.378	7.240
14.142	11.399	19.665	17.125	47.133	7.378	7.240
14.142	11.399	20.193	17.382	47.405	7.378	7.240
14.142	11.399	20.734	17.382	47.405	7.378	7.532
14.409	11.603	21.272	17.599	47.405	7.378	7.532
14.409	11.603	21.742	17.599	47.643	7.378	7.765
14.409	11.603	22.237	17.822	47.643	7.378	7.765
14.643	11.883	22.744	17.822	47.643	7.378	7.765
14.643	11.883	23.212	18.111	47.932	7.378	7.991
14.643	12.176	23.624	18.111	47.932	7.378	7.991
14.864	12.176	23.976	18.342	48.178	7.378	7.991
15.152	12.514	24.313	18.342	48.178	7.378	8.249
15.152	12.719	24.654	18.604	48.448	7.378	8.249
15.152	12.719	25.028	18.604	48.448	7.378	8.249
15.152	12.949	25.383	18.818	48.711	7.637	8.249
15.152	12.949	25.680	18.818	48.711	7.637	8.454
15.152	12.949	25.964	19.084	48.937	7.637	8.454
15.409	13.187	26.193	19.084	48.937	7.840	8.454
15.409	13.187	26.415	19.350	49.167	7.840	8.454
15.409	13.187	26.630	19.350	49.167	7.840	8.454
15.654	13.447	26.849	19.560	49.371	7.840	8.676
15.654	13.447	27.125	19.560	49.371	8.063	8.676
15.654	13.683	27.366	19.793	49.572	8.063	8.676
15.894	13.683	27.628	19.793	49.572	8.063	8.878
15.894	13.683	27.881	20.033	49.572	8.063	8.878
16.100	13.886	28.180	20.033	49.572	8.063	8.878
16.100	13.886	28.457	20.033	49.782	8.063	8.878
16.339	13.886	28.704	20.288	49.782	8.063	8.878
16.339	14.088	28.927	20.288	49.782	8.063	8.878
16.573	14.088	29.129	20.288	49.983	8.290	8.878
16.573	14.088	29.341	20.288	49.983	8.290	8.878
17.034	14.088	29.341	20.288	50.195	8.290	8.878
17.034	14.088	29.705	20.288	50.195	8.290	8.878
17.268	14.088	29.705	20.495	50.465	8.513	8.878
17.268	14.088	30.015	20.495	50.465	8.513	8.878
17.268	14.088	30.015	20.495	50.734	8.513	8.878
17.576	14.290	30.252	20.711	50.734	8.513	8.878
17.576	14.290	30.252	20.711	50.997	8.513	8.878
17.840	14.290	30.252	20.711	50.997	8.735	8.878
17.840	14.290	30.504	20.931	51.299	8.735	8.878
18.059	14.290	30.504	20.931	51.299	8.735	9.088
18.314	14.290	30.504	20.931	51.606	8.735	9.088
18.708	14.290	30.737	21.150	51.606	8.735	9.088
18.957	14.290	30.737	21.150	51.950	8.735	9.088
18.957	14.290	30.737	21.150	51.950	8.735	9.088
18.957	14.290	30.737	21.444	52.260	8.735	9.088
19.252	14.290	30.737	21.444	52.260	8.735	9.088
19.252	14.290	30.983	21.701	52.534	8.735	9.088
19.252	14.290	30.983	21.701	52.534	8.735	9.291
19.480	14.531	30.983	22.038	52.775	8.735	9.291
19.480	14.531	30.983	22.038	52.775	8.735	9.291
19.480	14.531	31.189	22.322	53.019	8.735	9.291
19.480	14.531	31.189	22.322	53.019	8.960	9.291
19.480	14.531	31.189	22.322	53.297	8.960	9.291
19.684	14.758	31.451	22.557	53.297	8.960	9.291
19.684	14.758	31.451	22.557	53.593	8.960	9.519
19.684	14.758	31.773	22.557	53.593	8.960	9.519
19.684	14.758	31.980	22.557	53.952	8.960	9.519
19.684	14.758	31.980	22.800	53.952	8.960	9.725
19.684	14.758	32.317	22.800	54.271	8.960	9.725
19.684	14.758	32.317	22.800	54.525	8.960	9.725
19.888	14.758	32.623	23.006	54.525	8.960	9.725
19.888	14.758	32.623	23.006	54.912	8.960	9.725
19.888	14.758	32.851	23.006	54.912	8.960	9.961
19.888	14.758	32.851	23.006	55.206	8.960	9.961
19.888	14.758	33.131	23.242	55.206	8.960	9.961
19.888	14.758	33.131	23.242	55.410	8.960	9.961
19.888	14.758	33.407	23.242	55.410	9.181	9.961
20.118	14.758	33.407	23.480	55.410	9.181	9.961
20.118	14.981	33.766	23.480	55.410	9.181	9.961
20.118	14.981	33.766	23.480	55.410	9.181	9.961
20.118	14.981	34.103	23.686	55.410	9.181	9.961
20.118	14.981	34.103	23.686	55.639	9.181	9.961
20.118	15.224	34.407	23.686	55.639	9.384	9.961
20.118	15.224	34.622	23.686	55.639	9.384	9.961
20.367	15.504	34.622	23.686	55.917	9.384	9.961
20.367	15.504	35.057	23.686	55.917	9.384	9.961
20.367	15.776	35.057	23.904	56.178	9.384	9.961
20.367	15.776	35.454	23.904	56.178	9.384	9.961
20.367	16.059	35.657	23.904	56.472	9.384	9.961
20.367	16.059	35.657	23.904	56.472	9.384	9.961
20.581	16.338	35.886	23.904	56.861	9.384	9.961
20.581	16.338	35.886	23.904	56.861	9.384	10.207
20.581	16.338	36.153	23.904	57.194	9.384	10.207
20.581	16.338	36.153	23.904	57.194	9.384	10.207
20.796	16.338	36.438	23.904	57.506	9.584	10.417
20.796	16.338	36.438	23.904	57.506	9.584	10.417
20.796	16.338	36.694	23.904	57.786	9.584	10.631
20.796	16.338	36.694	23.904	57.786	9.584	10.631
21.040	16.338	37.014	23.904	58.028	9.584	10.631
21.040	16.338	37.231	23.904	58.028	9.584	10.918
21.040	16.338	37.495	23.904	58.236	9.584	10.918
21.261	16.338	37.818	24.130	58.236	9.584	10.918
21.261	16.338	38.193	24.130	58.455	9.584	10.918
21.261	16.338	38.560	24.130	58.455	9.584	10.918
21.533	16.546	38.895	24.130	58.691	9.584	11.161
21.533	16.546	39.277	24.130	58.691	9.584	11.161
21.533	16.546	39.684	24.371	58.691	9.584	11.161
21.740	16.546	40.097	24.371	58.969	9.584	11.161
21.740	16.546	40.490	24.371	58.969	9.584	11.161
21.740	16.546	40.841	24.371	58.969	9.825	11.161
21.740	16.546	41.135	24.371	59.185	9.825	11.161
21.956	16.546	41.407	24.371	59.185	9.825	11.161
21.956	16.546	41.689	24.598	59.185	9.825	11.161
21.956	16.546	41.970	24.598	59.185	9.825	11.161
21.956	16.546	42.232	24.598	59.185	9.825	11.379
21.956	16.546	42.547	24.598	59.414	9.825	11.379
21.956	16.546	42.851	24.803	59.414	9.825	11.379
21.956	16.546	43.144	24.803	59.414	10.028	11.379
21.956	16.546	43.404	24.803	59.414	10.028	11.379
21.956	16.546	43.656	24.803	59.414	10.028	11.379
21.956	16.546	43.656	24.803	59.651	10.028	11.379
21.956	16.546	43.967	24.803	59.651	10.028	11.379
21.956	16.766	43.967	25.017	59.651	10.028	11.379
21.956	16.766	43.967	25.017	59.907	10.028	11.379
21.956	16.766	43.967	25.017	59.907	10.028	11.379
21.956	16.766	43.967	25.017	59.907	10.028	11.379
21.956	16.766	44.199	25.017	60.208	10.028	11.379
21.956	16.766	44.199	25.017	60.208	10.028	11.379
21.956	16.991	44.199	25.017	60.462	10.028	11.379
21.956	16.991	44.199	25.017	60.462	10.028	11.379
21.956	16.991	44.456	25.017	60.695	10.028	11.379
21.956	16.991	44.456	25.017	60.695	10.028	11.379
21.956	16.991	44.658	25.231	60.953	10.231	11.379
21.956	17.215	44.658	25.231	60.953	10.231	11.379
21.956	17.215	44.877	25.231	61.227	10.231	11.379
21.956	17.215	44.877	25.231	61.227	10.231	11.379
22.163	17.215	45.176	25.231	61.474	10.231	11.379
22.163	17.215	45.176	25.469	61.474	10.231	11.379
22.163	17.215	45.447	25.469	61.785	10.231	11.379
22.163	17.215	45.447	25.469	61.785	10.231	11.379
22.394	17.215	45.447	25.469	62.132	10.231	11.379
22.394	17.215	45.692	25.676	62.332	10.231	11.379
22.394	17.215	45.692	25.676	62.554	10.231	11.379
22.394	17.448	45.692	25.676	62.769	10.231	11.379
22.603	17.448	45.692	25.676	62.769	10.452	11.379
22.603	17.448	45.895	25.676	63.106	10.452	11.379
22.603	17.448	45.895	25.894	63.106	10.452	11.379
22.603	17.448	45.895	25.894	63.338	10.452	11.379
22.838	17.680	45.895	25.894	63.338	10.452	11.379
22.838	17.680	45.895	25.894	63.338	10.452	11.379
22.838	17.680	46.124	25.894	63.637	10.452	11.379
22.838	17.680	46.124	25.894	63.637	10.452	11.583
22.838	17.887	46.124	26.133	63.637	10.452	11.583
23.044	17.887	46.330	26.133	63.851	10.452	11.583
23.044	17.887	46.330	26.133	63.851	10.452	11.583
23.044	17.887	46.330	26.133	63.851	10.452	11.583
23.044	17.887	46.330	26.133	63.851	10.452	11.583
23.044	17.887	46.571	26.133	63.851	10.452	11.583
23.044	17.887	46.571	26.133	63.851	10.452	11.583
23.044	18.114	46.571	26.133	64.100	10.452	11.583
23.044	18.114	46.571	26.133	64.100	10.658	11.583
23.249	18.114	46.794	26.133	64.100	10.658	11.583
23.249	18.114	46.794	26.343	64.349	10.658	11.583
23.249	18.114	46.794	26.343	64.349	10.658	11.583
23.249	18.114	46.794	26.343	64.560	10.658	11.583
23.249	18.114	46.794	26.343	64.560	10.658	11.583
23.249	18.114	46.794	26.343	64.789	10.658	11.583
23.249	18.114	46.794	26.343	64.789	10.658	11.583
