P4_hands_dir_Distance_X	P4_hands_dir_Distance_Y	P4_hands_dir_Distance_Z


-55.560	167.332	-6.508
-55.600	167.253	-6.520
-55.641	167.176	-6.533
-54.689	169.575	-6.739
-54.717	169.513	-6.722
-55.288	169.975	-6.123
-55.175	170.241	-6.148
-54.870	169.147	-6.778
-54.896	169.043	-6.786
-54.933	168.958	-6.804
-55.000	168.855	-6.820
-55.053	168.734	-6.809
-55.150	168.660	-6.789
-55.224	168.618	-6.769
-55.254	168.511	-6.785
-55.327	168.474	-6.779
-55.392	168.418	-6.806
-55.439	168.369	-6.808
-55.462	168.316	-6.861
-55.493	168.248	-6.866
-55.507	168.197	-6.911
-55.478	168.136	-6.906
-55.495	168.090	-6.901
-55.509	168.041	-6.910
-55.556	168.005	-6.913
-55.594	167.958	-6.936
-55.630	167.947	-6.962
-55.635	167.908	-7.022
-55.661	167.910	-7.099
-55.685	167.886	-7.172
-55.678	167.892	-7.195
-55.680	167.903	-7.224
-55.675	167.911	-7.245
-55.702	167.909	-7.248
-55.706	167.909	-7.286
-55.674	167.907	-7.266
-55.687	167.932	-7.251
-55.709	167.971	-7.214
-55.709	167.948	-7.203
-55.725	167.951	-7.186
-55.715	167.936	-7.182
-55.696	167.908	-7.187
-55.689	167.923	-7.163
-55.694	167.960	-7.173
-55.680	168.006	-7.142
-55.673	167.982	-7.108
-55.638	167.977	-7.088
-55.612	168.019	-7.095
-55.557	167.974	-7.089
-55.510	167.999	-7.072
-55.483	168.018	-7.044
-55.438	168.057	-6.985
-55.435	168.114	-6.934
-55.455	168.174	-6.854
-55.454	168.231	-6.776
-55.514	168.323	-6.695
-55.541	168.390	-6.614
-55.607	168.444	-6.566
-55.660	168.497	-6.504
-55.743	168.603	-6.475
-55.845	168.695	-6.410
-55.896	168.762	-6.325
-56.046	168.931	-6.159
-56.126	169.035	-6.020
-56.214	169.188	-5.848
-56.302	169.352	-5.639
-56.375	169.457	-5.484
-56.408	169.527	-5.302
-56.543	169.551	-5.220
-56.656	169.571	-5.156
-56.756	169.598	-5.142
-56.793	169.626	-5.226
-56.787	169.653	-5.345
-56.797	169.693	-5.420
-56.849	169.719	-5.346
-56.843	169.802	-5.296
-56.901	169.869	-5.254
-56.928	169.949	-5.244
-56.873	169.973	-5.195
-56.807	170.023	-5.228
-56.708	170.007	-5.207
-56.596	170.030	-5.286
-56.432	170.085	-5.361
-56.337	170.139	-5.426
-56.213	170.155	-5.450
-56.127	170.149	-5.483
-56.017	170.152	-5.491
-55.923	170.154	-5.509
-55.805	170.111	-5.503
-55.712	170.083	-5.466
-55.660	170.098	-5.452
-55.602	170.115	-5.450
-55.545	170.131	-5.409
-55.503	170.160	-5.460
-55.448	170.237	-5.492
-55.420	170.283	-5.540
-55.416	170.326	-5.561
-55.420	170.351	-5.603
-55.470	170.381	-5.615
-55.485	170.381	-5.680
-55.506	170.412	-5.730
-55.527	170.414	-5.799
-55.558	170.428	-5.846
-55.539	170.428	-5.890
-55.537	170.409	-5.932
-55.519	170.403	-6.005
-55.454	170.341	-6.049
-55.438	170.306	-6.100
-55.442	170.265	-6.171
-55.406	170.174	-6.281
-55.367	170.085	-6.397
