P4_Angle_r


93.949
93.949
93.941
93.935
93.931
93.956
93.909
93.951
93.954
93.958
93.962
93.964
93.967
93.972
93.966
93.961
93.962
93.963
93.956
93.963
93.963
93.963
93.964
93.970
93.970
93.970
93.976
93.971
93.975
93.969
93.971
93.970
93.966
93.975
93.963
93.962
93.961
93.962
93.965
93.953
93.938
93.939
93.936
93.924
93.915
93.917
93.920
93.919
93.917
93.913
93.915
93.904
93.896
93.893
93.891
93.889
93.888
93.890
93.911
93.910
93.925
93.926
93.928
93.922
93.925
93.917
93.917
93.929
93.940
93.950
93.950
93.934
93.912
93.879
93.864
93.857
93.859
93.876
93.887
93.895
93.905
93.901
93.909
93.913
93.920
93.930
93.946
93.950
93.954
93.962
93.969
93.968
93.965
93.959
93.956
93.951
93.962
93.981
94.000
94.022
94.044
94.058
94.066
94.069
94.075
94.080
94.085
94.096
94.111
94.120
94.116
94.129
94.119
94.126
94.127
94.127
94.130
94.139
94.146
94.148
94.161
94.172
94.177
94.172
94.164
94.152
94.145
94.141
94.125
94.112
94.111
94.113
94.092
94.101
94.094
94.087
94.083
94.078
94.072
94.069
94.075
94.075
94.073
94.068
94.066
94.056
94.041
94.029
94.000
93.972
93.956
93.929
93.907
93.896
93.873
93.863
93.858
93.851
93.855
93.833
93.831
93.819
93.813
93.808
93.797
93.794
93.799
93.796
93.793
93.783
93.793
93.788
93.798
93.800
93.803
93.813
93.817
93.809
93.809
93.809
93.812
93.807
93.811
93.816
93.821
93.827
93.833
93.842
93.848
93.844
93.839
93.827
93.817
93.808
93.808
93.798
93.795
93.809
93.802
93.796
93.795
93.790
93.789
93.765
93.740
93.715
93.697
93.685
93.673
93.663
93.652
93.643
93.638
93.639
93.638
93.626
93.625
93.617
93.612
93.600
93.596
93.600
93.611
93.612
93.619
93.617
93.622
93.616
93.623
93.627
93.633
93.639
93.653
93.660
93.665
93.689
93.709
93.717
93.735
93.751
93.749
93.754
93.749
93.743
93.735
93.737
93.746
93.744
93.751
93.766
93.770
93.782
93.796
93.800
93.825
93.825
93.831
93.844
93.859
93.870
93.889
93.907
93.917
93.930
93.943
93.941
93.959
93.965
93.986
93.997
94.002
94.010
94.004
94.003
94.005
93.999
93.991
93.995
93.984
93.979
93.969
93.969
93.955
93.948
93.943
93.944
93.950
93.956
93.962
93.973
93.973
93.983
93.996
94.005
94.001
94.011
94.018
94.017
94.014
94.014
94.015
94.027
94.027
94.038
94.045
94.054
94.059
94.076
94.082
94.078
94.090
94.092
94.109
94.127
94.148
94.157
94.153
94.148
94.143
94.142
94.135
94.136
94.139
94.134
94.141
94.135
94.145
94.147
94.158
94.169
94.170
94.184
94.194
94.210
94.205
94.216
94.209
94.198
94.201
94.201
94.201
94.207
94.199
94.202
94.211
94.209
94.208
94.197
94.208
94.209
94.211
94.223
94.223
94.227
94.231
94.232
94.232
94.227
94.223
94.229
94.225
94.233
94.235
94.231
94.227
94.226
94.213
94.197
94.200
94.197
94.203
94.220
94.239
94.249
94.267
94.269
94.267
94.264
94.255
94.246
94.243
94.243
94.236
94.228
94.220
94.228
94.215
94.215
94.216
94.214
94.206
94.199
94.191
94.191
94.182
94.161
94.133
94.107
94.090
94.072
