RHand	LHand	Head
14.423	19.868	14.031
14.159	20.063	14.697
14.719	16.279	17.096
13.967	11.453	19.425
11.358	11.631	18.913
7.508	13.339	16.672
4.406	13.976	16.301
1.934	14.265	15.578
1.492	14.180	15.393
3.223	12.782	14.018
3.310	13.530	12.444
3.345	16.002	12.074
4.361	19.358	11.267
4.600	24.044	10.406
3.068	29.315	10.125
2.920	34.720	10.965
4.884	37.086	11.893
5.905	35.100	11.809
6.756	35.784	10.687
5.879	39.170	9.357
3.018	40.309	8.995
1.649	40.298	8.764
2.285	37.142	6.955
1.836	32.167	6.661
0.612	28.121	6.550
2.654	27.652	5.448
3.908	28.099	5.092
4.677	27.137	4.339
4.224	28.659	3.861
2.787	30.942	2.183
2.357	29.770	4.664
3.018	27.621	5.933
2.645	25.358	4.837
1.302	21.146	5.083
2.009	15.566	7.413
3.706	10.435	8.779
2.826	7.955	7.802
2.486	3.617	9.505
2.991	2.972	9.907
3.569	3.805	9.646
4.773	4.106	11.117
5.586	5.337	12.691
5.394	6.997	12.414
5.320	7.620	11.688
3.871	9.302	11.927
3.732	10.097	12.880
4.985	9.488	13.430
4.878	10.936	13.722
4.307	14.349	12.528
2.182	14.985	12.348
1.897	14.561	14.393
2.779	13.550	15.522
2.022	10.360	15.905
1.590	8.054	17.358
2.671	8.137	19.658
3.818	7.478	21.099
4.098	5.880	21.687
4.472	4.326	20.102
5.456	4.927	16.873
5.009	4.179	13.107
3.883	3.379	11.585
4.283	5.951	11.075
5.141	5.806	9.933
6.156	4.869	9.775
5.029	6.941	8.188
4.992	8.646	7.356
5.508	6.212	7.567
5.295	3.657	5.431
3.338	4.220	3.747
2.128	5.144	2.911
2.573	8.010	4.313
2.763	7.970	4.788
3.731	6.550	4.964
4.235	7.172	6.279
3.616	5.178	7.907
3.362	3.722	8.987
2.772	3.034	8.993
2.875	3.613	10.553
2.249	2.260	11.464
1.952	2.544	11.489
1.804	2.207	13.488
1.198	3.049	12.761
2.091	0.983	10.916
3.837	2.621	12.317
1.552	5.227	11.449
2.296	6.031	9.880
2.539	4.351	9.183
5.294	4.742	7.434
7.955	3.368	6.481
7.073	3.159	5.895
6.054	3.472	4.892
4.866	3.754	3.724
3.245	2.461	3.308
3.698	2.041	3.653
3.495	4.632	4.078
3.479	8.502	4.707
3.145	10.392	5.176
2.909	12.873	5.313
3.399	13.142	5.253
5.505	12.596	4.608
6.108	14.045	5.420
7.924	12.948	4.997
7.449	10.851	2.694
5.466	11.655	2.299
4.660	11.424	1.641
3.734	8.632	0.385
6.047	7.857	1.081
6.423	7.369	2.204
7.766	9.034	3.182
5.374	8.209	4.058
3.298	5.641	5.000
2.436	3.537	5.909
1.135	5.163	6.424
1.050	5.160	6.657
1.974	3.421	7.339
1.482	4.115	7.146
2.676	2.699	6.368
2.371	4.312	5.428
1.167	6.525	5.611
3.955	7.439	5.658
6.577	9.355	5.516
6.854	11.822	5.831
6.759	12.213	5.280
5.918	10.044	5.579
5.168	9.925	5.940
7.946	8.650	4.376
7.700	5.984	4.979
4.847	6.405	3.422
3.048	4.995	1.718
5.126	3.351	2.688
7.264	4.602	2.907
7.464	6.674	2.210
6.215	11.028	1.691
2.233	16.025	1.867
2.120	21.202	2.100
4.409	22.617	2.768
7.286	22.821	3.894
9.383	27.429	6.317
