RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z	Head_X	Head_Y	Head_Z


0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.000	0.000	0.000	0.000	0.000	0.228	0.000	0.000
0.000	0.000	0.000	0.958	2.350	0.203	0.228	0.000	0.000
0.000	0.000	0.000	0.958	2.350	0.203	0.476	0.000	0.000
0.000	1.647	0.000	1.639	3.703	0.971	0.476	1.329	0.000
0.000	1.647	0.000	1.639	3.703	0.971	0.709	1.628	0.401
0.000	2.755	0.000	2.226	3.983	1.672	0.709	1.628	0.903
0.000	2.755	0.000	2.226	3.983	1.672	0.993	1.628	0.903
0.219	2.755	0.000	2.226	4.195	1.672	0.993	1.628	0.903
0.219	2.755	0.000	2.226	4.195	1.672	1.235	1.628	0.903
0.219	2.755	0.000	2.226	4.438	1.672	1.235	1.628	0.903
0.219	2.755	0.000	2.226	4.438	1.672	1.451	1.903	0.903
0.452	2.755	0.000	2.226	4.438	1.672	1.451	1.903	0.903
0.452	2.755	0.000	2.226	4.708	1.672	1.451	1.903	0.903
0.452	2.755	0.000	2.226	4.708	1.672	1.702	2.119	0.903
0.452	2.755	0.000	2.226	4.708	1.672	1.702	2.119	0.903
0.452	2.755	0.000	2.226	4.708	1.672	1.702	2.119	0.903
0.452	2.755	0.209	2.428	4.984	1.672	1.921	2.119	0.903
0.452	2.755	0.209	2.428	4.984	1.672	1.921	2.369	0.903
0.452	2.965	0.209	2.428	4.984	1.672	1.921	2.369	0.903
0.452	2.965	0.209	2.428	5.217	1.672	2.130	2.369	0.903
0.452	2.965	0.209	2.428	5.217	1.672	2.130	2.613	0.903
0.452	2.965	0.209	2.428	5.217	1.672	2.130	2.613	0.903
0.452	2.965	0.209	2.428	5.217	1.672	2.393	2.845	0.903
0.452	2.965	0.209	2.428	5.462	1.672	2.393	2.845	0.903
0.667	2.965	0.209	2.428	5.462	1.672	2.393	3.148	0.903
0.667	2.965	0.209	2.428	5.462	1.672	2.393	3.148	0.903
0.667	2.965	0.209	2.428	5.462	1.672	2.624	3.357	0.903
0.667	2.965	0.209	2.428	5.462	1.672	2.624	3.357	0.903
0.667	2.965	0.413	2.428	5.462	1.672	2.624	3.357	1.124
0.667	2.965	0.413	2.428	5.462	1.672	2.624	3.582	1.124
0.667	3.167	0.413	2.428	5.462	1.672	2.624	3.582	1.124
0.667	3.167	0.413	2.428	5.462	1.672	2.624	3.582	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.624	3.582	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.624	3.582	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.624	3.788	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.624	3.788	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.624	3.788	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.870	3.788	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.870	3.788	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.870	3.788	1.124
0.667	3.167	0.413	2.428	5.664	1.878	2.870	3.788	1.124
