P4_hand_rP4_hands_pos_X	P4_hand_rP4_hands_pos_Y	P4_hand_rP4_hands_pos_Z	P4_hand_lP4_hands_pos_X	P4_hand_lP4_hands_pos_Y	P4_hand_lP4_hands_pos_Z
82.676	-2.728	780.002	27.766	167.002	772.877
82.645	-2.716	780.047	27.761	167.011	772.849
82.647	-2.719	780.067	27.740	166.986	772.836
82.613	-2.695	780.091	27.742	166.982	772.840
82.576	-2.671	780.115	27.711	166.952	772.858
82.511	-2.641	780.179	27.737	166.901	772.866
82.454	-2.615	780.203	27.766	166.852	772.857
82.370	-2.537	780.213	27.778	166.780	772.852
82.280	-2.461	780.272	27.782	166.710	772.875
82.186	-2.401	780.356	27.799	166.621	772.859
82.164	-2.321	780.336	27.814	166.546	772.866
82.116	-2.278	780.367	27.850	166.415	772.849
82.105	-2.218	780.364	27.844	166.350	772.862
82.096	-2.187	780.380	27.879	166.226	772.864
82.088	-2.141	780.330	27.871	166.139	772.889
82.050	-2.097	780.365	27.884	165.988	772.897
81.992	-2.081	780.322	27.889	165.888	772.945
81.939	-2.027	780.275	27.912	165.745	772.992
81.833	-2.007	780.246	27.946	165.597	773.021
81.716	-1.911	780.187	27.962	165.495	773.051
81.627	-1.848	780.170	27.990	165.416	773.101
81.551	-1.803	780.150	27.990	165.356	773.136
81.475	-1.772	780.144	27.991	165.335	773.180
81.424	-1.769	780.138	27.952	165.343	773.247
81.367	-1.722	780.129	27.963	165.379	773.275
81.341	-1.728	780.138	27.983	165.432	773.300
81.323	-1.699	780.175	27.990	165.505	773.285
81.280	-1.688	780.189	28.012	165.591	773.278
81.250	-1.658	780.199	28.032	165.686	773.296
81.163	-1.628	780.202	28.022	165.753	773.272
81.070	-1.609	780.166	28.060	165.829	773.250
80.973	-1.579	780.170	28.093	165.890	773.235
80.887	-1.546	780.143	28.139	165.976	773.186
80.801	-1.504	780.134	28.186	166.036	773.149
80.711	-1.460	780.118	28.247	166.135	773.114
80.653	-1.442	780.110	28.281	166.184	773.071
80.599	-1.391	780.111	28.336	166.261	773.041
80.534	-1.357	780.121	28.377	166.326	773.025
80.471	-1.329	780.107	28.412	166.366	773.017
80.427	-1.301	780.123	28.426	166.420	773.022
80.393	-1.295	780.129	28.424	166.497	773.027
80.380	-1.308	780.125	28.418	166.555	773.051
80.370	-1.321	780.098	28.424	166.610	773.048
80.366	-1.369	780.064	28.418	166.657	773.048
80.382	-1.395	780.054	28.453	166.702	773.069
80.391	-1.426	780.035	28.477	166.756	773.074
80.390	-1.428	780.027	28.514	166.796	773.097
80.392	-1.467	779.991	28.538	166.845	773.152
80.389	-1.486	779.953	28.573	166.900	773.158
80.400	-1.524	779.873	28.612	166.959	773.157
80.431	-1.536	779.864	28.659	167.019	773.144
80.469	-1.567	779.844	28.670	167.078	773.155
80.528	-1.599	779.802	28.676	167.160	773.139
80.544	-1.610	779.779	28.743	167.249	773.127
