P4_hands_Distance


176.435
176.373
176.313
178.303
178.252
178.846
179.065
177.954
177.862
177.794
177.718
177.619
177.577
177.560
177.468
177.456
177.424
177.392
177.351
177.297
177.254
177.187
177.148
177.107
177.087
177.056
177.058
177.024
177.037
177.025
177.030
177.042
177.049
177.056
177.058
177.046
177.073
177.115
177.093
177.100
177.082
177.050
177.061
177.099
177.136
177.110
177.093
177.126
177.065
177.074
177.082
177.103
177.153
177.214
177.264
177.368
177.437
177.507
177.571
177.697
177.814
177.890
178.092
178.211
178.379
178.554
178.673
178.743
178.807
178.860
178.916
178.958
178.984
179.028
179.066
179.142
179.223
179.307
179.311
179.338
179.291
179.279
179.283
179.306
179.283
179.251
179.220
179.193
179.115
179.058
179.056
179.054
179.051
179.067
179.124
179.161
179.200
179.227
179.271
179.278
179.315
179.326
179.350
179.346
179.329
179.320
179.242
179.206
179.170
179.077
178.984
178.945
178.915
178.954
178.935
178.928
178.909
178.858
178.815
178.765
178.689
178.578
178.574
178.534
178.525
178.513
178.476
178.423
178.321
178.223
178.053
177.886
177.716
177.555
177.365
177.245
177.085
176.955
176.755
176.621
176.407
176.202
175.970
175.796
175.671
175.595
175.594
175.561
175.603
175.639
175.691
175.738
175.750
175.765
175.756
175.768
175.746
175.755
175.758
175.751
175.750
175.733
175.741
175.798
175.863
175.923
176.012
176.074
176.149
176.177
176.252
176.308
176.391
176.454
176.548
176.672
176.751
176.833
176.917
176.999
177.075
177.153
177.289
177.513
177.770
178.097
178.448
178.843
179.228
179.662
180.158
180.630
181.073
181.427
181.788
182.147
182.446
182.699
182.883
183.045
183.194
183.444
183.670
183.877
184.024
184.147
184.300
184.434
184.586
184.800
184.880
185.060
185.247
185.466
185.657
185.792
185.915
185.992
186.091
186.179
186.246
186.331
186.394
186.441
186.504
186.545
186.569
186.601
186.618
186.628
186.630
186.612
186.641
186.697
186.722
186.814
186.869
186.888
186.931
186.992
187.036
187.075
187.153
187.236
187.301
187.374
187.430
187.470
187.515
187.540
187.555
187.559
187.545
187.505
187.496
187.465
187.413
187.334
187.288
187.236
187.187
187.182
187.207
187.307
187.367
187.460
187.549
187.694
187.825
187.945
188.092
188.223
188.342
188.477
188.586
188.674
188.807
188.924
189.081
189.269
189.522
189.725
189.939
190.104
190.291
190.401
190.663
190.899
191.075
191.235
191.424
191.650
191.846
192.048
192.231
192.384
192.585
192.791
192.933
193.112
193.250
193.321
193.396
193.405
193.426
193.483
193.492
193.547
193.626
193.685
193.733
193.761
193.772
193.720
193.659
193.559
193.478
193.470
193.443
193.462
193.475
193.535
193.551
193.554
193.523
193.525
193.503
193.507
193.514
193.540
193.519
193.521
193.519
193.579
193.557
193.591
193.633
193.697
193.740
193.790
193.824
193.841
193.869
193.914
193.878
193.890
193.849
193.828
193.814
193.753
193.750
193.718
193.708
193.744
193.807
193.804
193.781
193.791
193.788
193.808
193.847
193.877
193.874
193.828
193.805
193.766
193.737
193.668
193.663
193.593
193.592
193.594
193.616
193.595
193.618
193.569
193.512
193.503
193.457
193.425
193.400
193.331
193.313
193.289
193.289
193.349
193.440
193.554
193.652
193.764
193.890
194.049
194.118
194.217
194.183
194.161
194.203
194.176
194.168
