RHand	LHand	Head


0.000	0.000	0.000
13.812	7.640	70.204
11.689	6.547	85.718
11.549	6.735	93.318
47.727	32.982	88.236
64.155	30.849	159.443
40.606	43.594	192.501
65.810	43.909	173.003
24.505	19.788	193.049
29.542	23.613	219.034
30.805	26.750	238.929
35.031	29.318	256.202
42.979	30.900	280.107
46.891	32.171	293.357
47.596	31.982	307.771
47.008	32.366	317.855
51.924	37.003	328.533
54.522	36.531	364.638
44.703	31.105	368.773
35.675	25.637	355.902
32.130	20.430	365.189
34.868	19.339	367.567
34.943	21.399	376.463
34.208	25.565	381.356
33.468	32.608	383.606
34.684	45.641	381.246
39.613	49.020	378.202
40.580	43.034	375.237
40.127	42.499	362.934
43.766	46.525	356.334
49.489	46.497	340.542
50.189	49.735	324.554
54.227	63.695	307.470
57.606	74.084	290.576
52.505	75.302	271.641
50.230	75.660	249.849
54.733	82.563	243.249
61.158	91.630	219.944
60.660	102.118	198.633
56.503	104.299	195.162
54.741	102.458	208.986
52.983	107.662	192.180
51.434	108.435	157.413
48.031	110.710	147.379
47.851	103.978	142.066
49.378	100.048	139.666
49.896	99.909	134.175
54.361	63.340	132.142
62.514	63.463	133.036
68.107	90.043	134.587
66.976	85.123	132.019
64.844	74.932	128.740
63.289	83.835	127.511
62.129	97.452	127.526
60.059	86.004	128.638
57.586	86.210	123.573
55.502	89.660	112.837
49.304	94.883	101.262
46.200	90.554	97.944
43.858	92.068	88.548
36.468	95.251	82.755
28.600	94.857	79.617
22.763	90.054	72.522
14.758	81.982	69.922
10.408	73.269	61.345
17.050	65.529	60.284
21.412	56.261	67.084
15.443	40.199	62.986
12.250	23.523	56.641
13.120	11.969	58.763
11.864	11.693	63.766
10.442	15.594	63.757
8.813	19.749	58.481
8.263	22.500	58.138
8.597	21.134	61.812
7.056	19.637	63.880
7.116	18.949	59.807
8.776	17.313	54.833
9.422	17.032	51.730
11.224	16.092	49.468
12.754	13.412	49.767
12.789	8.491	48.670
12.652	5.589	43.453
12.713	11.078	40.385
12.431	20.359	41.428
10.506	25.986	38.126
7.787	27.635	32.154
8.111	30.839	26.919
7.195	32.423	25.600
8.185	32.163	25.147
8.044	32.357	24.083
6.741	32.390	24.087
7.110	28.388	23.554
5.304	20.269	24.397
4.224	14.435	29.242
4.694	9.658	32.050
3.236	5.206	32.020
3.098	7.276	38.978
4.176	10.205	38.383
2.768	12.721	36.159
2.686	14.216	38.715
3.366	13.617	36.676
4.709	12.544	34.096
5.017	11.488	33.065
3.328	10.407	34.687
4.514	8.091	38.576
4.141	6.607	35.847
2.454	4.600	31.234
1.939	2.719	34.928
1.856	2.258	38.545
2.244	0.540	44.301
1.956	1.891	51.809
3.515	2.409	51.388
4.053	2.604	70.286
4.782	2.749	91.115
6.005	3.744	110.266
6.865	2.984	127.794
5.956	2.234	140.454
6.268	2.552	170.948
4.503	1.366	177.451
3.949	2.486	187.411
7.657	5.146	212.094
9.153	5.504	226.034
10.267	5.592	230.354
11.535	5.880	239.718
11.559	6.272	280.858
12.428	7.334	290.807
12.424	7.417	259.957
11.220	7.769	251.579
9.019	6.213	250.772
8.021	5.143	241.795
7.896	4.586	226.166
7.735	4.094	214.071
