RHand_X	RHand_Y	RHand_Z	LHand_X	LHand_Y	LHand_Z	Head_X	Head_Y	Head_Z
18.005	13.950	11.375	15.127	28.416	23.537	45.963	129.429	15.613
18.005	13.950	11.375	15.127	28.743	23.537	45.963	129.429	15.613
18.005	13.950	11.375	15.127	29.050	23.537	45.963	129.837	15.921
18.223	13.950	11.601	15.127	29.373	23.537	45.963	129.837	15.921
18.223	13.950	11.601	15.343	29.686	23.537	45.963	130.247	15.921
18.223	13.950	11.601	15.343	30.012	23.760	46.256	130.247	16.163
18.223	14.188	11.601	15.343	30.248	23.760	46.256	130.590	16.163
18.223	14.188	11.601	15.343	30.248	23.760	46.653	130.590	16.163
18.223	14.188	11.810	15.343	30.528	23.760	46.941	130.834	16.163
18.223	14.188	11.810	15.343	30.528	23.760	47.256	130.834	16.163
18.223	14.188	11.810	15.343	30.528	23.760	47.533	130.834	16.163
18.223	14.188	11.810	15.343	30.528	23.997	47.894	131.360	16.163
18.223	14.188	11.810	15.343	30.528	23.997	48.204	131.360	16.163
18.223	14.188	11.810	15.343	30.732	23.997	48.588	131.360	16.163
18.223	14.188	11.810	15.343	30.732	24.203	48.937	131.578	16.455
18.223	14.188	12.023	15.545	30.947	24.203	49.275	131.578	16.455
18.223	14.188	12.023	15.545	30.947	24.203	49.588	131.578	16.455
18.223	14.188	12.023	15.545	30.947	24.203	49.904	131.784	16.707
18.432	14.188	12.023	15.545	31.236	24.203	50.245	131.784	16.707
18.432	14.188	12.023	15.545	31.236	24.429	50.624	132.006	16.707
18.432	14.188	12.023	15.545	31.236	24.429	50.892	132.006	16.964
18.432	14.188	12.235	15.545	31.236	24.429	51.137	132.278	16.964
18.432	14.188	12.235	15.545	31.236	24.429	51.347	132.538	17.263
18.432	14.188	12.235	15.545	31.236	24.429	51.560	132.856	17.263
18.432	14.188	12.235	15.545	31.236	24.429	51.763	133.288	17.485
18.432	14.188	12.235	15.545	31.236	24.429	51.763	133.795	17.485
18.432	14.188	12.235	15.545	31.236	24.429	52.021	134.191	17.903
18.432	14.408	12.235	15.545	31.236	24.429	52.021	135.173	17.903
18.432	14.408	12.235	15.545	31.236	24.429	52.021	135.999	18.128
18.432	14.408	12.235	15.545	31.236	24.429	52.021	137.368	18.128
18.432	14.408	12.235	15.545	31.236	24.429	52.021	138.554	18.128
18.432	14.626	12.235	15.545	31.236	24.429	52.021	140.173	18.128
18.432	14.626	12.235	15.545	31.236	24.429	52.346	141.956	18.128
18.432	14.626	12.235	15.545	31.236	24.429	52.346	143.704	18.128
18.432	14.626	12.235	15.545	31.236	24.429	52.626	145.694	18.128
18.432	14.626	12.235	15.545	31.236	24.429	52.626	147.936	18.128
18.673	14.626	12.235	15.545	31.236	24.429	52.852	150.208	18.346
18.673	14.626	12.235	15.545	31.445	24.429	52.852	152.538	18.346
18.673	14.626	12.235	15.545	31.445	24.429	52.852	155.000	18.346
18.953	14.626	12.235	15.545	31.445	24.429	52.852	158.144	18.727
18.953	14.626	12.235	15.545	31.445	24.429	52.852	160.807	18.727
18.953	14.626	12.443	15.545	31.654	24.429	52.852	163.340	18.727
19.179	14.626	12.443	15.545	31.654	24.429	53.107	165.828	18.727
19.179	14.626	12.443	15.545	31.654	24.657	53.363	168.328	18.987
19.179	14.885	12.443	15.545	31.654	24.657	53.638	170.635	18.987
19.179	14.885	12.443	15.545	31.654	24.657	54.010	172.798	19.226
19.179	14.885	12.701	15.545	31.654	24.657	54.479	174.832	19.226
19.179	14.885	12.701	15.545	31.654	24.657	54.838	176.750	19.226
19.179	14.885	12.701	15.755	31.870	24.657	55.189	178.487	19.226
19.179	15.098	12.701	15.755	31.870	24.657	55.531	180.076	19.442
19.179	15.098	12.930	15.755	31.870	24.657	55.836	181.617	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.072	183.020	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.396	184.330	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.396	185.466	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.665	186.609	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.665	187.793	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.875	188.740	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.875	189.588	19.442
19.179	15.098	12.930	15.755	31.870	24.657	56.875	190.431	19.442
19.179	15.098	12.930	15.755	32.117	24.657	56.875	191.184	19.442
19.179	15.098	12.930	15.755	32.117	24.657	56.875	191.955	19.790
19.179	15.098	12.930	15.961	32.117	24.892	56.875	192.549	19.790
19.179	15.329	12.930	15.961	32.325	24.892	56.875	193.154	20.034
19.381	15.329	12.930	15.961	32.325	24.892	56.875	193.710	20.034
19.381	15.329	12.930	16.266	32.325	25.189	56.875	194.237	20.302
19.381	15.329	12.930	16.266	32.325	25.189	57.117	194.702	20.302
19.381	15.329	12.930	16.580	32.621	25.425	57.117	195.073	20.302
19.381	15.329	12.930	16.580	32.621	25.425	57.117	195.340	20.573
19.381	15.329	12.930	16.934	32.621	25.717	57.421	195.550	20.573
19.381	15.329	12.930	16.934	32.907	25.717	57.421	195.550	20.573
19.381	15.329	12.930	17.173	32.907	25.930	57.654	195.878	20.784
19.381	15.329	12.930	17.173	32.907	25.930	57.654	195.878	20.784
19.381	15.329	12.930	17.173	32.907	25.930	57.936	196.113	20.784
19.381	15.329	12.930	17.173	32.907	25.930	57.936	196.113	20.784
19.381	15.329	12.930	17.173	32.907	25.930	58.219	196.113	21.006
19.584	15.329	12.930	17.173	32.907	25.930	58.219	196.113	21.006
19.584	15.329	12.930	17.173	32.907	25.930	58.512	196.113	21.006
19.584	15.329	12.930	17.173	32.907	25.930	58.512	196.113	21.006
19.584	15.329	12.930	17.173	32.907	26.199	58.719	196.113	21.259
19.584	15.538	12.930	17.472	32.907	26.199	58.719	196.113	21.259
19.584	15.538	12.930	17.472	33.184	26.417	58.719	196.409	21.259
19.584	15.538	13.134	17.693	33.184	26.417	58.986	196.409	21.532
19.584	15.538	13.134	17.693	33.184	26.417	58.986	196.668	21.532
19.584	15.538	13.134	17.693	33.184	26.712	58.986	196.668	21.532
19.584	15.538	13.134	17.693	33.184	26.712	58.986	197.018	21.750
19.584	15.538	13.134	17.897	33.184	26.712	58.986	197.018	21.750
19.584	15.538	13.134	17.897	33.184	26.712	58.986	197.378	21.750
19.584	15.538	13.134	17.897	33.184	26.712	58.986	197.378	21.750
19.584	15.538	13.134	17.897	33.184	26.712	58.986	197.692	21.750
19.584	15.538	13.134	17.897	33.184	26.712	58.986	197.692	21.980
19.584	15.538	13.134	17.897	33.184	26.712	59.280	198.021	21.980
19.584	15.538	13.134	17.897	33.184	26.913	59.280	198.021	21.980
19.584	15.538	13.134	17.897	33.184	26.913	59.280	198.332	21.980
19.584	15.538	13.134	17.897	33.184	26.913	59.552	198.332	21.980
19.584	15.538	13.134	18.101	33.184	26.913	59.552	198.611	21.980
19.584	15.538	13.134	18.101	33.184	26.913	59.552	198.611	21.980
19.584	15.538	13.134	18.101	33.184	26.913	59.829	198.910	21.980
19.584	15.538	13.134	18.101	33.184	26.913	59.829	198.910	21.980
19.584	15.538	13.134	18.402	33.184	27.156	59.829	199.280	21.980
19.584	15.538	13.134	18.402	33.423	27.156	60.101	199.488	21.980
19.584	15.538	13.134	18.402	33.423	27.156	60.101	199.488	21.980
19.584	15.538	13.335	18.707	33.423	27.156	60.101	199.830	21.980
19.584	15.538	13.335	18.707	33.423	27.381	60.328	199.830	21.980
19.584	15.538	13.335	18.707	33.423	27.381	60.328	200.181	21.980
19.584	15.538	13.335	18.707	33.423	27.381	60.328	200.181	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	200.553	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	200.757	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	200.757	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	201.148	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	201.380	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	201.628	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	201.869	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.328	202.121	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.535	202.407	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.535	202.649	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.535	202.861	21.980
19.584	15.742	13.335	18.928	33.423	27.381	60.746	203.107	22.198
19.584	15.742	13.335	19.129	33.423	27.587	60.746	203.363	22.198
19.584	15.742	13.335	19.129	33.423	27.587	60.746	203.622	22.198
19.584	15.742	13.335	19.129	33.423	27.587	60.972	203.842	22.198
19.584	15.742	13.335	19.129	33.423	27.587	60.972	203.842	22.198
19.584	15.742	13.335	19.129	33.423	27.587	60.972	204.257	22.198
19.584	15.742	13.335	19.129	33.423	27.587	60.972	204.462	22.198
19.584	15.742	13.548	19.129	33.423	27.587	61.189	204.664	22.402
19.584	15.742	13.548	19.129	33.423	27.587	61.189	204.873	22.402
19.584	15.742	13.548	19.129	33.423	27.587	61.189	204.873	22.402
19.584	15.742	13.548	19.129	33.423	27.587	61.189	205.229	22.402
19.584	15.742	13.548	19.129	33.423	27.794	61.411	205.229	22.402
19.584	15.742	13.548	19.129	33.423	27.794	61.411	205.545	22.402
19.584	15.742	13.548	19.129	33.423	27.794	61.411	205.545	22.402
19.584	15.742	13.548	19.129	33.423	27.794	61.411	205.867	22.402
19.584	15.742	13.548	19.129	33.423	27.794	61.411	205.867	22.602
19.584	15.742	13.548	19.129	33.423	27.794	61.643	206.193	22.602
19.584	15.742	13.548	19.129	33.423	27.794	61.643	206.193	22.602
19.584	15.742	13.548	19.129	33.423	27.794	61.643	206.454	22.602
19.584	15.742	13.756	19.129	33.423	27.794	61.643	206.454	22.825
19.584	15.742	13.756	19.129	33.423	27.794	61.643	206.729	22.825
19.584	15.742	13.756	19.129	33.423	27.794	61.643	206.729	22.825
19.584	15.742	13.756	19.129	33.423	27.794	61.643	206.967	22.825
19.799	15.742	13.756	19.129	33.423	27.794	61.643	206.967	23.028
19.799	15.742	13.756	19.129	33.423	27.794	61.643	207.170	23.028
19.799	15.742	14.014	19.129	33.423	27.794	61.643	207.170	23.028
19.799	15.742	14.014	19.129	33.423	27.794	61.643	207.394	23.028
19.799	15.742	14.243	19.129	33.423	27.794	61.643	207.394	23.028
20.049	16.043	14.449	19.129	33.677	28.080	61.643	207.661	23.028
20.049	16.043	14.670	19.436	33.677	28.080	61.869	207.661	23.028
20.353	16.427	14.898	19.436	33.677	28.352	61.869	207.928	23.028
20.353	16.427	15.206	19.690	33.883	28.352	61.869	207.928	23.028
20.646	16.866	15.604	19.690	33.883	28.724	61.869	208.257	23.028
20.916	17.153	16.043	20.136	34.208	29.001	61.869	208.257	23.028
21.278	17.626	16.341	20.383	34.208	29.318	62.088	208.587	23.028
21.733	18.175	16.683	20.671	34.584	29.640	62.088	208.587	23.028
22.234	18.811	17.094	20.946	34.584	29.970	62.088	208.915	23.028
22.750	19.486	17.447	21.223	34.911	30.214	62.088	208.915	23.028
23.460	20.319	17.810	21.665	35.208	30.704	62.088	209.183	23.028
24.270	21.269	18.047	22.170	35.474	31.115	62.088	209.183	23.028
25.019	22.114	18.309	22.723	35.474	31.674	62.088	209.487	23.028
25.852	23.107	18.533	23.187	35.474	32.182	62.088	209.487	23.250
26.528	23.992	18.755	23.651	35.474	32.726	62.292	209.487	23.250
27.205	24.807	18.755	24.019	35.777	33.271	62.292	209.720	23.250
27.848	25.657	19.070	24.424	35.777	33.722	62.292	209.720	23.250
28.410	26.415	19.070	24.782	36.175	34.147	62.292	209.720	23.250
28.909	27.191	19.304	25.117	36.533	34.437	62.292	209.720	23.250
29.489	28.046	19.304	25.522	37.093	34.666	62.549	209.720	23.250
30.293	29.163	19.703	25.866	37.777	34.870	62.549	209.720	23.250
30.832	30.076	19.703	26.365	38.583	35.151	62.549	209.720	23.465
31.392	31.044	20.129	26.815	39.383	35.463	62.838	209.720	23.465
31.975	32.017	20.412	27.098	40.311	35.748	62.838	209.720	23.465
32.569	33.086	20.771	27.439	41.451	35.748	63.113	209.720	23.691
33.297	34.154	21.105	27.745	42.686	36.078	63.113	209.720	23.691
33.931	35.244	21.449	27.745	44.119	36.078	63.348	209.720	23.691
34.647	36.296	21.798	28.104	45.613	36.078	63.348	209.720	23.930
35.438	37.344	22.119	28.104	47.167	36.078	63.612	209.720	23.930
36.218	38.363	22.375	28.104	48.801	36.371	63.612	209.720	23.930
37.058	39.411	22.375	28.349	50.235	36.600	63.899	209.921	23.930
37.872	40.311	22.375	28.349	51.723	36.892	63.899	209.921	24.143
38.658	41.171	22.375	28.563	53.154	37.215	64.292	209.921	24.143
39.422	41.926	22.375	28.804	54.517	37.775	64.292	209.921	24.143
40.143	42.536	22.688	29.060	55.922	38.344	64.620	210.177	24.401
40.777	43.085	23.131	29.373	57.153	39.122	64.620	210.177	24.401
41.394	43.468	23.682	29.736	58.378	39.980	64.937	210.177	24.643
41.950	43.705	24.404	30.140	59.508	41.022	64.937	210.177	24.643
42.445	43.705	25.345	30.562	60.728	42.227	65.269	210.470	24.643
42.902	43.705	26.571	31.114	61.793	43.101	65.269	210.470	24.904
43.276	43.966	28.007	31.395	62.381	43.612	65.581	210.720	24.904
43.558	44.195	29.759	31.395	62.636	43.612	65.581	210.720	25.118
43.778	44.413	30.944	31.395	62.890	43.612	65.849	210.982	25.118
44.427	45.226	31.145	31.395	63.101	43.880	65.849	210.982	25.357
44.867	45.710	31.145	31.395	63.101	43.880	66.104	211.288	25.357
45.254	45.710	31.145	31.395	63.471	44.090	66.104	211.288	25.582
45.622	46.028	31.411	31.628	63.911	44.090	66.310	211.288	25.582
45.874	46.028	31.411	31.628	64.381	44.090	66.310	211.528	25.582
46.124	46.028	31.633	31.628	64.828	44.090	66.310	211.528	25.866
46.412	46.391	31.633	31.628	65.242	44.090	66.535	211.528	25.866
46.658	46.655	31.633	31.628	65.613	44.090	66.535	211.756	25.866
46.898	46.907	31.633	31.628	65.853	44.090	66.535	211.756	26.087
46.898	46.907	31.633	31.628	65.853	44.308	66.535	211.756	26.087
47.196	47.221	31.633	31.628	65.853	44.308	66.756	211.756	26.087
47.196	47.221	31.845	31.628	65.853	44.308	66.756	211.756	26.351
47.196	47.221	31.845	31.628	66.067	44.308	66.756	211.756	26.351
