P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled
1468.342	824.071	339.954	450.311	352.437	908.044	300.616
1470.140	824.746	340.229	450.745	352.837	908.634	301.413
1471.966	825.458	340.502	451.111	353.054	909.195	302.067
1473.716	826.121	340.761	451.506	353.280	909.807	302.648
1475.333	826.579	341.051	451.881	353.498	910.302	303.056
1476.838	826.896	341.338	452.250	353.721	910.768	303.496
1478.185	827.184	341.555	452.549	353.927	911.261	303.791
1479.466	827.184	341.555	452.871	354.141	911.761	303.791
1480.558	827.468	341.892	453.122	354.141	912.244	304.038
1481.582	827.468	341.892	453.373	354.438	912.690	304.038
1482.622	827.770	341.892	453.373	354.438	913.034	304.038
1483.539	827.979	341.892	453.705	354.686	913.362	304.038
1484.500	828.190	341.892	453.705	354.686	913.638	304.038
1485.437	828.393	341.892	454.050	354.686	913.876	304.300
1486.469	828.598	341.892	454.270	354.906	914.187	304.300
1487.405	828.824	342.127	454.270	354.906	914.532	304.579
1488.543	829.036	342.127	454.635	354.906	914.847	304.579
1489.676	829.272	342.428	454.635	354.906	915.221	304.809
1490.600	829.541	342.428	454.856	354.906	915.661	304.809
1491.540	829.792	342.840	454.856	355.131	916.209	305.072
1492.353	830.080	342.840	455.157	355.131	917.038	305.072
1493.150	830.376	343.162	455.157	355.131	917.545	305.356
1493.867	830.627	343.162	455.469	355.350	918.001	305.356
1494.556	830.887	343.381	455.469	355.350	918.557	305.591
1495.260	831.124	343.381	455.717	355.350	919.006	305.591
1495.942	831.350	343.584	455.717	355.350	919.583	305.819
1496.556	831.568	343.584	455.966	355.350	920.123	305.819
1497.203	831.792	343.856	455.966	355.350	920.655	306.041
1497.898	832.143	343.856	456.167	355.350	921.233	306.041
1498.512	832.543	344.124	456.167	355.350	921.803	306.311
1499.132	832.885	344.124	456.400	355.594	922.304	306.311
1499.687	833.255	344.365	456.400	355.594	922.863	306.548
1500.328	833.760	344.365	456.669	355.594	923.341	306.548
1500.975	834.302	344.365	456.669	355.836	923.889	306.778
1501.665	834.836	344.688	456.930	355.836	924.433	306.778
1502.424	835.517	344.688	456.930	356.039	924.912	306.997
1503.259	836.179	344.913	457.218	356.039	925.392	306.997
1504.188	836.745	344.913	457.218	356.350	925.922	306.997
1505.188	837.345	345.115	457.450	356.350	926.454	307.264
1506.204	837.863	345.115	457.450	356.627	926.955	307.264
1507.384	838.549	345.115	457.450	356.627	927.470	307.568
1508.573	839.118	345.115	457.733	356.890	927.875	307.568
1509.766	839.593	345.347	457.733	356.890	928.410	307.865
1511.149	840.071	345.347	457.733	356.890	928.911	307.865
1512.465	840.522	345.551	458.052	357.131	929.371	308.072
1513.908	840.914	345.551	458.052	357.131	929.825	308.072
1515.423	841.381	345.804	458.344	357.131	930.212	308.302
1516.455	841.830	345.804	458.344	357.477	930.510	308.302
1517.303	842.205	346.040	458.669	357.477	930.856	308.577
1517.964	844.189	346.040	458.669	357.839	931.256	308.804
1518.534	844.418	346.040	458.968	357.839	931.618	309.030
1519.053	844.768	346.040	458.968	358.154	931.980	309.234
1519.840	845.148	346.040	459.249	358.154	932.387	309.234
1520.763	845.571	346.244	459.249	358.154	932.780	309.476
1521.844	845.925	346.244	459.696	358.154	933.222	309.476
1523.250	846.174	346.244	459.963	358.419	933.657	309.809
1524.721	846.587	346.467	460.226	358.419	934.149	310.036
1526.310	846.955	346.467	460.496	358.746	934.679	310.304
1527.840	847.325	346.701	460.496	358.954	935.157	310.571
1529.376	847.738	346.701	460.774	358.954	935.737	310.776
1530.807	849.759	346.910	460.774	359.194	936.279	310.776
1532.108	850.448	346.910	461.067	359.194	936.935	310.995
1533.340	851.189	346.910	461.297	359.194	937.583	310.995
1534.440	851.988	347.167	461.602	359.194	938.124	311.260
1535.499	852.792	347.167	461.885	359.194	938.745	311.260
1536.534	853.692	347.437	462.157	359.194	939.385	311.684
1537.441	854.663	347.437	462.432	359.194	939.997	312.003
1537.985	855.543	347.804	462.726	359.529	940.635	312.307
1538.388	856.278	347.804	462.977	359.529	941.237	312.630
1538.748	857.066	348.220	463.188	359.850	941.828	312.881
1539.031	857.788	348.220	463.188	359.850	942.481	313.162
1539.031	858.423	348.463	463.511	360.107	943.024	313.400
1539.311	859.007	348.463	463.511	360.107	943.657	313.628
1539.311	859.467	348.463	463.729	360.107	944.270	313.830
1539.726	859.961	348.463	463.729	360.365	944.886	314.064
1540.031	860.390	348.735	463.729	360.365	945.443	314.064
1540.397	860.783	348.735	463.946	360.365	945.983	314.442
1540.935	861.092	348.735	463.946	360.365	946.512	314.442
1541.464	861.412	348.963	464.218	360.365	947.060	314.728
1542.079	861.743	348.963	464.218	360.570	947.662	314.728
1542.784	862.075	348.963	464.527	360.570	948.167	314.728
1543.561	862.451	348.963	464.527	360.570	948.669	314.728
1544.485	862.880	349.225	464.927	360.570	949.201	314.728
1545.434	863.275	349.225	465.160	360.570	949.751	314.728
1546.366	863.710	349.225	465.382	360.570	950.324	314.728
1547.473	864.215	349.225	465.634	360.806	950.811	314.728
1548.629	864.741	349.463	465.920	360.806	951.309	314.728
1549.826	865.334	349.463	466.180	360.806	951.824	314.979
1551.180	866.158	349.463	466.381	360.806	952.331	315.188
1552.629	866.974	349.463	466.581	361.054	952.821	315.469
1553.920	867.682	349.755	466.581	361.054	953.397	315.815
1555.399	868.513	349.755	466.976	361.054	953.952	316.247
1556.899	869.257	350.021	467.187	361.054	954.504	316.743
1558.339	869.916	350.021	467.394	361.054	954.958	317.209
1559.868	870.688	350.373	467.394	361.054	955.432	317.663
1561.348	871.438	350.373	467.719	361.054	955.941	318.052
1562.960	872.079	350.693	467.719	361.054	956.493	318.344
1564.503	872.731	350.693	467.958	361.054	956.966	318.608
1566.276	873.403	350.693	467.958	361.054	957.518	318.837
1568.215	874.223	350.918	468.266	361.054	958.028	318.837
1570.307	875.088	350.918	468.266	361.054	958.562	319.123
1572.471	875.754	350.918	468.639	361.054	959.084	319.123
1574.624	876.347	350.918	468.991	361.054	959.594	319.123
1576.584	876.934	350.918	469.405	361.291	960.121	319.123
1578.549	877.518	351.148	469.771	361.291	960.644	319.123
1580.273	878.017	351.148	470.056	361.291	961.117	319.123
1582.076	878.404	351.362	470.361	361.564	961.612	319.123
1583.651	878.774	351.362	470.598	361.564	962.110	319.338
1585.395	879.070	351.620	470.819	361.831	962.587	319.338
1587.055	879.323	351.620	471.076	361.831	963.047	319.338
1588.575	879.323	351.859	471.332	362.126	963.484	319.338
1590.090	879.730	351.859	471.564	362.126	963.952	319.548
1591.365	880.012	351.859	471.819	362.374	964.435	319.548
1592.489	880.248	352.143	472.076	362.374	964.758	319.548
1593.660	880.594	352.143	472.312	362.631	965.137	319.791
1594.716	882.733	352.384	472.312	362.631	965.538	319.791
1595.801	883.117	352.384	472.685	362.868	965.862	319.791
1596.986	883.607	352.384	472.957	362.868	966.158	320.009
1598.088	884.201	352.594	473.357	363.144	966.158	320.009
1599.323	884.910	352.594	473.737	363.144	966.507	320.009
1600.656	885.632	352.594	474.170	363.560	966.507	320.009
1602.256	886.505	352.829	474.662	363.560	966.810	320.009
1604.110	887.403	352.829	475.295	363.958	967.020	320.009
1606.107	888.288	352.829	476.099	364.201	967.261	320.319
1608.294	889.223	353.121	476.844	364.487	967.547	320.319
1610.735	890.386	353.121	477.635	364.732	967.892	320.641
1613.340	891.578	353.477	478.473	364.968	968.298	320.641
1615.982	892.650	353.677	479.361	365.227	968.661	321.046
1618.797	893.639	353.909	480.234	365.563	969.126	321.255
1621.714	894.773	354.136	481.072	365.912	969.648	321.255
1624.444	895.884	354.371	481.920	366.299	970.118	321.539
1626.746	896.606	354.628	482.683	366.721	970.582	321.539
1629.143	896.836	354.890	483.186	367.129	971.037	321.873
1631.795	896.836	355.147	483.582	367.501	971.485	321.873
1634.492	897.298	355.409	483.908	367.880	971.946	322.237
1636.912	897.773	355.726	484.162	368.245	972.320	322.237
1639.048	898.263	356.106	484.162	368.545	972.716	322.653
1640.684	898.837	356.413	484.586	368.860	973.158	322.883
1642.019	899.385	356.713	484.847	369.162	973.565	323.150
1643.361	899.936	357.031	485.098	369.457	973.985	323.460
1644.350	900.450	357.324	485.341	369.758	974.338	323.702
1645.459	900.800	357.611	485.566	370.063	974.699	323.702
1646.653	901.138	357.905	485.801	370.371	975.034	324.002
1647.757	901.805	358.218	486.045	370.691	975.393	324.002
1648.823	902.029	358.551	486.278	370.958	975.781	324.382
1649.780	902.415	358.924	486.548	371.268	976.138	324.617
1650.617	902.904	359.301	486.812	371.591	976.442	324.832
1651.280	903.513	359.672	487.131	371.908	976.719	325.075
1651.865	904.119	360.004	487.443	372.215	976.970	325.327
1652.516	904.624	360.315	487.689	372.490	977.239	325.574
1653.402	905.138	360.639	487.915	372.778	977.511	325.802
1654.356	905.784	360.921	487.915	373.071	977.733	325.802
1655.396	906.462	361.208	488.297	373.361	978.047	326.228
1656.335	906.979	361.492	488.297	373.691	978.310	326.228
1657.094	907.501	361.805	488.641	373.974	978.578	326.614
1657.609	908.461	362.129	488.641	374.279	978.857	326.861
1657.947	909.043	362.466	488.956	374.551	979.084	327.086
1658.226	909.702	362.794	488.956	374.803	979.338	327.086
1658.510	910.412	363.129	489.301	375.033	979.553	327.512
1658.774	911.181	363.417	489.301	375.285	979.800	327.723
1659.042	911.841	363.726	489.583	375.527	980.021	327.723
1659.300	912.482	364.005	489.583	375.790	980.244	328.057
1659.615	913.116	364.268	489.836	376.019	980.244	328.057
1659.982	913.651	364.541	489.836	376.220	980.601	328.368
1660.377	914.095	364.795	490.118	376.426	980.601	328.368
1660.728	914.513	365.067	490.118	376.426	980.959	328.608
1661.131	914.952	365.293	490.328	376.804	980.959	328.608
1661.554	915.410	365.520	490.328	376.804	981.387	328.819
1661.985	915.874	365.747	490.528	377.170	981.618	328.819
1662.463	916.306	365.747	490.528	377.170	981.858	328.819
1662.978	917.969	366.104	490.528	377.500	982.077	329.086
1663.439	918.329	366.104	490.815	377.500	982.289	329.086
1663.902	918.634	366.415	490.815	377.790	982.534	329.313
1664.324	918.890	366.415	491.136	377.790	982.764	329.313
1664.646	919.139	366.697	491.136	378.143	983.006	329.530
1664.915	919.349	366.697	491.398	378.358	983.253	329.530
1664.915	919.349	366.974	491.398	378.598	983.253	329.530
1665.178	919.658	366.974	491.693	378.869	983.611	329.735
1665.178	919.658	367.202	491.693	379.126	983.611	329.735
1665.178	919.949	367.202	491.693	379.408	983.884	329.735
1665.437	919.949	367.448	491.955	379.703	983.884	329.735
1665.437	920.216	367.448	492.159	380.026	984.184	329.735
1665.811	920.216	367.695	492.390	380.346	984.184	329.989
1666.178	920.469	367.695	492.650	380.689	984.441	329.989
1666.648	920.469	367.695	492.938	381.066	984.441	330.196
1667.169	920.688	367.959	493.228	381.466	984.666	330.196
1667.757	920.688	367.959	493.598	381.809	984.666	330.566
1668.493	921.002	367.959	493.990	382.167	984.666	330.794
1669.436	921.329	368.177	494.391	382.535	984.873	331.089
1670.285	921.663	368.177	494.934	382.860	984.873	331.373
1671.221	922.004	368.177	495.474	383.196	985.113	331.690
1672.298	922.724	368.449	495.958	383.485	985.113	331.958
1673.432	923.089	368.449	496.498	383.774	985.453	332.294
1674.687	923.443	368.748	497.060	384.085	985.685	332.638
1676.216	923.906	368.748	497.575	384.359	985.940	333.032
1678.131	924.383	369.047	498.048	384.601	986.204	333.376
1680.241	924.882	369.047	498.484	384.601	986.424	333.774
1682.685	925.349	369.400	498.996	384.950	986.720	334.173
1685.457	925.852	369.400	499.605	384.950	987.022	334.508
1688.507	926.267	369.792	500.191	385.246	987.340	334.802
1691.772	926.625	369.792	500.761	385.246	987.696	335.007
1695.193	926.937	370.120	501.351	385.494	988.076	335.232
1698.545	927.207	370.120	501.834	385.494	988.455	335.232
1701.821	927.472	370.387	502.271	385.494	988.905	335.590
1705.125	927.696	370.387	502.764	385.494	989.366	335.590
1708.568	927.907	370.661	503.276	385.722	989.857	335.975
1711.884	928.184	370.661	503.799	385.722	990.380	335.975
1715.117	928.435	370.926	504.307	385.722	990.883	336.213
1718.225	928.435	370.926	504.764	386.043	991.492	336.213
1721.131	928.836	371.167	505.244	386.043	992.078	336.213
1724.060	929.044	371.167	505.644	386.340	992.620	336.420
1726.784	929.044	371.408	506.001	386.340	993.188	336.420
1729.587	929.446	371.408	506.340	386.720	993.731	336.420
1732.307	929.679	371.656	506.763	386.933	994.247	336.646
1734.849	929.980	371.656	507.062	387.167	994.782	336.646
1737.573	930.296	371.902	507.376	387.375	995.317	336.646
1739.889	930.650	372.252	507.737	387.375	995.896	336.646
1741.962	931.003	372.252	508.043	387.700	996.441	336.646
1743.926	931.329	372.252	508.383	387.700	996.946	336.646
1745.863	931.668	372.505	508.731	387.940	997.403	336.942
1747.641	932.009	372.505	508.731	387.940	997.786	336.942
1749.257	932.343	372.505	509.103	388.204	998.114	337.180
1750.658	932.670	372.711	509.103	388.204	998.382	337.180
1751.925	933.015	372.711	509.358	388.573	998.697	337.389
1753.110	933.430	372.711	509.358	388.785	998.977	337.389
1754.295	933.894	372.956	509.558	389.019	999.293	337.661
1755.543	934.289	372.956	509.803	389.019	999.559	337.661
1757.052	934.677	372.956	510.143	389.396	999.852	337.966
1758.661	935.149	373.215	510.582	389.396	1000.099	337.966
1760.564	935.517	373.215	511.055	389.763	1000.384	337.966
1762.179	935.819	373.215	511.615	389.763	1000.715	337.966
1763.705	936.142	373.465	511.959	390.094	1001.018	338.168
1765.062	936.499	373.465	512.227	390.094	1001.330	338.168
1766.321	936.934	373.667	512.459	390.310	1001.669	338.602
1767.661	937.537	374.021	512.663	390.310	1002.013	338.926
1769.134	938.340	374.021	512.663	390.625	1002.302	339.246
1770.748	939.364	374.349	512.964	390.625	1002.563	339.568
1772.623	940.511	374.349	512.964	390.840	1002.797	339.902
1774.679	941.995	374.776	513.209	390.840	1003.016	340.268
1777.072	943.674	375.014	513.209	390.840	1003.016	340.638
1779.723	945.344	375.248	513.528	391.141	1003.479	340.956
1782.571	947.499	375.491	513.528	391.141	1003.765	341.260
1785.418	949.311	375.740	513.528	391.141	1004.067	341.520
1787.715	950.582	375.975	513.767	391.141	1004.368	341.520
1789.563	952.207	376.185	513.767	391.141	1004.662	341.827
1790.861	954.479	376.387	514.102	391.141	1004.928	341.827
1792.302	955.594	376.387	514.102	391.141	1005.194	341.827
1793.188	956.244	376.673	514.318	391.141	1005.404	342.053
1793.738	956.565	376.673	514.318	391.141	1005.723	342.053
1794.206	956.771	376.880	514.318	391.406	1005.984	342.053
1794.579	957.007	376.880	514.318	391.406	1006.298	342.272
1794.949	957.007	376.880	514.560	391.406	1006.702	342.272
1795.199	957.007	377.132	514.560	391.678	1007.073	342.272
1795.199	957.007	377.132	514.560	391.678	1007.469	342.474
1795.199	957.290	377.132	514.847	391.915	1007.815	342.474
1795.485	957.290	377.338	514.847	391.915	1008.138	342.474
1795.710	957.601	377.338	515.049	391.915	1008.393	342.474
1795.982	957.601	377.338	515.049	392.221	1008.680	342.474
1796.246	957.823	377.338	515.049	392.221	1009.024	342.474
1796.453	957.823	377.546	515.300	392.435	1009.360	342.474
1796.691	957.823	377.546	515.300	392.435	1009.721	342.474
1796.691	957.823	377.546	515.300	392.435	1010.086	342.474
1797.040	957.823	377.772	515.501	392.708	1010.432	342.474
1797.249	957.823	377.772	515.501	392.708	1010.736	342.474
1797.454	958.047	377.772	515.733	392.708	1011.030	342.474
1797.454	958.047	377.772	515.733	392.708	1011.340	342.712
1797.817	958.047	378.005	515.966	392.926	1011.684	342.712
1797.817	958.338	378.005	515.966	392.926	1012.044	342.712
1798.110	958.338	378.005	516.266	392.926	1012.375	342.712
1798.110	958.338	378.005	516.266	393.205	1012.721	342.712
1798.327	958.338	378.005	516.266	393.205	1013.022	342.712
1798.327	958.590	378.005	516.495	393.434	1013.416	342.712
1798.533	958.590	378.005	516.495	393.434	1013.721	342.712
1798.533	958.590	378.005	516.495	393.640	1014.366	342.712
1799.068	958.590	378.005	516.495	393.640	1014.627	342.712
1799.068	958.800	378.005	516.495	393.640	1014.892	342.712
1799.400	958.800	378.005	516.495	393.640	1015.122	342.712
1799.603	959.014	378.207	516.495	393.640	1015.334	342.712
1799.603	959.014	378.207	516.729	393.640	1015.334	342.712
1799.992	959.378	378.207	516.729	393.640	1015.631	342.914
1800.196	959.648	378.207	516.729	393.640	1015.631	342.914
1800.196	959.938	378.207	516.960	393.863	1015.894	342.914
1800.442	960.189	378.207	516.960	393.863	1015.894	342.914
1800.442	960.438	378.207	516.960	393.863	1015.894	342.914
1800.695	960.799	378.207	517.177	393.863	1016.177	342.914
1800.695	961.119	378.449	517.177	393.863	1016.177	342.914
1801.109	961.119	378.449	517.177	393.863	1016.177	343.137
1801.387	961.328	378.449	517.177	393.863	1016.499	343.137
1801.657	961.328	378.702	517.454	393.863	1016.499	343.137
1802.000	961.328	378.702	517.454	393.863	1016.759	343.368
1802.378	961.697	378.702	517.692	394.125	1016.759	343.368
1802.913	961.947	378.903	517.900	394.125	1017.051	343.690
1803.465	962.228	378.903	517.900	394.125	1017.051	343.906
1804.126	962.503	378.903	518.243	394.125	1017.369	344.141
1804.836	962.798	378.903	518.466	394.125	1017.369	344.416
1805.607	963.062	378.903	518.708	394.333	1017.796	344.758
1806.398	963.313	378.903	518.969	394.333	1018.028	345.161
1807.092	963.613	379.149	519.221	394.670	1018.230	345.638
1807.841	963.985	379.149	519.584	394.670	1018.436	346.118
1808.704	964.438	379.454	519.891	395.022	1018.436	346.653
1809.630	965.079	379.454	520.268	395.233	1018.840	347.309
1810.592	965.827	379.748	520.673	395.233	1019.142	347.995
1811.674	966.657	379.748	521.120	395.635	1019.459	348.813
1812.711	967.713	380.098	521.575	395.864	1019.856	349.461
1813.750	968.845	380.098	522.006	396.091	1020.256	350.085
1814.844	969.957	380.561	522.387	396.091	1020.587	350.645
1815.995	971.227	380.830	522.847	396.493	1021.012	351.201
1817.141	972.607	381.078	523.225	396.714	1021.462	351.650
1818.302	974.085	381.346	523.639	396.714	1021.852	352.050
1819.444	975.563	381.635	523.950	397.088	1022.253	352.477
1820.541	976.886	381.892	524.188	397.088	1022.647	352.786
1821.589	978.065	382.120	524.439	397.514	1022.958	353.041
1822.527	979.125	382.351	524.668	397.761	1023.247	353.324
1823.351	980.074	382.588	524.668	398.031	1023.536	353.567
1824.094	980.873	382.827	524.952	398.327	1023.799	353.931
1824.718	981.417	383.043	524.952	398.621	1024.055	354.300
1825.129	981.758	383.319	525.241	398.942	1024.262	354.700
1825.432	981.980	383.575	525.469	399.313	1024.536	355.106
1825.432	982.183	383.857	525.805	399.703	1024.857	355.539
1825.869	982.415	384.154	526.134	400.135	1025.201	356.004
1826.231	982.682	384.518	526.472	400.596	1025.546	356.514
1826.647	982.965	384.976	526.904	401.097	1025.874	357.082
1827.105	983.243	385.425	527.300	401.566	1026.205	357.546
1827.594	983.452	385.988	527.792	402.123	1026.505	358.058
1828.087	983.452	386.594	528.280	402.738	1026.837	358.506
1828.540	983.706	387.202	528.793	403.406	1027.216	358.949
1829.042	983.706	387.883	529.354	404.144	1027.621	359.360
1829.524	983.926	388.597	530.019	404.921	1027.992	359.809
1829.997	983.926	389.385	530.779	405.771	1028.310	360.310
1830.410	984.193	390.175	531.620	406.729	1028.561	360.859
1830.800	984.193	391.077	532.499	407.756	1028.795	361.451
1831.210	984.523	392.045	533.368	408.892	1029.035	361.956
1831.584	984.523	393.015	534.335	410.233	1029.237	362.487
1832.001	984.944	394.061	535.257	411.446	1029.491	362.999
1832.416	985.214	395.071	536.082	412.736	1029.787	363.563
1832.832	985.502	396.036	536.983	413.974	1030.162	364.113
1833.213	985.751	397.012	537.754	415.107	1030.603	364.663
1833.612	985.974	397.868	538.412	416.251	1031.072	365.177
1834.077	986.222	398.728	539.048	417.236	1031.580	365.550
1834.573	986.496	399.556	539.742	418.199	1032.079	365.902
1835.066	986.745	400.236	540.440	419.169	1032.828	366.245
1835.491	987.018	401.043	541.067	420.021	1033.601	366.577
1835.938	987.318	401.855	541.699	420.900	1034.362	366.885
1836.512	987.678	402.569	542.304	421.766	1035.227	367.199
1837.241	988.067	403.260	543.029	422.671	1036.202	367.523
1837.944	988.432	403.943	543.840	423.539	1037.352	367.877
1838.616	988.799	404.575	544.569	424.491	1038.430	368.146
1839.501	989.181	405.131	545.320	425.337	1039.710	368.398
1840.362	989.546	405.633	546.071	426.157	1040.880	368.665
1841.183	989.871	406.095	546.763	426.963	1042.349	368.901
1842.054	990.207	406.520	547.464	427.708	1043.781	368.901
1842.988	990.517	406.917	548.224	428.501	1045.226	369.272
1843.981	990.793	407.259	548.973	429.318	1046.632	369.272
1845.011	991.048	407.646	549.661	430.126	1048.033	369.592
1846.118	991.282	408.132	550.419	430.938	1049.602	369.592
1847.159	991.282	408.634	551.171	431.782	1051.122	369.843
1848.378	991.749	409.137	551.953	432.627	1052.713	369.843
1849.537	991.992	409.739	552.762	433.538	1054.172	370.053
1850.738	992.208	410.363	553.628	434.371	1055.651	370.053
1852.015	992.452	410.886	554.375	435.193	1057.430	370.258
1853.412	992.755	411.459	555.164	436.050	1058.966	370.258
1854.802	993.012	412.039	555.906	436.791	1060.558	370.516
1856.175	993.234	412.538	556.726	437.623	1062.054	370.516
1857.594	993.479	412.998	557.456	438.279	1063.482	370.793
1858.917	993.479	413.424	558.138	438.915	1065.249	370.793
1860.180	993.863	413.870	558.765	439.569	1066.714	371.027
1861.265	993.863	414.322	559.415	440.149	1068.034	371.027
1862.290	994.210	414.779	560.096	440.722	1069.389	371.266
1863.094	994.210	415.222	560.776	441.280	1070.570	371.266
1863.743	994.510	415.651	561.440	441.883	1071.882	371.266
1864.347	994.510	416.125	561.918	442.456	1073.083	371.266
1864.915	994.727	416.612	562.402	442.996	1074.263	371.266
1865.508	994.727	416.987	562.843	443.555	1075.430	371.507
1866.208	994.727	417.346	563.261	444.196	1076.552	371.507
1867.087	994.956	417.758	563.660	444.790	1077.576	371.507
1868.032	994.956	418.222	563.963	445.326	1078.610	371.809
1868.828	994.956	418.689	564.233	445.894	1079.486	371.809
1869.527	995.179	419.100	564.538	446.444	1080.347	372.146
1870.172	995.179	419.500	564.816	447.011	1081.164	372.354
1870.681	995.397	419.976	565.101	447.550	1081.874	372.563
1871.100	995.397	420.524	565.383	448.077	1082.430	372.563
1871.566	995.832	421.131	565.708	448.610	1083.028	372.999
1872.014	996.092	421.704	565.989	449.201	1083.677	373.308
1872.518	996.398	422.291	566.255	449.750	1084.176	373.632
1872.997	996.750	422.922	566.508	450.263	1084.631	374.419
1873.346	997.115	423.611	566.889	450.841	1085.075	374.817
1873.615	997.448	424.244	567.114	451.381	1085.531	375.224
1873.615	997.799	424.883	567.114	451.928	1086.027	375.702
1873.896	998.147	425.571	567.430	452.470	1086.482	376.162
1874.178	998.466	426.233	567.430	452.958	1086.925	376.664
1874.530	998.821	426.843	567.752	453.400	1087.511	377.128
1874.985	999.207	427.480	567.967	453.797	1088.076	377.575
1875.616	999.644	428.014	568.268	454.150	1088.619	378.075
1876.375	1000.046	428.617	568.536	454.539	1089.243	378.570
1877.152	1000.480	429.273	568.796	454.953	1089.899	379.050
1877.855	1000.911	429.876	569.140	455.365	1090.581	379.534
1878.597	1001.373	430.454	569.367	455.757	1091.225	379.988
1879.253	1001.884	431.041	569.601	456.146	1091.877	380.411
1879.830	1002.431	431.516	569.601	456.516	1092.621	381.074
1880.391	1002.948	432.035	570.006	456.904	1093.239	381.551
1880.964	1003.428	432.578	570.236	457.275	1093.909	382.002
1881.458	1003.958	433.114	570.236	457.641	1094.921	382.410
1881.947	1004.477	433.611	570.511	457.961	1095.600	382.793
1882.410	1004.910	434.025	570.511	458.265	1096.122	383.170
1882.824	1005.310	434.399	570.511	458.524	1096.707	383.522
1883.288	1005.638	434.708	570.511	458.524	1097.323	383.852
1883.720	1005.946	435.012	570.723	458.870	1097.872	384.159
1884.202	1006.195	435.329	570.723	458.870	1098.375	384.437
1884.737	1006.433	435.565	570.723	459.202	1098.803	384.639
1885.218	1006.704	435.792	570.723	459.202	1099.299	384.639
1885.665	1006.918	436.008	570.945	459.536	1099.769	384.955
1886.121	1006.918	436.229	570.945	459.536	1100.131	384.955
1886.501	1007.219	436.229	570.945	459.889	1100.480	385.173
1886.848	1007.219	436.599	571.164	459.889	1100.850	385.173
1887.191	1007.219	436.599	571.164	460.264	1101.223	385.173
1887.502	1007.219	436.951	571.399	460.264	1101.617	385.173
1887.796	1007.438	436.951	571.399	460.612	1101.995	385.385
1888.077	1007.645	437.207	571.758	460.612	1102.410	385.385
1888.353	1007.870	437.207	571.964	460.945	1102.774	385.622
1888.613	1008.097	437.461	572.180	460.945	1103.178	385.622
1888.824	1008.304	437.461	572.414	461.284	1103.628	385.877
1889.059	1008.304	437.708	572.709	461.284	1103.995	385.877
1889.314	1008.597	437.708	573.017	461.570	1104.431	386.130
1889.605	1008.597	437.988	573.376	461.570	1104.885	386.130
1889.900	1008.834	437.988	573.734	461.884	1105.348	386.461
1890.311	1008.834	438.296	574.115	461.884	1105.855	386.461
1890.876	1009.042	438.296	574.510	462.312	1106.298	386.853
1891.501	1009.042	438.622	575.037	462.590	1106.690	387.108
1892.331	1009.256	438.622	575.585	462.813	1107.159	387.339
1893.236	1009.256	438.967	576.032	463.055	1107.664	387.574
1894.277	1009.592	439.173	576.426	463.299	1108.103	387.851
1895.267	1009.822	439.173	576.809	463.299	1108.552	388.181
1896.430	1009.822	439.569	577.180	463.685	1108.955	388.453
1897.535	1010.202	439.815	577.577	463.685	1109.350	388.701
1898.761	1010.202	440.075	578.048	464.072	1109.761	388.961
1900.147	1010.503	440.342	578.676	464.072	1110.112	389.253
1901.905	1010.503	440.655	579.479	464.445	1110.391	389.491
1903.473	1010.717	440.973	580.408	464.675	1110.669	389.747
1905.017	1010.717	441.329	581.401	464.989	1111.096	390.051
1906.530	1010.962	441.673	582.564	465.352	1111.405	390.396
1907.915	1010.962	442.060	583.792	465.839	1111.736	390.746
1909.080	1011.262	442.485	584.973	466.496	1112.058	391.104
1910.194	1011.262	442.984	586.215	467.172	1112.372	391.448
1911.251	1011.635	443.429	587.370	467.868	1112.709	391.798
1912.152	1011.864	443.892	588.510	468.680	1113.044	392.165
1913.108	1012.111	444.447	589.514	469.592	1113.372	392.502
1914.059	1012.380	445.083	590.477	470.470	1113.639	392.867
1915.064	1012.699	445.757	591.299	471.440	1113.883	393.294
1916.022	1013.027	446.380	592.045	472.462	1114.103	393.697
1916.978	1013.341	447.074	592.758	473.423	1114.103	394.198
1917.996	1013.668	447.834	593.401	474.330	1114.450	394.726
1918.911	1014.058	448.444	593.999	475.260	1114.450	395.266
1919.758	1014.442	449.110	594.565	476.023	1114.844	395.828
1920.505	1014.837	449.821	595.081	476.735	1115.045	396.361
1921.156	1015.219	450.587	595.642	477.407	1115.262	396.963
1921.743	1015.545	451.285	596.166	478.016	1115.466	397.626
1922.290	1015.816	451.984	596.629	478.641	1115.466	398.188
1922.695	1016.117	452.721	597.185	479.224	1115.821	398.745
1923.030	1016.440	453.554	597.782	479.902	1115.821	399.321
1923.314	1016.735	454.321	598.407	480.560	1116.170	399.897
1923.528	1017.092	455.170	598.964	481.237	1116.170	400.520
1923.528	1017.461	456.076	599.577	481.945	1116.466	401.034
1923.979	1017.954	456.857	600.182	482.654	1116.466	401.513
1924.196	1018.440	457.713	600.719	483.384	1116.879	402.001
1924.411	1018.939	458.624	601.306	484.100	1117.112	402.387
1924.668	1019.502	459.394	601.921	484.829	1117.351	402.771
1924.961	1020.018	460.239	602.457	485.627	1117.614	403.135
