P3_hand_rP3whole_dist_traveled	P3_hand_lP3whole_dist_traveled	P3_shoulder_lP3whole_dist_traveled	P3_elbow_rP3whole_dist_traveled	P3_shoulder_rP3whole_dist_traveled	P3_headP3whole_dist_traveled	P3_elbow_lP3whole_dist_traveled
34.251	48.009	63.192	52.950	56.352	158.053	31.413
34.251	48.009	63.192	52.950	56.352	158.456	31.413
34.251	48.009	63.436	52.950	56.352	158.943	31.413
34.474	48.009	63.436	53.179	56.564	159.493	31.413
34.474	48.009	63.723	53.179	56.564	160.011	31.413
34.474	48.009	63.723	53.179	56.564	161.000	31.413
34.474	48.009	63.926	53.460	56.831	161.886	31.619
34.474	48.009	63.926	53.460	56.831	163.259	31.619
34.716	48.009	63.926	53.694	57.059	164.457	31.619
34.716	48.009	64.127	53.694	57.059	166.092	31.619
34.716	48.009	64.127	53.928	57.280	167.887	31.619
34.716	48.009	64.127	53.928	57.280	169.641	31.619
34.716	48.009	64.395	54.221	57.514	171.636	31.619
34.979	48.009	64.395	54.221	57.514	173.884	31.834
34.979	48.009	64.644	54.567	57.769	176.159	31.834
35.185	48.259	64.644	54.567	57.769	178.492	31.834
35.185	48.259	64.906	54.891	57.983	180.955	31.834
35.416	48.259	64.906	54.891	57.983	184.112	32.087
35.416	48.259	65.238	55.127	57.983	186.776	32.087
35.664	48.533	65.238	55.127	58.259	189.311	32.087
35.664	48.533	65.528	55.331	58.259	191.813	32.374
35.664	48.533	65.528	55.331	58.466	194.328	32.374
35.925	48.533	65.805	55.546	58.466	196.656	32.575
35.925	48.748	65.805	55.546	58.724	198.853	32.575
35.925	48.748	66.060	55.774	58.724	200.941	32.793
36.152	48.748	66.060	55.774	58.979	202.895	32.793
36.152	48.748	66.310	55.988	58.979	204.667	32.793
36.152	48.748	66.310	55.988	59.295	206.296	33.071
36.375	49.003	66.546	56.208	59.295	207.869	33.071
36.375	49.003	66.546	56.208	59.550	209.293	33.071
36.375	49.003	66.755	56.208	59.550	210.642	33.071
36.375	49.003	66.755	56.208	59.550	211.785	33.071
36.375	49.003	66.755	56.434	59.801	212.938	33.071
36.375	49.003	67.038	56.434	59.801	214.129	33.071
36.375	49.003	67.038	56.434	59.801	215.081	33.071
36.375	49.233	67.312	56.434	59.801	215.936	33.071
36.375	49.233	67.312	56.434	59.801	216.788	33.302
36.375	49.233	67.606	56.434	59.801	217.554	33.302
36.375	49.488	67.606	56.434	59.801	218.342	33.556
36.602	49.488	67.856	56.434	60.024	218.952	33.556
36.602	49.696	67.856	56.673	60.024	219.572	33.791
36.602	49.696	67.856	56.673	60.024	220.159	33.791
36.602	50.050	68.125	56.673	60.024	220.702	33.791
36.602	50.270	68.125	56.673	60.024	221.192	34.010
36.833	50.486	68.125	56.882	60.024	221.579	34.010
36.833	50.739	68.125	56.882	60.024	221.875	34.010
36.833	50.981	68.125	56.882	60.233	222.129	34.010
36.833	51.196	68.360	56.882	60.233	222.340	34.243
36.833	51.196	68.360	57.099	60.233	222.553	34.243
36.833	51.433	68.360	57.099	60.233	222.757	34.243
36.833	51.433	68.581	57.099	60.458	222.757	34.472
36.833	51.433	68.581	57.099	60.458	223.091	34.472
36.833	51.433	68.581	57.099	60.458	223.091	34.472
36.833	51.433	68.811	57.099	60.458	223.396	34.472
36.833	51.433	68.811	57.099	60.458	223.396	34.711
37.046	51.748	68.811	57.307	60.683	223.698	34.711
37.046	51.748	68.811	57.307	60.683	223.698	34.711
37.046	52.064	69.050	57.307	60.683	223.978	34.711
37.046	52.064	69.050	57.307	60.683	223.978	34.923
37.292	52.403	69.050	57.307	60.943	224.355	34.923
37.292	52.403	69.050	57.548	60.943	224.355	34.923
37.292	52.658	69.307	57.548	61.152	224.685	34.923
37.292	52.658	69.307	57.548	61.152	224.893	35.155
37.292	52.658	69.307	57.788	61.373	224.893	35.155
37.292	52.658	69.622	57.788	61.373	225.269	35.155
37.292	52.658	69.622	57.788	61.644	225.269	35.402
37.292	52.658	69.864	58.105	61.644	225.619	35.402
37.292	52.658	69.864	58.105	61.956	225.821	35.402
37.498	52.658	70.107	58.105	61.956	226.023	35.632
37.498	52.863	70.107	58.321	62.227	226.223	35.632
37.498	52.863	70.319	58.321	62.227	226.223	35.632
37.498	52.863	70.319	58.321	62.441	226.540	35.852
37.498	52.863	70.521	58.321	62.441	226.540	35.852
37.498	53.113	70.521	58.321	62.441	226.884	35.852
37.498	53.113	70.521	58.321	62.700	226.884	35.852
37.498	53.113	70.761	58.321	62.700	227.266	35.852
37.498	53.455	70.761	58.321	62.700	227.488	35.852
37.498	53.455	70.761	58.321	62.700	227.718	35.852
37.713	53.729	70.977	58.321	62.959	227.718	36.077
37.713	53.729	70.977	58.321	62.959	228.110	36.077
37.713	53.942	70.977	58.321	62.959	228.110	36.077
37.713	53.942	70.977	58.522	62.959	228.476	36.077
37.713	53.942	71.179	58.522	62.959	228.476	36.077
37.713	53.942	71.179	58.522	63.195	228.855	36.281
37.713	53.942	71.179	58.522	63.195	229.059	36.281
37.713	53.942	71.179	58.522	63.195	229.059	36.281
37.713	53.942	71.179	58.522	63.195	229.451	36.281
37.713	53.942	71.179	58.522	63.437	229.696	36.281
37.713	53.942	71.179	58.522	63.437	229.953	36.281
37.713	53.942	71.179	58.522	63.437	230.204	36.281
37.713	53.942	71.411	58.522	63.437	230.469	36.524
37.713	53.942	71.411	58.522	63.669	230.771	36.524
37.713	53.942	71.411	58.522	63.669	231.032	36.524
37.713	53.942	71.411	58.522	63.669	231.261	36.524
37.713	54.147	71.411	58.522	63.669	231.517	36.801
37.713	54.147	71.617	58.731	63.669	231.791	36.801
37.914	54.147	71.617	58.731	63.881	232.078	36.801
37.914	54.147	71.617	58.731	63.881	232.310	36.801
37.914	54.147	71.617	58.731	63.881	232.512	36.801
37.914	54.147	71.617	58.731	63.881	232.739	36.801
37.914	54.147	71.617	58.731	63.881	232.955	36.801
37.914	54.147	71.617	58.731	63.881	233.163	36.801
37.914	54.359	71.617	58.731	63.881	233.387	36.801
37.914	54.359	71.617	58.731	63.881	233.387	36.801
37.914	54.359	71.617	58.731	63.881	233.764	36.801
37.914	54.359	71.841	58.960	63.881	233.764	36.801
37.914	54.359	71.841	58.960	63.881	234.096	36.801
37.914	54.359	71.841	58.960	63.881	234.096	37.001
38.116	54.359	71.841	58.960	63.881	234.445	37.001
38.116	54.359	71.841	58.960	64.125	234.445	37.001
38.116	54.359	72.042	58.960	64.125	234.789	37.001
38.116	54.359	72.042	59.167	64.125	234.789	37.001
38.116	54.359	72.042	59.167	64.125	235.075	37.001
