P3_hands_dir_Distance_X	P3_hands_dir_Distance_Y	P3_hands_dir_Distance_Z


-55.486	161.024	-31.666
-55.550	161.063	-31.610
-55.601	161.112	-31.551
-55.651	161.176	-31.491
-55.750	161.251	-31.421
-56.350	160.493	-30.343
-55.865	162.013	-31.614
-55.864	161.643	-31.361
-55.963	161.781	-31.254
-56.075	161.869	-31.104
-56.220	162.036	-30.927
-56.372	162.208	-30.798
-56.545	162.418	-30.585
-56.749	162.735	-30.277
-57.019	163.013	-29.927
-57.229	163.287	-29.565
-57.525	163.511	-29.215
-57.843	163.826	-28.738
-58.114	164.220	-28.339
-58.337	164.513	-28.059
-58.475	164.738	-27.799
-58.497	164.940	-27.589
-58.504	165.201	-27.382
-58.521	165.369	-27.199
-58.558	165.593	-26.992
-58.674	165.721	-26.781
-58.916	165.987	-26.308
-59.136	166.161	-25.909
-59.369	166.340	-25.505
-59.664	166.443	-25.133
-60.017	166.639	-24.617
-60.370	166.861	-24.150
-60.776	166.962	-23.678
-61.401	167.117	-23.169
-62.037	167.201	-22.627
-62.650	167.235	-22.085
-63.224	167.235	-21.417
-63.942	167.209	-20.676
-64.832	167.156	-19.951
-65.732	167.032	-19.116
-66.582	166.801	-18.392
-67.389	166.466	-17.656
-68.238	166.174	-16.723
-69.092	165.766	-15.944
-69.922	165.086	-15.161
-70.544	164.476	-14.620
-71.058	163.834	-13.800
-71.462	162.970	-13.301
-71.880	163.116	-12.608
-72.406	162.338	-12.050
-72.885	161.575	-11.542
-73.343	160.869	-11.153
-73.833	160.247	-10.866
-74.517	160.535	-9.614
-75.014	159.892	-8.994
-75.521	159.021	-8.587
-76.034	158.291	-8.267
-76.523	157.437	-7.777
-77.043	156.588	-7.419
-77.470	155.806	-7.074
-77.912	154.976	-6.734
-78.272	154.067	-6.414
-78.543	153.293	-6.088
-78.711	152.593	-5.650
-78.881	151.945	-5.328
-79.087	151.486	-4.972
-79.372	151.188	-4.530
-79.595	150.977	-4.089
-79.708	150.881	-3.881
-79.730	150.890	-3.745
-79.670	151.004	-3.699
-79.520	151.118	-3.705
-79.333	151.270	-3.736
-79.133	151.420	-3.802
-78.971	151.595	-3.931
-78.806	151.735	-4.017
-78.645	151.822	-4.113
-78.546	151.958	-4.203
-78.508	152.092	-4.314
-78.470	152.204	-4.430
-78.506	152.320	-4.544
-78.607	152.391	-4.650
-78.722	152.402	-4.698
-78.835	152.383	-4.703
-78.959	152.278	-4.662
-79.093	152.111	-4.432
-79.137	151.862	-4.311
-79.143	151.613	-4.260
-79.175	151.288	-4.245
-79.170	151.028	-4.273
-79.201	150.769	-4.262
-79.206	150.480	-4.274
-79.256	150.212	-4.279
-79.266	150.020	-4.259
-79.288	149.868	-4.250
-79.296	149.763	-4.257
-79.315	149.729	-4.242
-79.294	149.736	-4.288
-79.268	149.789	-4.296
-79.263	149.856	-4.352
-79.261	149.980	-4.399
-79.194	150.102	-4.420
-79.141	150.203	-4.453
-79.132	150.339	-4.440
-79.100	150.432	-4.459
-79.071	150.536	-4.453
-79.084	150.595	-4.449
-79.072	150.667	-4.459
-79.058	150.692	-4.450
-79.083	150.743	-4.443
-79.052	150.762	-4.442
