P3_hand_rP3_hands_pos_X	P3_hand_rP3_hands_pos_Y	P3_hand_rP3_hands_pos_Z	P3_hand_lP3_hands_pos_X	P3_hand_lP3_hands_pos_Y	P3_hand_lP3_hands_pos_Z


65.162	29.861	781.413	9.676	190.885	749.747
65.254	29.866	781.294	9.704	190.929	749.684
65.332	29.871	781.195	9.731	190.983	749.644
65.397	29.858	781.109	9.746	191.034	749.617
65.465	29.853	781.008	9.715	191.104	749.587
65.742	30.061	780.242	9.392	190.554	749.900
65.191	28.678	781.443	9.326	190.691	749.830
65.486	29.353	780.545	9.622	190.996	749.184
65.475	29.326	780.334	9.513	191.108	749.079
65.449	29.331	780.057	9.374	191.200	748.952
65.422	29.314	779.745	9.202	191.350	748.818
65.406	29.270	779.445	9.034	191.478	748.647
65.363	29.205	779.056	8.818	191.624	748.470
65.367	29.075	778.609	8.618	191.810	748.333
65.363	28.967	778.149	8.344	191.980	748.222
65.342	28.852	777.684	8.113	192.139	748.119
65.328	28.762	777.232	7.804	192.272	748.017
65.294	28.592	776.680	7.450	192.417	747.942
65.255	28.334	776.231	7.141	192.554	747.893
65.210	28.122	775.924	6.873	192.635	747.865
65.119	27.938	775.654	6.644	192.676	747.855
64.963	27.709	775.498	6.467	192.649	747.909
64.784	27.408	775.348	6.280	192.609	747.967
64.621	27.140	775.279	6.100	192.509	748.080
64.443	26.829	775.223	5.885	192.422	748.231
64.273	26.572	775.218	5.599	192.293	748.436
64.119	26.226	775.109	5.203	192.213	748.802
64.015	25.869	774.958	4.879	192.030	749.048
63.941	25.512	774.767	4.573	191.852	749.262
63.930	25.162	774.588	4.266	191.605	749.455
63.952	24.737	774.360	3.934	191.375	749.743
64.033	24.284	774.144	3.663	191.145	749.994
64.132	23.826	773.979	3.356	190.788	750.301
64.312	23.274	773.861	2.911	190.391	750.693
64.493	22.754	773.760	2.457	189.956	751.133
64.719	22.319	773.705	2.069	189.554	751.620
64.974	21.887	773.598	1.751	189.122	752.180
65.311	21.427	773.476	1.369	188.636	752.801
65.718	20.941	773.380	0.886	188.097	753.429
66.089	20.510	773.312	0.356	187.542	754.196
66.504	20.137	773.264	-0.077	186.938	754.872
66.914	19.797	773.220	-0.475	186.263	755.564
67.358	19.519	773.157	-0.880	185.693	756.435
67.809	19.298	773.125	-1.284	185.065	757.181
68.263	19.199	773.117	-1.659	184.285	757.955
68.738	19.070	773.122	-1.806	183.546	758.503
69.229	18.992	773.114	-1.830	182.826	759.314
69.733	19.026	773.061	-1.729	181.995	759.760
70.305	19.066	772.983	-1.575	182.182	760.375
70.972	19.090	772.906	-1.434	181.427	760.856
71.656	19.079	772.803	-1.229	180.653	761.262
72.302	19.075	772.747	-1.041	179.944	761.594
72.952	19.101	772.778	-0.881	179.349	761.912
73.558	19.175	772.867	-0.959	179.710	763.252
74.185	19.245	772.843	-0.830	179.137	763.849
74.753	19.295	772.829	-0.769	178.316	764.243
75.334	19.304	772.875	-0.699	177.595	764.607
75.857	19.340	772.934	-0.666	176.777	765.157
76.304	19.395	773.029	-0.739	175.984	765.610
76.759	19.396	773.123	-0.710	175.202	766.049
77.168	19.364	773.173	-0.743	174.340	766.439
