P2_hand_rP2_hands_pos_X	P2_hand_rP2_hands_pos_Y	P2_hand_rP2_hands_pos_Z	P2_hand_lP2_hands_pos_X	P2_hand_lP2_hands_pos_Y	P2_hand_lP2_hands_pos_Z


131.330	22.103	779.537	62.779	165.273	780.555
131.305	21.891	779.617	62.919	165.444	780.493
131.255	21.713	779.709	61.192	164.344	780.764
131.208	21.513	779.795	63.032	161.552	779.318
131.173	21.297	779.847	63.398	160.410	779.135
131.077	19.542	779.603	63.045	160.343	779.528
130.654	19.811	780.474	62.730	160.772	779.809
131.130	20.250	780.154	63.208	161.120	779.293
131.153	20.121	780.201	63.367	161.154	779.122
131.180	20.006	780.273	63.325	160.989	779.170
131.230	19.871	780.321	63.204	160.741	779.310
131.267	19.748	780.348	63.176	160.579	779.353
131.339	19.629	780.441	63.201	160.460	779.354
131.395	19.473	780.524	63.234	160.343	779.366
131.445	19.325	780.583	63.282	160.243	779.359
131.481	19.149	780.705	63.339	160.198	779.367
131.487	18.928	780.758	63.395	160.210	779.372
131.483	18.721	780.826	63.438	160.279	779.357
131.416	18.566	781.016	63.491	160.391	779.337
131.345	18.379	781.126	63.564	160.535	779.322
131.250	18.214	781.226	63.629	160.716	779.304
131.123	18.089	781.340	63.667	160.934	779.284
131.010	17.990	781.451	63.709	161.165	779.265
130.881	17.928	781.555	63.775	161.394	779.253
130.753	17.889	781.641	63.859	161.609	779.229
130.617	17.864	781.732	63.963	161.800	779.182
130.436	17.850	781.794	64.063	161.979	779.123
130.243	17.868	781.907	64.144	162.152	779.055
130.053	17.883	781.988	64.228	162.309	779.017
129.857	17.888	782.085	64.330	162.445	778.978
129.818	17.806	782.011	64.413	162.584	778.982
129.459	17.868	782.297	64.463	162.734	778.947
129.248	17.794	782.352	64.520	162.869	778.885
129.124	17.624	782.353	64.530	163.035	778.864
128.841	17.495	782.519	64.537	163.203	778.809
128.540	17.403	782.835	64.564	163.377	778.775
128.315	17.271	782.913	64.817	163.535	778.881
128.037	17.148	783.131	64.787	163.908	778.900
127.748	17.037	783.272	64.736	164.156	778.818
127.449	16.962	783.387	64.633	164.507	778.801
127.145	16.856	783.477	64.531	164.805	778.657
126.854	16.778	783.614	64.349	165.142	778.652
126.453	16.780	783.657	64.086	165.505	778.658
126.175	16.687	783.764	63.797	165.983	778.721
125.942	16.593	783.827	63.500	166.476	778.858
125.690	16.521	783.902	63.223	167.039	779.052
125.455	16.464	784.033	62.953	167.454	779.241
125.203	16.463	784.118	62.678	167.971	779.522
124.947	16.463	784.165	62.423	168.473	779.715
124.690	16.531	784.222	62.215	169.022	779.908
124.473	16.663	784.227	62.067	169.530	780.046
124.306	16.959	784.238	62.008	170.024	780.117
124.205	17.325	784.220	61.985	170.523	780.180
124.300	17.754	784.187	62.026	170.981	780.221
124.445	18.549	784.029	62.122	171.495	780.241
124.662	19.556	783.690	62.262	172.012	780.224
124.960	20.587	783.174	62.366	172.487	780.201
125.011	21.906	782.591	62.461	172.888	780.180
125.319	23.116	781.533	62.571	173.347	780.208
125.701	24.290	780.413	62.681	173.809	780.174
125.968	25.179	779.506	62.797	174.306	780.164
125.952	25.316	778.986	62.906	174.771	780.198
