RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z


0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000
0.000	0.212	0.000	0.000	0.850	0.000	0.000	0.000	0.000
0.000	0.212	0.000	0.000	1.729	0.474	1.587	0.929	0.209
0.000	0.590	0.258	0.000	2.643	0.474	3.427	3.721	1.655
0.000	0.806	0.258	0.000	3.622	0.802	3.792	4.862	1.655
0.253	2.561	0.258	0.368	6.645	0.802	4.145	4.862	1.864
0.676	2.829	0.937	0.368	6.645	2.006	4.460	5.224	2.146
1.152	3.268	1.257	1.166	7.444	2.006	4.939	5.572	2.663
1.152	3.268	1.257	2.116	8.336	2.447	4.939	5.572	2.663
1.152	3.511	1.257	2.116	9.319	2.447	4.939	5.572	2.663
1.152	3.511	1.257	2.116	10.403	2.786	4.939	5.950	2.663
1.152	3.770	1.257	2.342	11.651	2.996	4.939	5.950	2.663
1.360	3.770	1.544	2.342	12.672	3.285	4.939	6.231	2.663
1.360	4.045	1.544	2.342	13.845	3.525	4.939	6.231	2.663
1.360	4.045	1.544	2.342	15.062	3.525	4.939	6.449	2.663
1.360	4.369	1.808	2.342	16.084	4.056	4.939	6.449	2.663
1.360	4.590	1.808	2.342	17.351	4.419	4.939	6.449	2.663
1.360	4.797	1.808	2.342	18.454	4.666	5.169	6.449	2.663
1.360	4.797	2.119	2.610	19.537	4.954	5.169	6.449	2.663
1.360	5.139	2.119	2.610	20.634	5.289	5.169	6.741	2.663
1.360	5.139	2.330	2.879	21.657	5.606	5.169	6.741	2.663
1.576	5.429	2.330	3.180	22.608	5.948	5.398	7.140	2.663
1.576	5.429	2.555	3.454	23.622	6.271	5.398	7.371	2.663
1.818	5.429	2.555	3.732	24.531	6.609	5.398	7.600	2.663
1.818	5.629	2.555	4.029	25.507	7.010	5.398	7.815	2.663
2.083	5.629	2.836	4.302	26.450	7.312	5.694	7.815	2.663
2.083	5.629	2.836	4.607	27.330	7.635	5.694	8.185	2.663
2.456	5.629	2.836	4.945	28.207	8.075	5.694	8.185	2.901
2.456	5.629	3.092	5.283	29.122	8.444	5.959	8.515	2.901
2.843	5.629	3.092	5.645	30.027	8.933	5.959	8.515	2.901
2.843	5.629	3.092	6.023	30.852	9.528	5.959	8.790	2.901
3.240	5.629	3.400	6.354	31.659	9.999	6.193	8.790	2.901
3.452	5.629	3.400	6.751	32.628	10.459	6.193	9.075	2.901
3.452	5.894	3.400	7.142	33.507	11.043	6.193	9.075	2.901
3.858	5.894	3.623	7.610	34.424	11.697	6.193	9.409	3.146
4.159	6.114	3.938	8.039	35.241	12.259	6.193	9.409	3.146
4.384	6.114	3.938	8.467	36.086	12.897	6.548	9.741	3.146
4.662	6.369	4.234	8.898	36.951	13.576	6.548	10.114	3.146
4.952	6.369	4.234	9.290	37.770	14.169	6.548	10.362	3.146
5.250	6.369	4.491	9.707	38.596	14.662	6.548	10.713	3.146
5.554	6.661	4.491	10.116	39.453	15.243	6.834	11.011	3.146
5.845	6.661	4.717	10.374	39.774	15.837	6.834	11.348	3.146
6.246	6.661	4.717	10.793	40.391	16.278	7.279	11.711	3.146
