P2_elbow_rP2whole_dist_traveled	P2_hand_rP2whole_dist_traveled	P2_shoulder_lP2whole_dist_traveled	P2_elbow_lP2whole_dist_traveled	P2_headP2whole_dist_traveled	P2_shoulder_rP2whole_dist_traveled	P2_hand_lP2whole_dist_traveled
24.747	33.764	55.061	15.236	72.768	63.538	33.439
24.747	34.491	55.612	15.236	73.550	64.433	34.115
24.747	35.336	56.094	15.582	74.309	65.239	34.928
24.993	36.254	56.553	15.582	74.992	66.012	35.881
25.301	37.114	57.061	15.934	75.644	66.860	36.893
25.301	37.746	57.650	15.934	76.257	67.638	38.201
25.540	38.366	58.250	16.184	76.932	68.387	39.113
25.540	39.009	58.844	16.184	77.556	69.148	39.586
25.871	39.439	59.330	16.184	78.216	69.826	39.586
26.074	39.823	59.837	16.184	78.907	70.455	40.026
26.321	40.207	60.393	16.184	79.559	71.126	40.475
26.551	40.524	60.965	16.184	80.261	71.796	41.030
26.798	40.805	61.531	16.413	81.042	72.397	41.427
27.052	41.107	62.079	16.413	81.937	72.962	41.694
27.315	41.377	62.528	16.413	82.801	73.473	41.946
27.538	41.715	63.050	16.413	83.663	73.980	42.219
27.782	42.046	63.547	16.643	84.589	74.514	42.502
28.013	42.507	64.000	16.643	85.582	75.048	42.791
28.238	43.164	64.469	16.643	86.549	75.596	43.159
28.470	43.952	64.875	16.885	87.676	76.067	43.592
28.739	44.903	65.235	16.885	88.767	76.481	44.090
29.020	45.933	65.591	16.885	89.917	76.911	44.795
29.324	47.380	66.035	16.885	91.021	77.342	45.710
29.648	48.978	66.485	16.885	92.203	77.755	46.518
29.983	50.241	66.932	17.143	93.369	78.139	47.248
30.286	50.864	67.304	17.143	94.516	78.593	47.934
30.609	51.142	67.693	17.143	95.644	79.022	48.672
30.939	51.480	68.049	17.143	96.717	79.507	49.569
31.261	52.047	68.369	17.143	97.823	79.888	50.263
31.535	52.633	68.660	17.143	98.803	80.289	50.560
31.766	53.096	68.946	17.143	99.669	80.637	50.784
31.969	53.381	69.217	17.143	100.532	80.946	50.784
31.969	53.381	69.217	17.143	101.239	81.275	51.041
32.246	53.643	69.611	17.143	101.805	81.566	51.041
32.246	53.643	69.824	17.143	102.348	81.921	51.352
32.246	53.978	69.824	17.143	102.847	82.288	51.352
32.479	53.978	70.116	17.143	103.129	82.585	51.727
32.479	53.978	70.116	17.143	103.461	82.865	51.727
32.479	53.978	70.116	17.143	103.701	83.115	52.090
32.479	53.978	70.349	17.143	103.701	83.323	52.090
32.707	54.217	70.349	17.347	104.347	83.556	52.466
32.707	54.217	70.349	17.347	104.347	83.777	52.466
32.707	54.217	70.561	17.347	104.616	84.021	52.707
32.707	54.427	70.561	17.347	104.616	84.231	52.707
32.930	54.427	70.561	17.347	104.847	84.231	52.707
32.930	54.640	70.808	17.347	105.079	84.627	53.018
32.930	54.640	70.808	17.347	105.079	84.627	53.018
32.930	54.640	70.808	17.347	105.357	84.893	53.249
33.160	54.907	71.075	17.347	105.357	84.893	53.249
33.160	54.907	71.075	17.347	105.582	85.195	53.457
33.160	54.907	71.075	17.347	105.582	85.195	53.457
33.160	54.907	71.312	17.347	105.901	85.443	53.457
33.160	54.907	71.312	17.347	106.116	85.443	53.457
33.365	55.127	71.312	17.347	106.324	85.443	53.457
33.365	55.127	71.589	17.347	106.604	85.677	53.690
33.365	55.127	71.589	17.347	106.873	85.677	53.690
33.365	55.127	71.589	17.347	107.157	85.677	53.690
33.365	55.127	71.814	17.559	107.498	85.677	54.073
33.365	55.127	71.814	17.559	107.766	85.677	54.285
33.575	55.127	71.814	17.559	108.075	85.953	54.660
33.575	55.354	71.814	17.559	108.509	85.953	55.205
33.575	55.354	72.026	17.559	108.931	86.168	55.997
33.575	55.679	72.026	17.559	109.323	86.168	56.799
33.575	55.948	72.026	17.559	109.692	86.493	57.911
33.575	56.323	72.234	17.559	110.075	86.493	59.230
33.575	56.904	72.234	17.559	110.510	86.818	60.883
33.820	57.725	72.480	17.559	110.943	86.818	62.647
33.820	58.610	72.681	17.559	111.371	87.192	64.653
33.820	59.597	72.937	17.559	111.764	87.192	66.726
34.150	60.638	73.203	17.559	112.141	87.607	69.038
34.150	61.740	73.447	17.782	112.608	87.926	71.050
34.548	62.786	73.702	17.782	113.115	88.177	72.501
34.784	63.561	73.971	17.782	113.609	88.398	73.461
35.006	64.208	74.215	17.782	114.116	88.653	73.893
35.268	64.725	74.510	18.015	114.633	88.879	74.331
35.544	65.163	74.779	18.015	115.147	89.143	74.785
35.858	65.500	75.122	18.015	115.630	89.414	75.092
36.116	65.772	75.517	18.231	116.117	89.686	75.316
36.353	65.973	75.870	18.231	116.581	89.935	75.579
36.567	65.973	76.270	18.231	117.093	90.166	75.941
36.567	65.973	76.632	18.231	117.511	90.394	76.342
36.984	66.267	76.940	18.231	117.964	90.616	76.855
36.984	66.469	77.277	18.231	118.352	90.831	77.492
37.355	66.888	77.627	18.231	118.653	91.055	78.258
37.355	67.508	78.079	18.447	118.891	91.055	79.156
37.704	68.348	78.460	18.447	119.109	91.403	80.478
37.704	69.471	78.772	18.447	119.109	91.403	81.670
37.962	70.906	79.052	18.736	119.355	91.694	82.896
37.962	72.761	79.294	18.736	119.355	91.694	84.179
37.962	74.901	79.554	18.736	119.355	92.056	85.457
37.962	77.193	79.756	18.736	119.355	92.056	86.739
37.962	79.776	80.009	18.939	119.701	92.367	87.552
38.192	82.263	80.242	18.939	119.914	92.587	88.322
38.192	83.819	80.242	18.939	120.143	92.805	88.813
38.192	84.639	80.588	18.939	120.421	93.041	89.075
38.412	85.353	80.588	18.939	120.712	93.290	89.075
38.412	85.750	80.865	18.939	121.017	93.517	89.321
38.412	86.082	80.865	19.186	121.377	93.725	89.830
38.412	86.345	81.124	19.186	121.718	93.960	90.556
38.668	86.345	81.124	19.186	122.073	94.168	91.369
38.668	86.345	81.424	19.186	122.424	94.455	92.614
38.668	86.345	81.424	19.448	122.751	94.658	93.768
38.668	86.345	81.757	19.448	123.121	94.658	95.120
38.668	86.619	81.757	19.448	123.392	95.037	96.480
38.668	86.619	82.115	19.448	123.634	95.037	98.209
38.881	86.619	82.115	19.698	123.634	95.436	99.956
38.881	86.619	82.462	19.698	123.924	95.436	101.765
38.881	86.836	82.676	19.698	123.924	95.793	103.465
38.881	86.836	82.676	19.698	123.924	95.793	104.373
39.098	86.836	83.060	19.698	124.307	96.138	104.791
39.098	87.060	83.281	19.698	124.621	96.138	105.174
39.304	87.060	83.509	19.698	125.017	96.519	105.666
39.304	87.306	83.792	19.698	125.432	96.753	106.090
39.657	87.306	84.010	19.698	125.873	96.983	106.090
39.657	87.306	84.223	19.698	126.392	97.195	106.090
40.057	87.306	84.223	19.698	126.953	97.406	106.347
40.057	87.306	84.569	19.698	127.614	97.406	106.570
40.380	87.306	84.569	19.698	128.267	97.737	106.570
40.380	87.518	84.894	19.698	128.895	97.737	106.798
40.742	87.518	84.894	19.698	129.505	98.102	106.798
40.742	87.518	85.265	19.698	130.106	98.102	107.033
40.999	87.518	85.265	19.698	130.706	98.415	107.033
40.999	87.518	85.548	19.698	131.284	98.415	107.033
40.999	87.518	85.548	19.698	131.882	98.686	107.033
40.999	87.518	85.548	19.698	132.479	98.686	107.033
41.233	87.518	85.795	19.698	133.026	98.904	107.033
41.233	87.518	85.795	19.698	133.506	98.904	107.033
41.233	87.518	85.795	19.940	133.905	99.114	107.288
