RHand	Head	LHand
130.648	87.521	146.813
94.507	81.046	109.526
67.305	73.523	65.028
45.923	62.926	40.078
27.188	54.409	28.616
17.509	43.361	36.962
14.983	37.583	48.625
20.486	34.659	51.747
30.149	27.492	50.313
38.395	20.264	48.988
46.259	15.591	50.884
51.672	11.620	48.070
58.087	9.793	41.754
70.314	9.012	52.749
87.840	9.266	61.301
104.187	12.723	50.584
127.445	15.846	59.090
160.150	18.343	85.556
180.781	19.635	107.465
190.125	20.959	133.019
194.860	24.032	144.523
166.465	24.389	158.192
90.934	25.948	172.766
26.878	28.682	171.027
41.254	30.972	160.836
35.343	34.806	125.086
35.533	42.918	69.127
26.242	45.346	19.018
27.280	41.604	31.028
28.377	42.487	50.418
20.448	43.687	56.126
7.811	41.733	54.928
16.013	41.214	53.980
28.305	41.230	54.731
38.481	37.955	57.234
52.938	33.677	55.307
57.869	29.866	53.120
63.891	28.182	54.866
70.683	25.935	63.815
67.631	23.384	64.508
66.261	21.758	62.826
66.265	19.637	61.911
63.643	18.582	56.052
53.099	15.996	47.856
42.261	13.223	33.821
34.392	9.938	19.537
22.095	7.980	9.119
13.521	8.209	15.050
12.176	6.861	31.008
21.796	7.060	51.122
38.718	9.581	65.625
50.320	9.293	76.426
60.536	8.739	85.241
66.639	10.145	89.984
40.944	12.051	85.258
16.287	15.977	77.690
19.813	18.118	62.320
27.577	16.341	34.540
29.355	16.205	20.570
20.743	18.304	20.670
8.705	20.517	21.669
3.808	20.093	19.651
6.952	22.131	12.764
7.919	20.870	2.313
5.576	19.250	6.531
7.098	24.146	27.624
10.113	24.584	27.127
12.951	22.465	5.515
18.159	22.287	9.218
19.911	23.376	13.869
19.870	25.070	22.086
22.727	26.865	31.066
25.542	26.403	40.442
31.663	28.686	48.863
42.129	28.877	70.950
51.674	25.962	72.028
63.642	27.639	49.124
71.863	30.187	43.387
77.510	28.272	42.570
74.150	25.834	37.042
59.735	28.220	26.566
51.640	31.298	15.741
43.631	36.813	4.380
29.686	40.690	11.598
13.859	38.283	21.104
1.985	36.595	30.968
15.884	36.222	39.408
28.420	36.653	44.033
38.620	39.095	45.755
46.193	46.041	46.792
48.634	49.848	41.865
53.178	48.671	25.551
59.104	49.143	8.861
66.678	49.900	5.222
67.047	51.582	9.774
50.450	53.221	13.028
28.935	57.573	9.130
22.193	65.748	2.295
24.182	63.478	1.834
22.152	55.924	0.537
17.173	55.981	1.377
9.827	55.562	1.579
7.050	53.839	1.464
8.563	54.116	4.705
5.764	49.776	5.700
3.369	46.329	4.507
4.620	46.391	5.247
5.662	40.729	4.334
4.132	36.322	3.538
4.335	35.483	3.220
5.000	30.820	3.922
4.662	27.010	2.621
4.513	24.951	5.631
3.737	21.555	6.858
3.687	20.438	7.284
3.209	20.386	8.254
3.368	20.309	8.813
3.678	20.087	10.686
8.321	20.843	12.463
8.479	20.040	11.524
6.086	18.508	11.628
5.138	19.616	10.663
3.863	21.548	8.417
3.575	39.562	6.874
3.241	29.216	4.156
1.943	29.773	3.441
2.702	25.105	4.087
2.470	24.164	1.632
1.526	29.255	3.687
1.819	30.162	4.982
3.375	46.739	5.815
2.595	45.351	8.170
2.814	28.060	13.532
7.312	29.765	20.051
12.021	30.581	25.582
18.171	28.925	30.670
24.424	15.879	40.367
29.728	15.539	49.480
35.913	40.245	55.346
36.159	20.886	57.435
34.513	16.939	53.722
35.065	35.582	44.054
29.001	17.682	32.042
21.992	14.572	21.362
18.868	12.743	10.578
16.494	13.390	3.778
20.510	16.807	13.640
20.120	17.705	24.063
17.388	17.307	33.650
22.215	13.937	40.231
25.766	11.768	41.830
24.735	11.041	38.903
24.405	9.390	28.634
24.345	10.289	18.642
25.091	10.582	15.242
23.607	7.573	15.750
18.133	6.273	22.041
16.060	7.941	27.730
16.753	6.906	30.072
14.079	6.033	31.371
12.497	6.909	30.110
11.095	7.913	24.846
9.375	9.870	20.211
5.946	9.146	15.212
3.370	10.149	9.553
2.726	10.163	7.674
8.119	9.306	6.649
14.025	12.077	13.202
20.112	12.224	21.212
31.282	12.525	28.647
45.244	16.284	39.330
59.103	17.013	47.559
79.201	13.760	50.087
103.612	13.159	59.662
108.535	11.410	58.648
69.989	8.726	37.742
36.194	8.591	16.911
31.556	8.975	7.278
31.436	7.811	13.587
28.726	6.483	14.678
18.893	6.613	14.023
9.939	6.171	12.053
4.552	5.181	10.492
12.422	4.708	11.006
13.512	4.524	10.325
14.949	3.989	7.440
14.723	4.856	5.930
17.319	4.682	9.295
20.912	3.558	10.016
19.809	3.003	7.662
19.257	3.062	5.417
18.027	3.914	2.724
14.268	4.704	4.181
13.856	5.193	6.253
11.781	6.264	7.978
11.222	6.791	6.908
11.203	8.604	5.664
10.570	7.753	4.430
11.191	8.733	3.969
10.450	11.309	2.197
11.920	11.202	3.379
13.313	13.180	6.908
10.522	14.976	6.285
12.725	17.588	7.176
13.231	19.717	5.403
15.084	20.763	8.729
16.037	22.786	10.409
