P2_hands_comp_Distance_X	P2_hands_comp_Distance_Y	P2_hands_comp_Distance_Z
-62.736	141.908	-1.345
-62.716	141.884	-1.327
-62.695	141.837	-1.354
-62.653	141.887	-1.393
-62.626	141.954	-1.393
-62.619	142.007	-1.416
-62.571	142.056	-1.422
-62.562	142.078	-1.454
-62.535	142.091	-1.438
-62.535	142.100	-1.435
-62.525	142.079	-1.446
-62.524	142.057	-1.449
-62.519	142.035	-1.449
-62.518	142.001	-1.476
-62.488	141.986	-1.456
-62.406	141.941	-1.464
-62.384	141.928	-1.467
-62.336	141.906	-1.509
-62.255	141.893	-1.518
-62.170	141.930	-1.520
-62.041	142.021	-1.541
-61.884	142.169	-1.629
-61.713	142.508	-1.788
-61.626	143.047	-1.899
-61.655	143.772	-1.974
-61.910	144.626	-1.989
-62.178	145.476	-1.763
-62.582	146.364	-1.284
-63.191	147.584	-0.606
-63.582	148.736	0.168
-64.225	149.988	0.670
-65.050	151.560	1.254
-65.700	153.009	1.678
-66.414	154.280	1.771
-67.325	155.068	2.084
-67.855	156.272	2.148
-68.603	157.161	2.078
-68.797	157.728	2.137
-68.881	158.086	2.054
-68.867	158.235	1.909
-68.759	158.225	1.694
-68.579	158.182	1.460
-68.374	158.080	1.124
-68.156	158.006	0.952
-67.939	157.827	0.875
-67.723	157.481	0.882
-67.507	156.976	0.867
-67.378	156.465	0.963
-67.322	155.900	1.182
-66.982	155.116	1.593
-66.956	154.083	1.848
-66.697	153.448	2.114
-66.683	152.164	2.733
-66.597	150.571	3.359
-66.370	148.947	4.094
-66.059	147.351	4.596
-65.831	145.758	5.222
-65.336	144.608	5.012
-64.392	143.916	4.247
-63.288	143.112	2.674
-62.502	142.702	0.998
-62.254	143.024	-0.230
-62.090	143.152	-0.706
-62.101	143.210	-0.634
-62.511	143.376	-0.310
-62.984	143.587	0.250
-63.297	143.762	0.798
-63.555	143.946	1.222
-63.724	144.298	1.427
-63.806	144.807	1.506
-63.854	145.423	1.362
-63.791	146.087	1.205
-63.752	146.678	1.080
-63.691	147.339	0.940
-63.704	147.982	0.918
-63.733	148.523	0.944
-63.811	149.010	1.024
-63.922	149.461	0.978
-63.990	149.828	0.941
-64.101	150.160	0.963
-64.102	150.385	0.909
-64.088	150.529	0.821
