P5_hand_rP5_hands_pos_X	P5_hand_rP5_hands_pos_Y	P5_hand_rP5_hands_pos_Z	P5_hand_lP5_hands_pos_X	P5_hand_lP5_hands_pos_Y	P5_hand_lP5_hands_pos_Z


-561.856	45.818	764.864	-612.830	179.173	765.445
-561.853	45.809	764.855	-612.820	179.180	765.436
-561.859	45.806	764.856	-612.828	179.179	765.461
-561.861	45.817	764.863	-612.838	179.185	765.459
-561.862	45.811	764.868	-612.828	179.176	765.484
-561.518	46.843	764.450	-612.360	180.695	765.745
-562.115	45.366	765.064	-612.737	178.672	765.414
-562.118	45.299	765.056	-612.783	178.579	765.404
-562.151	45.260	765.059	-612.800	178.522	765.414
-562.009	45.404	765.127	-612.819	178.481	765.395
-562.161	45.221	765.079	-612.831	178.452	765.398
-562.157	45.204	765.081	-612.838	178.429	765.397
-562.156	45.188	765.087	-612.850	178.409	765.396
-562.163	45.204	765.074	-612.846	178.392	765.399
-562.158	45.177	765.087	-612.855	178.386	765.387
-562.144	45.178	765.080	-612.864	178.361	765.381
-562.166	45.161	765.109	-612.851	178.370	765.382
-562.159	45.159	765.084	-612.863	178.356	765.387
-562.168	45.159	765.083	-612.852	178.356	765.385
-562.145	45.136	765.090	-612.863	178.334	765.366
-562.126	45.143	765.098	-612.848	178.346	765.372
-562.138	45.148	765.098	-612.854	178.358	765.374
-562.144	45.151	765.096	-612.852	178.355	765.369
-562.130	45.137	765.097	-612.864	178.318	765.356
-562.143	45.137	765.076	-612.873	178.328	765.352
-562.138	45.148	765.080	-612.873	178.323	765.351
-562.005	45.247	765.157	-612.871	178.316	765.354
-562.123	45.138	765.124	-612.878	178.279	765.345
-562.129	45.139	765.112	-612.894	178.293	765.352
-562.146	45.152	765.107	-612.883	178.282	765.360
-562.143	45.141	765.114	-612.883	178.288	765.358
-562.123	45.124	765.109	-612.904	178.271	765.352
-562.107	45.124	765.135	-612.891	178.275	765.355
-561.989	45.226	765.201	-612.887	178.256	765.371
-562.112	45.116	765.168	-612.907	178.251	765.376
-562.111	45.114	765.145	-612.893	178.243	765.380
-562.110	45.100	765.138	-612.899	178.262	765.385
-562.119	45.109	765.132	-612.903	178.281	765.373
-562.105	45.097	765.146	-612.905	178.260	765.376
-562.124	45.109	765.131	-612.904	178.250	765.362
-562.099	45.117	765.137	-612.921	178.273	765.350
-562.127	45.116	765.111	-612.886	178.276	765.352
-562.121	45.126	765.140	-612.920	178.283	765.345
-562.030	45.220	765.195	-612.933	178.270	765.355
-562.130	45.102	765.135	-612.923	178.261	765.337
-562.130	45.123	765.143	-612.940	178.273	765.329
-562.134	45.111	765.144	-612.935	178.272	765.330
-562.130	45.129	765.148	-612.933	178.276	765.347
-562.150	45.129	765.127	-612.937	178.284	765.335
-562.139	45.091	765.144	-612.913	178.269	765.336
-562.132	45.109	765.124	-612.909	178.270	765.332
-562.128	45.086	765.110	-612.906	178.266	765.334
-561.987	45.191	765.208	-612.920	178.247	765.319
-562.163	45.102	765.112	-612.909	178.250	765.338
-562.132	45.089	765.103	-612.920	178.228	765.355
-562.133	45.120	765.123	-612.913	178.231	765.347
-562.153	45.120	765.122	-612.925	178.245	765.361
