P5_hands_dir_Distance_X	P5_hands_dir_Distance_Y	P5_hands_dir_Distance_Z
-50.771	133.116	0.215
-50.798	133.137	0.238
-50.812	133.110	0.218
-50.802	133.097	0.237
-50.883	132.483	0.184
-51.028	132.387	0.077
-50.896	132.462	0.165
-50.909	132.464	0.197
-50.896	132.476	0.189
-50.857	132.468	0.171
-50.874	132.474	0.172
-50.903	132.491	0.179
-50.898	132.495	0.158
-50.821	133.111	0.200
-50.912	133.039	0.132
-50.820	133.119	0.195
-50.803	133.112	0.224
-50.890	132.510	0.152
-50.796	133.114	0.206
-50.813	133.127	0.182
-50.808	133.136	0.187
-50.928	132.505	0.139
-50.909	132.522	0.139
-51.023	132.388	0.058
-50.904	132.498	0.150
-50.918	132.501	0.157
-50.893	132.485	0.204
-50.892	132.492	0.202
-50.898	132.487	0.184
-50.808	133.107	0.231
-50.909	132.505	0.192
-50.919	132.506	0.183
-50.908	132.489	0.196
-51.027	132.431	0.078
-50.890	132.502	0.189
-50.908	132.503	0.172
-50.822	133.106	0.200
-50.811	133.144	0.235
-50.870	132.516	0.187
-50.782	133.127	0.241
-50.879	132.503	0.180
-50.890	132.516	0.198
-50.894	132.500	0.224
-50.881	132.501	0.232
-50.801	133.100	0.259
-50.879	132.474	0.236
-50.889	132.468	0.240
-50.913	132.474	0.211
-50.902	132.478	0.215
-51.053	132.380	0.097
-50.898	132.472	0.219
-50.895	132.485	0.193
-50.813	133.107	0.240
-50.810	133.114	0.236
-50.829	133.092	0.191
-50.803	133.108	0.214
-50.881	132.510	0.168
-51.061	132.412	0.051
-50.930	132.512	0.144
-50.922	132.505	0.163
-50.909	132.506	0.154
-50.910	132.505	0.151
-50.909	132.498	0.164
-50.820	133.128	0.207
-50.929	132.487	0.120
-50.908	132.514	0.151
-51.062	132.404	0.036
-50.951	132.503	0.170
-50.907	132.503	0.165
-50.893	132.477	0.162
-50.923	132.506	0.159
-50.919	132.465	0.155
-50.931	132.474	0.167
-51.071	132.401	0.043
-50.940	132.486	0.154
-50.960	132.505	0.118
-50.857	133.100	0.144
-50.848	133.167	0.165
-50.856	133.142	0.147
-50.845	133.145	0.147
-50.939	132.534	0.107
-50.934	132.533	0.104
-50.825	133.137	0.180
-50.936	132.525	0.121
-50.935	132.516	0.081
-50.942	132.524	0.098
-50.929	132.503	0.089
-50.942	132.527	0.091
-51.076	132.414	0.021
-50.937	132.500	0.106
-50.936	132.487	0.111
-50.944	132.479	0.111
-50.953	132.491	0.123
-50.960	132.487	0.126
-50.920	132.502	0.114
-50.928	132.503	0.101
-51.072	132.407	0.009
-50.856	133.111	0.135
-50.865	133.135	0.137
-50.956	132.489	0.080
-50.865	133.111	0.126
-50.833	133.142	0.134
-50.932	132.540	0.074
-50.955	132.534	0.056
-50.948	132.532	0.080
-50.839	133.129	0.122
-50.849	133.142	0.138
-50.935	132.539	0.112
-51.086	132.394	0.018
-50.963	132.504	0.097
-50.953	132.484	0.120
-50.947	132.496	0.131
-50.944	132.495	0.113
-50.946	132.520	0.155
-50.936	132.468	0.128
-51.075	132.392	0.036
-50.966	132.491	0.139
-50.937	132.493	0.153
-50.952	132.503	0.114
-50.940	132.506	0.123
-50.833	133.106	0.146
-50.915	132.493	0.067
-50.922	132.508	0.106
-50.838	133.132	0.142
-50.825	133.117	0.200
-50.836	133.125	0.162
-50.953	132.499	0.116
-51.047	132.411	0.026
-50.936	132.494	0.113
-50.938	132.506	0.151
-50.951	132.485	0.121
-50.954	132.487	0.160
-50.950	132.490	0.170
-50.978	132.474	0.174
-50.941	132.485	0.202
-50.935	132.455	0.215
-50.960	132.459	0.185
-50.927	132.471	0.166
-51.084	132.385	0.062
-50.919	132.478	0.108
-50.862	133.116	0.138
-50.845	133.136	0.143
-50.859	133.121	0.132
-50.823	133.148	0.144
-50.920	132.552	0.107
-50.938	133.023	0.081
-50.834	133.133	0.141
-50.924	132.559	0.106
-50.828	133.132	0.153
-50.846	133.125	0.135
-50.909	132.491	0.128
-50.942	132.512	0.116
-51.065	132.424	0.045
-50.914	132.494	0.127
-50.929	132.469	0.132
-50.939	132.465	0.142
-50.916	132.494	0.165
-50.909	132.500	0.167
-50.907	132.476	0.150
-50.926	132.499	0.134
-51.055	132.385	0.035
-50.934	132.506	0.108
-50.918	132.518	0.112
-50.939	132.528	0.104
-50.919	132.484	0.081
-50.829	133.138	0.143
-50.857	133.163	0.128
-51.052	132.390	0.005
-50.920	132.515	0.051
-50.830	133.134	0.118
-50.848	133.133	0.118
-50.896	132.533	0.093
-50.930	132.517	0.092
-50.927	132.509	0.098
-50.933	132.509	0.120
-50.831	133.111	0.177
-50.933	132.485	0.142
-51.041	132.357	0.040
-50.927	132.506	0.142
-50.904	132.487	0.128
-50.918	132.498	0.116
-50.932	132.523	0.112
-50.820	133.129	0.168
-50.821	133.125	0.190
-50.826	133.102	0.139
-50.816	133.143	0.163
-50.815	133.142	0.132
-50.905	132.526	0.125
-50.831	133.141	0.153
-50.990	132.424	0.051
-50.916	132.521	0.100
-50.806	133.128	0.179
-50.812	133.118	0.176
-50.808	133.110	0.194
-50.837	133.087	0.196
-50.906	132.514	0.146
-50.921	132.475	0.134
-51.041	132.358	0.076
-50.924	132.501	0.177
-50.943	132.477	0.173
-50.815	133.122	0.216
-50.911	132.492	0.188
-50.901	132.513	0.178
-50.904	132.490	0.159
-50.890	132.503	0.181
-50.898	132.514	0.181
-50.808	133.119	0.203
-50.943	133.024	0.083
-50.795	133.108	0.177
-50.815	133.137	0.179
-50.868	132.509	0.146
-50.817	133.121	0.184
-50.892	132.519	0.080
-50.794	133.098	0.211
-51.035	132.383	0.066
-50.896	132.499	0.164
-50.909	132.516	0.215
-50.894	132.503	0.187
-50.900	132.500	0.173
-50.888	132.490	0.189
-50.900	132.482	0.177
-50.871	132.473	0.201
-50.893	132.508	0.178
-50.933	132.968	0.113
-50.897	132.531	0.176
-50.925	132.498	0.127
-50.879	132.531	0.149
-50.804	133.122	0.189
-50.886	132.523	0.162
-50.809	133.119	0.163
-50.793	133.124	0.170
-50.805	133.107	0.176
-50.906	132.531	0.117
-51.023	132.428	0.051
-50.828	133.144	0.188
-50.788	133.093	0.183
-50.921	132.496	0.147
-50.907	132.511	0.117
-50.920	132.512	0.129
-50.905	132.496	0.145
-51.040	132.379	0.059
-50.927	132.490	0.158
-50.890	132.495	0.175
-50.903	132.500	0.170
-50.904	132.486	0.136
-50.924	132.495	0.126
-50.894	132.489	0.120
-50.913	132.521	0.114
-50.816	133.124	0.161
-50.817	133.117	0.161
-50.894	132.522	0.150
-50.804	133.107	0.161
-50.907	132.518	0.128
-50.940	133.034	0.115
-50.893	132.503	0.170
-50.896	132.499	0.163
-50.898	132.509	0.132
-50.891	132.480	0.150
-50.906	132.510	0.145
-50.910	132.482	0.162
-50.921	132.475	0.163
-51.035	132.385	0.077
-50.924	132.477	0.178
-50.900	132.479	0.174
-50.911	132.481	0.177
-50.815	133.095	0.201
-50.891	132.472	0.198
-50.877	132.509	0.160
-50.900	132.501	0.133
-50.819	133.123	0.181
-50.911	132.526	0.121
-50.904	132.494	0.155
-50.816	133.128	0.229
-50.890	132.520	0.178
-50.904	132.513	0.186
-50.809	133.126	0.232
-50.913	132.525	0.156
-51.007	132.380	0.115
-50.895	132.496	0.179
-50.891	132.478	0.191
-50.915	132.473	0.208
-50.903	132.479	0.205
-50.900	132.469	0.188
-50.892	132.488	0.205
-50.916	132.497	0.216
-51.042	132.410	0.125
-50.937	132.499	0.182
-50.888	132.504	0.199
-50.911	132.496	0.191
-50.791	133.112	0.233
-50.937	132.529	0.164
-50.810	133.105	0.195
-50.904	132.520	0.117
-50.799	133.119	0.162
-50.911	132.520	0.124
-50.880	132.519	0.145
-50.806	133.111	0.197
-51.004	132.396	0.084
-50.893	132.517	0.145
-50.922	132.485	0.142
-50.933	132.507	0.146
-50.851	133.093	0.197
-50.922	132.490	0.148
-50.922	132.480	0.115
-50.919	132.504	0.125
-51.093	132.375	0.056
-50.916	132.487	0.119
-50.913	132.484	0.100
-50.838	133.102	0.175
-50.954	132.492	0.104
-50.911	132.523	0.117
-50.916	132.528	0.087
-50.828	133.130	0.130
-50.906	132.538	0.063
-50.798	133.116	0.149
-50.821	133.133	0.127
-50.921	132.524	0.073
-50.903	132.516	0.086
-50.834	133.121	0.151
-51.034	132.401	0.054
-50.893	132.491	0.091
-50.932	132.488	0.116
-50.882	132.503	0.112
-50.907	132.474	0.116
-50.894	132.480	0.123
-50.907	132.479	0.107
-50.913	132.470	0.117
-51.050	132.344	0.055
-50.913	132.515	0.129
-50.916	132.485	0.097
-50.815	133.110	0.185
-50.904	132.508	0.126
-50.882	132.509	0.087
-50.823	133.101	0.163
-50.916	132.530	0.099
-50.904	132.501	0.079
-50.801	133.078	0.156
-50.888	132.518	0.101
-50.902	132.489	0.125
-50.893	132.503	0.119
-50.900	132.498	0.126
-50.927	132.496	0.121
-51.039	132.395	0.032
-50.920	132.479	0.137
-50.903	132.466	0.147
-50.927	132.480	0.141
-50.904	132.477	0.170
-50.923	132.495	0.187
-50.940	132.462	0.175
-50.921	132.487	0.148
-50.981	132.992	0.127
-50.930	132.500	0.187
-50.813	133.109	0.187
-50.811	133.102	0.185
-50.911	132.504	0.106
-50.917	132.485	0.153
-50.914	132.514	0.133
-50.929	132.498	0.121
-50.911	132.496	0.150
-50.942	132.514	0.106
-50.924	132.522	0.102
-51.040	132.408	0.011
-50.918	132.501	0.084
-50.922	132.511	0.121
-50.941	132.504	0.136
-50.925	132.497	0.123
-50.925	132.490	0.141
-50.939	132.499	0.140
-50.950	132.480	0.138
-51.065	132.369	0.053
-50.907	132.495	0.113
-50.931	132.494	0.096
