RHand	Head	LHand
0.444	3.797	0.886
1.814	4.361	1.062
0.799	4.835	0.920
8.839	4.835	31.637
1.200	5.499	32.020
9.057	6.511	0.665
1.352	4.254	31.162
0.327	4.130	31.949
1.101	4.902	32.214
0.855	3.892	1.336
1.848	4.865	1.473
9.258	3.548	0.610
0.969	3.703	31.733
8.674	5.364	1.245
0.823	5.168	0.831
2.062	5.284	2.124
0.660	7.123	1.301
1.725	8.272	1.700
9.312	8.497	1.835
1.434	8.687	0.355
7.586	9.510	1.492
0.759	9.927	0.691
0.909	10.487	1.087
1.362	11.623	1.199
1.100	11.732	0.207
1.099	11.687	1.535
8.981	12.101	31.327
1.613	11.421	0.869
9.618	10.517	0.799
1.103	10.578	31.681
1.258	11.995	0.906
1.376	11.591	31.272
1.230	11.856	31.036
9.584	13.940	31.867
1.776	14.798	0.499
8.832	14.286	1.716
0.875	13.562	1.390
0.487	12.449	31.353
1.109	13.887	0.667
1.005	14.711	1.010
0.680	13.758	0.401
1.671	14.588	1.075
9.629	13.292	1.021
1.965	12.784	1.137
9.288	12.654	1.102
0.471	11.337	31.334
2.098	11.383	31.772
0.815	11.623	1.422
0.316	10.478	1.082
8.959	9.911	0.516
0.484	9.801	0.955
8.677	9.891	30.853
1.316	10.700	0.775
0.570	11.236	30.725
1.820	10.930	31.474
1.208	11.366	0.555
9.649	11.457	1.134
1.375	12.188	31.888
7.533	13.191	1.516
1.089	13.731	0.601
0.498	13.947	0.671
0.575	13.407	31.830
0.802	13.825	0.838
0.772	13.034	31.871
7.535	12.729	1.562
1.522	15.565	0.748
8.832	15.740	1.268
0.835	13.243	0.895
0.823	13.075	0.735
1.887	13.355	32.043
1.290	12.565	32.175
9.389	12.112	1.940
0.564	12.875	1.511
9.598	14.033	1.469
1.338	15.120	1.448
2.561	14.828	1.139
0.262	15.174	32.237
1.882	15.822	31.874
1.554	15.838	0.778
0.519	14.876	1.168
1.393	14.690	0.933
2.100	13.510	1.543
0.540	11.144	1.247
1.118	9.902	0.665
1.257	9.577	0.877
7.952	9.720	0.849
1.817	8.950	1.643
7.655	8.587	2.161
1.483	11.601	1.317
2.655	11.469	1.544
0.740	8.850	31.113
1.606	8.545	32.522
8.662	7.949	0.802
0.936	8.069	0.930
8.685	8.607	1.235
0.719	11.240	30.755
0.784	12.555	0.766
1.384	11.093	1.672
1.003	10.658	1.039
1.102	9.959	29.932
1.050	8.824	0.902
1.470	7.741	31.027
0.679	7.692	31.076
1.578	7.703	2.272
1.031	7.470	32.761
0.608	6.191	1.137
8.724	4.781	32.297
1.953	3.622	0.575
9.780	3.925	1.238
0.588	5.284	1.704
0.757	3.935	1.528
0.581	5.672	1.646
1.294	7.735	31.797
9.662	8.092	31.166
1.399	7.916	1.553
9.648	7.096	1.033
0.979	7.021	0.818
1.013	7.718	2.207
1.170	7.274	2.144
2.296	6.677	0.616
1.637	6.712	0.332
1.061	5.864	31.619
8.730	4.830	32.433
1.122	3.788	1.106
8.204	2.117	0.856
0.911	2.170	30.291
0.629	2.322	0.603
0.533	1.153	31.188
1.378	1.929	2.151
0.593	4.016	31.281
0.629	5.011	30.898
8.201	4.335	0.989
0.815	4.475	0.936
8.961	4.039	1.516
1.594	4.904	1.752
2.767	5.502	0.863
0.811	4.833	1.256
1.625	5.343	32.178
1.231	5.547	0.890
1.220	5.443	30.651
1.411	5.392	0.903
7.959	5.957	0.610
1.549	6.878	0.557
7.300	6.589	1.106
2.600	8.445	31.907
1.145	10.014	32.061
0.803	10.880	30.143
0.643	11.933	1.114
0.996	13.571	0.490
0.630	14.729	30.742
1.392	14.763	1.726
1.556	15.463	0.326
1.034	13.604	29.951
0.884	11.835	1.919
1.321	11.750	30.773
0.742	9.916	1.664
1.677	9.102	2.469
9.049	11.189	1.268
0.364	10.979	0.430
9.914	8.566	0.849
1.489	8.452	31.879
0.959	8.429	31.939
1.574	7.688	1.148
1.658	7.328	2.215
1.170	7.035	29.864
10.347	6.671	31.471
1.459	6.706	2.094
8.331	7.180	2.178
1.436	5.650	0.730
0.839	5.230	0.520
1.069	4.854	1.486
1.325	3.611	30.495
1.583	3.261	0.953
0.422	2.959	30.983
8.733	2.651	0.915
1.002	3.162	1.990
11.274	2.783	0.693
2.773	3.109	1.424
0.856	4.096	0.416
1.492	4.133	0.958
1.795	3.196	1.253
9.922	3.100	0.547
0.736	3.381	0.577
8.741	2.551	1.016
2.013	2.796	31.346
1.270	4.269	32.427
1.398	5.463	1.265
0.540	6.249	1.194
0.976	5.301	30.747
0.241	5.136	31.008
0.421	5.323	30.539
0.839	5.855	0.761
1.408	4.491	30.989
0.541	4.093	0.777
0.466	4.287	0.390
0.707	4.728	0.443
8.917	4.678	1.235
0.746	3.675	1.413
9.726	5.030	1.699
0.818	5.543	0.591
0.339	3.773	0.853
0.788	2.545	1.240
1.222	2.100	1.004
1.733	2.583	0.957
10.283	2.085	0.821
0.288	1.782	30.776
9.734	1.694	30.643
0.480	1.344	31.278
0.993	0.609	1.084
1.275	0.824	32.066
1.795	1.121	29.304
1.402	1.748	30.157
0.928	2.490	0.237
0.973	2.916	29.834
1.364	3.687	30.398
0.858	4.268	30.527
10.287	4.391	31.833
0.823	4.029	1.565
9.490	4.606	0.280
1.594	5.043	0.455
0.943	5.110	0.200
0.543	4.633	1.226
1.566	3.889	0.703
10.704	3.754	0.478
0.774	3.235	1.297
10.266	6.891	0.307
1.019	15.492	1.302
0.786	22.992	0.998
0.965	27.230	31.570
1.980	28.673	1.637
0.865	29.262	31.141
2.253	28.149	30.558
1.462	25.889	31.282
1.087	24.713	0.847
1.704	22.180	30.914
9.585	18.183	30.569
0.811	14.027	1.542
9.452	7.844	3.113
0.876	4.995	1.518
1.136	8.569	1.642
0.876	13.091	2.064
0.906	17.812	1.706
2.231	22.137	0.965
3.145	28.566	0.537
1.447	32.294	0.531
1.062	29.555	1.755
10.024	25.122	2.453
1.336	19.895	1.898
9.429	17.319	31.461
1.193	16.527	32.254
1.065	15.705	1.338
0.510	14.889	1.607
1.843	11.837	30.443
9.706	13.840	0.958
1.640	12.783	30.916
10.192	7.895	31.065
0.856	6.051	1.075
1.427	4.791	29.686
0.924	3.913	31.696
0.975	3.405	30.526
8.486	4.365	1.544
2.343	3.823	1.087
8.675	3.816	0.629
1.277	3.635	1.362
1.903	3.184	1.549
2.374	3.387	0.953
0.811	2.213	0.879
1.300	1.368	0.541
10.297	1.849	0.460
0.661	1.420	1.489
9.740	0.979	1.921
0.576	1.081	1.465
1.370	1.618	0.992
1.023	0.980	31.403
2.198	1.246	32.269
9.537	1.311	31.905
0.910	1.631	32.325
9.578	1.999	31.116
1.079	3.268	31.255
0.501	3.270	30.575
0.738	3.199	30.553
0.453	3.449	1.619
1.200	2.936	0.818
1.383	3.408	30.612
0.757	3.740	1.287
10.920	1.979	30.534
0.560	2.172	1.580
10.137	1.475	0.320
0.491	1.450	0.939
2.039	2.535	1.331
1.591	2.717	30.907
1.396	2.501	31.450
2.072	4.194	0.498
1.530	4.775	0.917
1.635	4.356	0.985
1.276	3.884	30.512
1.587	4.595	1.139
7.955	5.141	1.370
0.493	3.445	31.660
8.776	2.820	30.701
0.544	3.066	30.138
2.386	3.063	2.803
1.548	2.958	1.357
1.271	3.233	31.547
1.018	2.953	31.047
9.418	2.500	1.838
2.224	2.660	1.873
8.034	2.325	1.345
0.570	2.399	31.578
1.882	1.065	0.662
1.398	1.419	30.091
1.018	2.897	0.987
0.685	2.361	0.194
0.636	3.379	1.338
1.012	2.779	31.116
8.606	3.792	30.935
1.424	4.392	0.927
8.951	3.630	0.941
1.161	4.356	30.223
1.293	3.251	0.785
2.342	2.804	2.429
0.792	2.151	1.403
9.315	1.114	2.465
0.916	2.016	31.123
11.440	1.731	1.832
1.911	0.452	1.060
1.292	1.270	1.353
0.493	2.217	1.006
0.645	2.483	0.929
1.460	2.928	0.581
0.997	3.083	1.430
11.141	3.810	30.979
1.986	3.566	1.704
8.729	3.910	30.218
0.787	3.737	1.361
1.069	3.619	31.428
1.165	2.533	0.365
0.395	2.902	1.662
0.936	1.292	30.737
0.476	1.819	1.184
1.696	2.967	30.581
8.872	1.226	29.586
0.481	1.599	31.217
8.489	1.655	29.756
1.202	2.854	32.722
2.017	2.486	31.506
1.502	2.176	1.014
1.142	2.269	0.468
9.545	3.227	0.519
0.824	2.529	0.920
10.213	1.222	1.288
0.716	2.643	0.835
1.880	1.354	1.398
1.931	7.161	1.666
0.644	5.708	1.125
0.935	1.016	1.245
1.166	1.016	31.345
0.761	1.062	30.161
0.871	2.530	30.461
1.532	2.224	0.943
1.162	1.728	0.381
8.239	2.787	1.062
1.199	2.938	1.599
9.255	3.410	31.346
0.761	2.839	1.308
0.742	2.425	1.198
0.477	3.805	0.911
0.974	2.494	1.284
1.403	2.766	0.801
8.698	3.234	1.092
0.782	2.151	1.460
10.365	2.062	1.098
1.485	2.759	1.145
0.671	2.597	31.413
1.907	2.612	0.998
1.545	3.362	29.281
2.466	3.756	1.858
2.271	2.354	30.263
2.002	1.339	0.519
1.494	1.925	30.522
1.976	1.513	31.348
1.779	1.823	0.366
1.172	1.725	30.663
1.076	1.779	29.996
0.379	2.584	1.307
9.548	2.958	30.397
2.252	2.555	1.447
9.921	2.678	1.631
1.438	2.895	1.406
0.803	2.585	1.422
0.924	2.532	0.794
1.203	1.572	1.241
1.903	1.725	0.937
10.292	0.803	1.139
1.757	1.255	1.139
8.529	1.076	1.912
0.561	1.018	1.093
0.793	2.331	30.924
0.632	2.589	1.873
1.212	2.478	1.214
1.400	3.463	1.755
0.447	2.524	1.706
0.466	3.690	0.389
0.327	5.151	30.535
0.997	5.656	30.443
9.004	4.610	1.040
1.230	3.956	30.807
8.858	4.029	2.148
1.067	2.748	1.813
0.822	2.215	31.303
1.351	2.422	0.898
1.155	2.467	31.291
1.288	2.859	0.506
10.635	2.175	1.804
0.269	2.085	1.072
10.661	1.961	2.552
0.645	2.014	31.043
1.591	3.651	0.568
0.341	3.451	28.956
0.661	2.760	2.121
0.896	3.423	30.276
0.336	3.944	1.734
1.543	3.067	1.164
1.284	2.743	31.465
1.347	3.369	30.994
1.174	3.614	32.118
0.733	2.026	30.597
8.631	1.917	1.017
1.496	2.193	31.828
8.268	1.452	1.088
1.015	0.884	0.755
1.075	2.465	0.981
0.919	1.863	0.857
0.573	2.236	0.351
1.130	3.622	0.719
9.498	3.613	1.148
1.515	2.450	0.880
9.916	2.551	0.746
1.091	2.135	30.661
0.498	1.472	1.826
1.120	1.692	31.297
1.471	1.464	30.555
1.050	1.272	1.509
1.392	1.598	30.227
1.834	1.356	29.600
1.693	1.349	0.589
0.272	1.437	29.928
0.976	0.979	1.404
0.568	2.187	0.522
0.958	1.768	1.333
8.704	2.612	1.364
0.892	3.061	0.685
8.895	2.828	2.785
0.645	2.682	0.888
1.077	1.317	1.005
1.152	1.665	1.747
2.038	1.537	0.891
1.202	1.504	1.269
9.648	1.506	31.963
1.732	1.482	1.093
10.056	1.204	0.901
1.496	2.177	30.576
0.943	1.979	30.038
1.788	2.885	29.942
1.235	3.468	0.323
0.925	3.763	2.087
1.713	3.752	1.109
0.701	2.793	1.297
1.314	2.312	2.050
9.351	1.400	1.299
1.130	1.498	1.766
9.248	0.916	1.536
0.924	1.278	2.410
1.558	1.234	2.191
0.707	1.406	0.973
1.312	1.661	1.451
0.863	1.649	0.721
9.090	2.687	1.035
1.195	3.461	1.732
9.338	2.734	0.808
0.202	3.586	1.159
0.698	3.834	1.526
1.043	3.904	2.143
1.691	4.682	1.454
0.904	3.402	1.101
1.727	3.290	0.966
0.479	3.877	0.739
0.671	3.581	0.569
0.260	3.521	2.039
0.815	3.581	1.142
0.653	2.903	1.290
0.059	3.418	0.724
9.330	3.566	2.198
1.338	3.193	0.381
9.553	3.435	1.043
1.398	2.977	1.447
1.459	3.079	1.337
0.784	3.748	0.713
0.447	4.013	0.828
10.198	2.727	0.629
0.408	2.093	0.905
10.250	1.553	0.789
0.428	1.124	1.533
0.894	0.759	1.716
1.380	1.303	31.988
0.959	2.022	1.990
1.175	1.734	30.734
1.491	2.434	0.521
0.583	2.989	0.801
2.118	2.624	30.019
0.314	3.369	29.239
1.484	3.311	31.739
9.181	3.514	31.091
1.344	3.852	0.467
9.343	2.953	0.970
0.713	2.339	0.332
1.701	1.505	1.562
0.591	1.165	1.000
0.329	2.308	1.946
1.292	2.335	1.353
9.387	1.399	31.015
0.776	0.708	1.354
8.776	1.959	29.658
1.468	2.206	1.332
0.391	2.493	1.618
9.259	3.029	0.754
0.952	3.692	1.151
9.750	4.543	1.231
0.619	3.704	30.950
0.417	2.811	2.360
0.563	3.821	30.931
1.561	3.832	1.928
0.889	3.536	0.458
9.245	4.198	0.719
0.945	3.672	0.817
9.304	3.262	1.627
0.355	1.620	1.318
1.564	0.657	1.890
0.134	0.911	29.979
0.573	1.827	1.013
1.418	1.763	30.018
0.510	2.154	1.095
1.204	2.619	1.417
1.454	2.318	1.434
1.765	3.481	30.751
1.811	3.458	2.049
9.171	2.660	1.925
0.674	3.115	0.401
9.972	3.972	30.251
1.357	4.035	1.221
0.669	2.204	0.995
0.509	1.037	31.220
1.134	1.167	1.064
8.915	1.250	31.238
1.182	1.534	28.960
9.199	3.727	1.856
1.067	3.346	30.312
0.348	3.287	1.614
0.488	5.348	1.012
1.449	3.872	1.018
0.693	3.889	2.286
1.208	4.630	1.409
0.998	4.722	2.223
9.731	5.657	1.340
1.023	5.832	30.026
10.422	5.647	1.421
0.824	4.376	30.698
0.855	4.246	1.004
0.939	3.737	1.411
0.991	2.999	1.122
1.328	3.156	30.745
0.374	3.498	2.499
0.920	2.955	30.207
0.333	2.087	0.854
10.336	1.911	30.600
0.855	0.896	1.887
10.498	1.676	32.247
1.777	3.296	2.044
1.516	2.341	1.181
0.556	2.510	1.805
0.485	2.077	0.976
0.576	1.733	1.831
10.126	1.878	1.132
0.300	2.233	1.260
10.444	2.875	1.710
0.693	2.999	1.130
0.695	2.751	1.028
1.347	2.916	1.305
0.653	3.795	0.613
1.777	4.755	1.498
0.658	4.588	1.772
1.066	4.240	30.420
0.684	3.905	30.237
0.828	3.866	1.810
0.980	3.477	0.626
1.322	3.090	31.290
0.954	3.287	1.054
0.729	2.403	1.965
8.454	1.638	30.989
1.259	1.346	2.382
9.694	2.059	0.741
0.726	1.915	1.453
0.573	1.483	2.168
0.473	1.693	0.786
0.830	2.291	30.550
0.621	2.713	1.281
1.139	2.819	29.596
0.736	2.904	0.521
0.889	3.503	1.760
8.973	4.026	0.505
1.109	3.412	0.384
9.254	2.352	30.343
1.487	2.780	0.287
11.089	3.575	29.994
0.512	4.713	31.353
11.049	4.893	1.123
1.004	5.017	0.672
1.574	5.524	1.567
9.273	5.859	30.943
1.946	6.234	30.928
9.156	8.269	0.665
2.169	8.206	0.952
0.398	8.948	30.916
0.578	10.290	30.608
1.487	9.294	31.253
1.310	10.983	1.617
0.863	12.702	2.606
8.873	11.813	1.320
0.936	10.461	2.143
8.984	10.838	31.368
1.232	10.544	1.743
0.976	8.718	29.518
0.243	7.062	1.022
1.288	7.507	1.030
1.951	6.472	1.895
0.837	6.262	1.165
1.600	5.309	1.194
1.259	5.055	0.648
1.380	5.840	30.453
10.966	5.048	0.626
1.664	4.389	30.634
12.042	4.732	0.826
10.297	4.187	0.921
13.077	3.571	1.548
10.057	5.369	1.508
11.353	4.991	1.108
1.378	3.737	0.331
1.057	4.366	0.428
1.148	2.867	1.087
1.451	1.724	1.095
10.476	2.486	1.086
1.424	2.933	1.117
10.199	3.584	1.038
0.760	3.613	1.074
1.064	3.023	1.879
1.077	5.350	1.521
1.204	6.134	31.114
1.446	5.718	30.871
0.875	5.658	30.881
1.321	5.673	1.010
1.102	6.214	0.322
9.919	7.108	30.568
0.485	7.043	0.253
9.169	6.391	0.876
0.791	6.161	1.181
0.983	6.335	1.427
0.810	5.080	0.946
1.697	4.413	1.047
1.689	4.813	1.970
23.110	4.242	1.943
1.535	3.969	1.005
22.516	3.349	30.224
0.665	3.207	1.265
1.628	4.379	30.816
1.575	4.304	1.396
0.994	3.614	1.634
1.995	3.265	0.966
0.749	4.008	0.751
1.286	3.562	0.803
1.048	4.053	30.620
0.919	4.725	31.790
0.780	4.407	30.823
1.161	4.201	0.792
9.869	3.963	30.676
0.736	5.106	30.402
9.668	5.056	30.414
0.547	5.177	1.107
1.592	6.266	1.891
1.046	5.762	0.993
1.508	6.119	29.739
0.981	7.586	0.896
9.755	7.995	30.044
0.924	7.510	0.365
10.713	8.382	2.228
0.693	8.319	0.907
0.761	8.729	1.692
0.818	9.510	1.159
1.278	9.170	31.008
1.474	9.123	1.547
0.395	8.065	0.474
1.584	7.554	1.987
1.096	7.786	29.878
0.510	8.449	1.043
0.830	9.445	1.155
0.727	7.884	30.173
0.543	7.109	30.884
0.729	6.554	29.662
1.176	5.094	0.845
9.517	4.849	0.661
1.986	3.798	30.719
9.670	5.580	2.692
0.886	7.645	1.487
1.966	11.165	1.178
1.320	13.027	1.241
11.970	13.514	2.108
1.123	15.738	1.456
12.560	16.605	1.020
10.231	17.586	2.786
10.024	19.593	1.368
11.711	18.967	1.890
1.577	18.420	1.300
1.091	19.694	2.002
1.639	19.756	1.242
2.800	19.664	1.422
10.082	18.563	33.758
1.569	19.326	1.332
10.590	19.602	31.084
1.192	17.653	2.463
1.565	16.572	28.117
1.704	16.579	1.984
0.915	15.906	2.042
1.223	15.624	2.131
1.200	14.542	31.221
2.606	12.953	2.353
2.150	12.656	3.260
22.401	11.636	1.953
2.207	11.102	1.789
23.749	9.384	1.472
1.493	8.894	30.868
1.009	10.283	1.257
0.270	8.380	29.820
1.020	8.335	30.908
10.347	9.814	31.654
1.044	10.642	0.502
10.971	10.841	1.145
0.594	12.072	1.360
12.029	15.609	1.284
0.390	16.146	0.340
12.294	15.809	0.518
22.839	16.274	1.530
2.764	17.126	1.619
23.158	17.592	1.699
1.683	17.755	30.766
10.725	19.125	30.602
12.556	20.763	30.282
1.742	21.971	30.058
0.742	22.473	30.890
12.265	22.909	1.250
12.133	23.794	30.174
10.286	24.724	29.839
2.675	24.298	2.055
12.166	23.374	1.927
13.668	21.733	32.809
3.086	21.624	5.260
13.260	21.980	30.360
3.326	21.656	30.344
2.813	22.594	2.244
3.083	23.334	1.276
2.542	23.811	30.464
69.695	23.064	31.273
6.366	22.134	4.952
70.226	21.925	5.297
12.302	23.603	6.846
13.943	25.382	37.115
16.123	26.848	36.705
16.064	28.302	36.620
15.015	29.162	34.789
32.602	29.338	12.875
104.922	28.097	11.536
9.004	25.616	9.565
76.280	22.156	8.627
5.826	22.275	8.161
3.619	20.365	7.235
3.430	18.422	6.383
6.304	20.799	5.636
29.983	22.315	7.718
32.994	19.728	11.389
15.228	17.948	14.525
64.980	19.557	18.733
18.058	21.673	21.306
61.772	21.084	21.292
18.112	19.773	21.772
18.307	18.889	21.671
18.853	21.021	22.475
16.729	19.664	21.495
70.144	16.174	18.701
10.585	16.669	15.675
58.137	15.430	11.184
4.224	15.578	7.447
3.206	13.905	3.382
1.657	11.862	2.704
2.101	14.084	4.427
1.562	17.443	5.437
3.855	19.257	4.221
5.676	19.289	4.553
4.763	21.134	4.368
7.684	19.362	5.964
63.985	20.734	8.462
11.846	26.423	7.130
58.270	28.489	6.331
8.348	30.182	7.497
9.680	31.538	9.999
12.721	32.688	14.122
17.683	35.754	21.322
81.895	39.384	30.532
38.059	41.905	39.121
50.019	41.998	43.283
53.777	41.777	46.029
59.946	43.417	46.742
54.404	48.123	41.943
43.548	53.171	38.840
78.693	54.414	41.983
46.441	55.084	48.110
101.629	54.355	55.503
52.391	52.899	63.113
61.212	58.278	73.067
60.818	62.273	73.862
41.018	59.404	73.803
81.223	59.994	85.397
55.006	65.148	82.258
83.014	67.889	72.803
51.829	66.113	63.764
51.563	64.975	59.621
52.128	63.471	66.545
53.427	63.448	71.753
59.813	87.915	69.520
85.121	86.057	63.278
59.012	63.400	58.627
85.151	64.471	54.138
45.948	61.477	54.317
40.149	57.724	56.905
36.374	56.560	54.020
33.795	56.847	45.605
59.105	65.279	45.992
27.018	62.115	45.551
104.672	49.860	40.440
23.460	50.686	42.786
39.316	53.777	45.345
18.571	48.182	40.877
19.538	40.763	31.188
19.032	42.126	27.566
19.880	42.994	24.334
19.952	44.683	21.665
18.677	46.237	19.432
17.296	44.954	16.389
13.952	41.858	16.353
12.447	39.639	15.210
72.774	38.160	12.753
10.728	38.272	10.248
59.832	41.344	10.003
6.544	42.839	11.407
5.960	43.232	10.451
6.676	42.424	8.034
8.355	40.459	7.236
8.229	39.997	5.690
8.993	43.409	5.358
69.315	47.320	6.078
9.491	48.884	7.171
70.737	44.795	3.933
16.315	42.998	2.883
21.149	45.212	4.014
28.482	45.418	3.631
40.405	42.261	1.845
37.383	38.989	8.718
76.743	39.057	15.679
81.481	37.625	16.993
121.607	38.260	19.407
55.970	37.714	20.590
56.055	34.971	19.226
39.591	32.912	18.616
35.234	30.083	18.290
29.435	29.166	16.818
26.501	27.994	16.931
21.815	25.839	18.976
14.194	26.200	18.603
9.813	27.598	14.475
15.024	29.100	11.288
5.707	27.433	6.591
23.993	24.293	4.294
7.827	22.874	8.078
10.099	23.228	11.971
12.880	22.963	15.535
15.904	20.278	17.412
15.982	17.102	17.385
21.510	15.715	17.126
36.152	15.349	19.769
24.922	14.585	27.806
31.150	13.284	46.117
46.094	13.913	65.452
67.400	14.613	68.917
87.266	14.436	61.931
161.395	16.449	65.752
106.693	16.702	75.454
107.510	16.439	65.689
55.363	16.159	47.749
42.232	15.886	39.574
43.846	16.414	40.059
53.818	18.703	45.063
68.037	21.500	46.404
83.902	24.620	37.586
83.182	26.755	27.532
77.766	27.063	24.885
147.483	26.322	24.947
76.430	25.607	22.888
47.873	26.430	20.846
62.472	25.508	18.674
61.422	25.185	12.712
54.675	24.351	8.203
44.060	22.351	10.614
108.579	21.771	13.785
32.414	21.835	16.145
79.617	23.445	20.216
27.768	25.144	21.100
25.072	23.538	17.582
32.767	19.996	12.472
13.891	18.646	8.364
34.728	17.359	7.655
10.656	16.240	9.989
9.531	16.092	11.091
10.498	14.199	11.126
24.421	12.347	13.028
11.513	11.649	15.163
37.795	10.697	11.904
9.068	10.629	11.696
8.983	10.962	11.984
8.633	11.956	8.549
20.480	12.488	6.764
10.595	12.825	7.379
33.281	12.199	7.386
7.604	12.444	6.947
5.423	12.549	7.761
3.156	10.393	9.602
27.463	10.616	10.081
4.634	12.114	10.847
27.628	13.252	11.388
8.347	14.150	10.948
9.887	16.205	9.970
11.695	19.707	6.014
26.739	23.506	4.724
10.818	27.320	5.507
37.146	29.813	3.970
5.685	30.640	3.617
2.987	32.350	3.635
4.998	35.425	4.949
32.382	39.336	6.662
5.332	41.871	8.961
23.856	40.789	10.020
6.262	39.041	9.750
6.084	36.254	7.642
3.974	35.045	7.612
0.486	36.511	7.833
1.528	35.786	7.987
3.464	34.038	8.830
7.039	32.195	9.966
8.357	30.032	12.677
29.482	30.972	17.148
10.531	32.190	23.772
35.629	31.309	28.254
8.081	29.701	34.513
12.998	26.363	52.780
17.082	23.006	63.039
69.007	20.633	78.438
17.716	17.897	121.971
99.303	15.588	160.691
25.145	13.618	199.034
25.118	11.607	246.086
20.708	9.820	274.197
19.703	8.876	286.070
22.370	7.186	297.978
24.945	7.015	332.058
30.844	7.694	345.099
36.292	8.360	325.236
33.450	9.920	314.395
23.394	12.656	300.181
89.506	15.219	272.053
16.312	18.003	240.916
86.373	20.017	215.571
19.122	19.856	195.705
21.703	22.781	180.795
25.012	28.443	168.506
69.928	33.163	150.316
28.025	37.642	133.032
102.648	40.025	127.678
26.903	39.751	116.245
25.695	39.156	100.047
26.004	43.002	89.043
27.120	49.064	73.776
29.257	51.948	61.469
33.167	51.240	61.850
36.181	51.468	66.244
37.829	53.502	57.178
41.077	54.223	44.686
41.140	52.673	49.699
36.495	49.285	47.670
29.993	48.503	52.443
26.492	52.024	65.077
27.480	51.598	62.952
28.469	47.391	69.087
31.836	45.422	77.232
36.975	42.972	106.060
59.850	38.717	93.932
32.567	40.248	51.312
111.974	40.093	44.900
31.296	34.189	40.099
29.244	34.377	38.289
26.228	35.642	36.247
23.524	35.267	36.468
73.863	35.050	56.088
10.061	32.565	58.390
92.244	28.473	40.258
19.106	27.677	33.967
20.559	30.831	33.598
19.482	30.323	32.484
19.085	28.679	28.923
100.776	30.720	27.802
22.754	33.472	30.890
75.031	35.782	40.725
20.623	37.902	45.832
16.999	43.769	46.024
14.636	52.499	48.973
86.937	56.679	48.692
