RHand	Head	LHand


0.000	0.000	0.000
0.767	2.419	0.829
0.686	2.493	1.474
0.710	3.075	1.202
57.889	43.627	80.509
27.373	19.282	25.824
88.176	62.118	109.248
5.579	7.916	8.157
8.356	6.893	5.220
2.248	6.278	3.915
12.674	6.168	2.752
1.749	5.307	2.349
0.444	4.613	1.929
0.557	4.965	1.277
1.649	3.664	1.957
1.375	2.691	0.852
1.213	2.961	0.370
1.294	3.044	0.716
1.325	2.050	1.520
2.369	2.675	0.832
0.839	2.438	1.334
0.982	1.402	0.505
0.712	1.317	2.236
1.219	1.514	1.891
1.089	1.480	0.591
9.706	1.727	0.643
2.370	1.516	2.215
8.516	0.642	1.632
1.608	0.758	0.817
0.749	1.153	0.665
1.828	1.625	1.252
2.288	1.564	0.827
9.547	1.838	1.481
1.731	1.478	1.779
8.699	1.715	0.813
1.696	1.828	0.823
0.787	2.276	1.990
0.471	1.943	0.563
0.270	1.650	1.641
1.107	1.411	1.656
1.043	2.310	1.660
1.206	2.726	0.571
8.267	1.834	2.343
1.302	2.920	1.166
7.451	2.535	1.328
0.657	3.237	0.853
0.398	3.934	0.958
1.479	3.008	0.665
1.964	3.168	1.170
1.322	3.150	1.554
1.812	4.117	0.385
9.342	4.019	1.401
1.952	3.503	0.865
10.299	3.624	2.051
1.851	2.871	1.046
2.101	3.019	0.926
1.061	3.467	0.853
1.845	4.142	1.710
1.752	3.805	0.795
8.043	4.526	0.748
1.464	3.533	1.157
8.839	1.803	1.113
1.491	1.957	1.251
0.170	1.426	1.485
1.199	1.794	1.054
0.639	1.789	0.792
1.849	1.614	1.803
1.819	1.467	1.569
2.421	0.915	1.498
1.266	1.733	0.839
9.930	1.786	0.547
0.916	1.262	1.089
8.570	1.323	0.995
1.095	2.248	32.504
2.320	2.364	0.869
0.913	1.753	31.027
1.053	2.069	0.751
0.717	2.471	31.927
9.102	0.861	0.476
0.833	1.089	33.062
9.537	1.840	0.526
0.411	2.097	1.125
1.965	2.175	0.747
1.250	1.740	1.090
1.039	2.476	1.059
2.002	2.573	1.223
0.917	3.553	1.075
0.368	3.564	2.051
1.279	3.324	1.966
2.662	3.728	0.962
2.769	3.732	0.800
8.873	3.812	1.060
0.567	4.764	0.827
9.739	4.844	2.177
0.991	3.737	32.342
1.121	3.330	1.006
0.479	3.944	31.979
1.402	4.728	31.962
0.868	3.462	1.602
2.268	3.337	31.398
9.192	3.275	31.406
1.908	2.982	0.998
9.477	3.680	32.122
0.763	2.784	2.105
0.998	1.687	1.363
1.215	1.944	0.461
1.493	2.221	1.158
8.841	2.236	1.756
0.963	2.230	31.923
9.674	2.672	1.344
1.136	3.007	31.666
0.569	3.233	0.595
1.532	3.298	1.526
1.160	3.539	0.539
8.590	4.842	2.156
1.421	5.194	32.226
9.258	4.618	31.541
0.581	5.015	31.016
0.978	5.404	31.060
1.188	5.667	0.608
1.468	4.745	1.190
9.147	4.176	0.453
2.048	4.657	0.883
8.482	3.549	31.147
0.582	3.406	0.468
1.532	4.219	32.574
1.504	4.422	1.306
0.619	4.034	0.715
9.571	3.992	0.582
1.156	4.004	1.390
9.444	3.460	1.049
1.093	4.790	1.186
1.337	4.881	0.820
