RHand_X	RHand_Y	RHand_Z	Head_X	Head_Y	Head_Z	LHand_X	LHand_Y	LHand_Z
0.934	2.707	1.027	2.596	1.312	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.596	1.312	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.596	1.312	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.798	1.312	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.798	1.312	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.798	1.312	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.798	1.517	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.798	1.517	0.000	1.051	6.563	0.632
0.934	2.707	1.027	2.798	1.517	0.000	1.051	7.191	0.632
0.934	2.707	1.027	3.007	1.517	0.000	1.051	7.812	0.632
0.934	2.707	1.027	3.007	1.517	0.000	1.051	7.812	0.632
0.934	2.707	1.027	3.007	1.517	0.000	1.051	8.441	0.632
0.934	2.707	1.027	3.007	1.517	0.000	1.051	9.055	0.632
0.934	2.707	1.027	3.007	1.517	0.215	1.051	9.055	0.632
0.934	2.707	1.027	3.007	1.517	0.215	1.051	9.673	0.632
0.934	2.707	1.027	3.007	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.007	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.007	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.216	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.216	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.216	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.216	1.517	0.215	1.051	10.300	0.632
0.934	2.707	1.027	3.216	1.517	0.215	1.051	10.885	0.849
0.934	2.707	1.027	3.216	1.517	0.215	1.051	11.499	0.849
0.934	2.707	1.027	3.216	1.517	0.215	1.051	11.499	0.849
0.934	2.707	1.027	3.216	1.517	0.215	1.051	11.499	0.849
0.934	2.707	1.027	3.216	1.517	0.215	1.051	11.499	0.849
0.934	2.707	1.027	3.216	1.517	0.215	1.051	11.499	0.849
0.934	2.707	1.027	3.216	1.517	0.215	1.051	11.499	0.849
0.934	2.707	1.027	3.445	1.517	0.215	1.051	12.130	0.849
0.934	2.707	1.027	3.445	1.517	0.215	1.051	12.130	0.849
0.934	2.707	1.027	3.445	1.517	0.430	1.051	12.737	0.849
0.934	2.707	1.027	3.445	1.517	0.430	1.051	12.737	0.849
0.934	2.707	1.027	3.445	1.517	0.430	1.051	12.737	0.849
0.934	2.707	1.027	3.666	1.517	0.430	1.051	12.737	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	12.737	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	12.737	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	13.353	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.744	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.981	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.981	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.981	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.981	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	1.981	0.430	1.051	13.992	0.849
0.934	2.707	1.027	3.666	2.185	0.430	1.051	13.992	0.849
