P5_hand_rP4_whole_dist_traveled	P5_shoulder_rP4_whole_dist_traveled	P5_headP4_whole_dist_traveled	P5_hand_lP4_whole_dist_traveled	P5_shoulder_lP4_whole_dist_traveled	P5_elbow_rP4_whole_dist_traveled	P5_elbow_lP4_whole_dist_traveled
3.489	3.310	4.149	11.210	0.421	3.059	3.165
3.489	3.310	4.149	11.832	0.421	3.059	3.165
3.489	3.310	4.149	11.832	0.421	3.059	3.165
3.489	3.310	4.149	11.832	0.421	3.059	3.165
3.489	3.310	4.149	11.832	0.421	3.059	3.165
3.489	3.310	4.149	11.832	0.421	3.059	3.165
3.489	3.310	4.383	11.832	0.421	3.059	3.165
3.489	3.310	4.383	12.472	0.421	3.059	3.165
3.489	3.310	4.383	12.472	0.421	3.059	3.165
3.489	3.310	4.383	13.093	0.421	3.059	3.165
3.489	3.310	4.383	13.093	0.421	3.059	3.165
3.489	3.310	4.641	13.093	0.421	3.059	3.165
3.489	3.310	4.641	13.093	0.421	3.059	3.165
3.489	3.310	4.641	13.093	0.421	3.059	3.165
3.489	3.310	4.641	13.093	0.421	3.059	3.165
3.489	3.310	4.641	13.718	0.421	3.059	3.165
3.489	3.310	4.641	14.365	0.421	3.059	3.165
3.489	3.310	4.865	14.365	0.421	3.059	3.165
3.489	3.310	4.865	14.365	0.421	3.059	3.165
3.489	3.310	4.865	14.365	0.421	3.059	3.165
3.489	3.310	4.865	14.365	0.421	3.059	3.165
3.489	3.310	4.865	14.365	0.421	3.059	3.165
3.489	3.310	4.865	14.365	0.421	3.059	3.165
3.489	3.539	5.120	14.365	0.421	3.059	3.165
3.489	3.539	5.120	14.365	0.421	3.059	3.165
3.489	3.539	5.120	14.365	0.421	3.059	3.165
3.489	3.539	5.120	14.365	0.421	3.059	3.165
3.489	3.539	5.120	14.365	0.659	3.059	3.165
3.489	3.539	5.338	14.997	0.659	3.059	3.165
3.489	3.539	5.338	14.997	0.659	3.059	3.165
3.489	3.539	5.338	14.997	0.659	3.059	3.165
3.489	3.539	5.338	15.619	0.659	3.059	3.165
3.489	3.539	5.546	15.619	0.659	3.059	3.165
3.489	3.769	5.546	16.264	0.659	3.059	3.165
3.489	3.769	5.546	16.917	0.659	3.059	3.165
3.489	3.769	5.546	17.545	0.659	3.059	3.165
3.489	3.769	5.546	18.173	0.000	3.059	3.165
3.489	3.769	5.546	18.173	0.000	3.059	3.165
3.489	3.769	5.779	18.173	0.000	3.059	3.165
3.489	3.769	5.779	18.173	0.000	3.059	3.165
3.489	3.769	5.779	18.173	0.000	3.059	3.165
3.489	3.769	5.779	18.173	0.000	3.059	3.165
3.489	3.769	6.047	18.173	0.000	3.059	3.165
3.489	3.769	6.047	18.173	0.000	3.059	3.165
3.489	3.769	6.047	18.173	0.000	3.059	3.165
3.489	3.769	6.319	18.173	0.000	3.059	3.165
3.489	3.769	6.319	18.173	0.000	3.059	3.165
3.489	3.769	6.528	18.173	0.000	3.059	3.165
3.489	3.978	6.528	18.173	0.000	3.059	3.165
3.489	3.978	6.763	18.173	0.000	3.059	3.165
3.489	3.978	6.763	18.173	0.000	3.059	3.165
3.489	3.978	7.005	18.776	0.000	3.059	3.165
3.489	3.978	7.005	19.396	0.000	3.059	3.165
3.489	3.978	7.215	20.029	0.000	3.059	3.165
3.489	3.978	7.215	20.029	0.000	3.059	3.165
3.489	3.978	7.455	20.029	0.000	3.059	3.165
3.489	3.978	7.455	20.654	0.000	3.059	3.165
3.489	4.178	7.692	20.654	0.000	3.059	3.165
3.489	4.178	7.692	21.292	0.000	3.059	3.165
3.489	4.178	7.988	21.933	0.000	3.059	3.165
3.489	4.178	7.988	22.546	0.000	3.059	3.165
3.489	4.178	8.260	23.186	0.000	3.059	3.165
3.489	4.178	8.260	23.186	0.000	3.059	3.165
3.489	4.178	8.537	23.186	0.000	3.059	3.165
3.489	4.178	8.537	23.186	0.000	3.059	3.165
3.489	4.178	8.813	23.186	0.000	3.059	3.165
3.489	4.178	8.813	23.186	0.000	3.059	3.165
3.489	4.178	9.078	23.186	0.000	3.059	3.165
3.489	4.178	9.078	23.186	0.000	3.059	3.165
3.489	4.178	9.331	23.186	0.000	3.059	3.165
3.489	4.178	9.331	23.824	0.000	3.059	3.165
3.489	4.178	9.559	23.824	0.000	3.059	3.165
3.489	4.178	9.559	23.824	0.000	3.059	3.165
3.489	4.178	9.769	23.824	0.000	3.059	3.165
3.489	4.178	9.769	23.824	0.000	3.059	3.165
3.489	4.178	9.769	23.824	0.000	3.059	3.165
3.489	4.178	10.068	24.439	0.000	3.059	3.165
3.489	4.178	10.068	25.065	0.000	3.059	3.165
3.489	4.178	10.293	25.065	0.000	3.059	3.165
3.489	4.178	10.293	25.694	0.000	3.059	3.165
3.489	4.178	10.520	26.314	0.000	3.059	3.165
3.489	4.178	10.520	26.942	0.000	3.059	3.165
3.489	4.178	10.764	26.942	0.000	3.059	3.165
3.489	4.178	10.764	26.942	0.000	3.059	3.165
3.489	4.178	11.039	26.942	0.000	3.059	3.165
3.489	4.178	11.039	26.942	0.000	3.059	3.165
3.489	4.178	11.307	27.569	0.000	3.059	3.165
3.489	4.178	11.307	28.206	0.000	3.059	3.165
3.489	4.178	11.567	28.206	0.000	3.059	3.165
3.489	4.178	11.567	28.206	0.000	3.059	3.165
3.489	4.178	11.879	28.206	0.000	3.059	3.165
3.489	4.178	11.879	28.206	0.000	3.059	3.165
3.489	4.178	12.144	28.206	0.000	3.059	3.165
3.489	4.178	12.144	28.206	0.000	3.059	3.165
3.489	4.178	12.411	28.860	0.000	3.059	3.165
3.489	4.178	12.411	28.860	0.000	3.059	3.165
3.489	4.178	12.653	28.860	0.000	3.059	3.165
3.489	4.178	12.653	28.860	0.000	3.059	3.165
3.489	4.178	12.934	28.860	0.000	3.059	3.165
3.489	4.178	12.934	28.860	0.000	3.059	3.165
3.489	4.178	13.230	28.860	0.000	3.059	3.165
3.489	4.178	13.230	29.495	0.000	3.059	3.165
3.489	4.178	13.547	29.495	0.000	3.059	3.165
3.489	4.178	13.547	29.495	0.000	3.059	3.165
3.489	4.178	13.844	29.495	0.000	3.059	3.165
3.489	4.178	13.844	29.495	0.000	3.059	3.165
3.489	4.178	14.114	29.495	0.000	3.059	3.165
3.489	4.178	14.114	29.495	0.000	3.059	3.165
3.489	4.178	14.114	29.495	0.000	3.059	3.165
3.489	4.178	14.407	29.495	0.000	3.059	3.165
3.489	4.408	14.407	29.495	0.000	3.059	3.165
3.489	4.408	14.407	29.495	0.000	3.059	3.165
3.489	4.408	14.678	29.495	0.000	3.059	3.165
3.489	4.408	14.678	29.495	0.000	3.059	3.165
3.489	4.408	14.908	29.495	0.000	3.059	3.165
3.489	4.408	14.908	30.128	0.000	3.059	3.165
3.489	4.408	14.908	30.128	0.000	3.059	3.165
3.489	4.408	15.153	30.128	0.000	3.059	3.165
3.489	4.408	15.153	30.128	0.000	3.059	3.165
3.489	4.408	15.153	30.128	0.000	3.059	3.165
3.489	4.408	15.462	30.716	0.000	3.059	3.165
3.489	4.408	15.462	31.311	0.000	3.059	3.165
3.489	4.408	15.684	31.926	0.000	3.059	3.165
3.489	4.408	15.684	32.520	0.000	3.059	3.165
3.489	4.408	15.684	32.520	0.209	3.059	3.165
3.489	4.408	15.963	32.520	0.209	3.059	3.165
3.489	4.408	15.963	33.136	0.209	3.059	3.165
3.489	4.408	15.963	33.136	0.209	3.059	3.165
3.489	4.408	16.191	33.136	0.209	3.059	3.165
3.489	4.408	16.191	33.790	0.209	3.059	3.165
3.489	4.408	16.191	34.433	0.209	3.059	3.165
3.489	4.408	16.191	34.433	0.209	3.059	3.165
3.489	4.408	16.191	34.433	0.209	3.059	3.165
3.489	4.408	16.393	34.433	0.209	3.059	3.165
3.489	4.408	16.393	34.433	0.209	3.059	3.165
3.489	4.408	16.393	34.433	0.209	3.059	3.165
3.489	4.408	16.393	34.433	0.209	3.059	3.165
3.489	4.408	16.617	35.089	0.209	3.059	3.165
3.489	4.408	16.617	35.089	0.209	3.059	3.165
3.489	4.408	16.617	35.089	0.209	3.059	3.165
3.489	4.408	16.841	35.089	0.209	3.059	3.165
3.489	4.408	16.841	35.089	0.209	3.059	3.165
3.489	4.408	16.841	35.089	0.209	3.059	3.165
3.489	4.408	17.057	35.089	0.209	3.059	3.165
3.489	4.408	17.057	35.089	0.209	3.059	3.165
